TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000126,5.120,270.073,1319.512
0:00:00.004180,5.120,260.683,1317.073
0:00:00.008014,5.120,259.683,1324.390
0:00:00.011836,5.124,260.878,1324.390
0:00:00.015659,5.116,261.366,1318.049
0:00:00.019494,5.120,260.268,1323.415
0:00:00.023319,5.120,262.683,1338.049
0:00:00.027141,5.120,261.878,1317.073
0:00:00.031010,5.120,261.683,1318.049
0:00:00.034846,5.120,261.268,1380.976
0:00:00.038669,5.120,261.780,1314.146
0:00:00.042500,5.128,260.976,1325.854
0:00:00.046328,5.124,261.268,1314.146
0:00:00.050145,5.116,260.171,1320.976
0:00:00.053977,5.128,269.463,1363.415
0:00:00.057804,5.120,259.683,1325.366
0:00:00.061678,5.124,263.683,1318.049
0:00:00.065499,5.120,258.683,1323.415
0:00:00.069326,5.120,260.073,1328.293
0:00:00.073145,5.112,260.366,1312.195
0:00:00.076972,5.120,266.171,1362.927
0:00:00.080792,5.120,262.780,1339.512
0:00:00.084614,5.128,263.585,1328.293
0:00:00.088429,5.120,260.463,1527.317
0:00:00.092321,5.120,259.878,1314.146
0:00:00.096155,5.124,261.268,1321.951
0:00:00.099975,5.128,261.683,1337.073
0:00:00.103794,5.116,261.683,1320.976
0:00:00.107612,5.116,270.683,1326.829
0:00:00.111433,5.124,258.585,1320.488
0:00:00.115254,5.124,261.073,1324.390
0:00:00.119082,5.116,268.268,1438.537
0:00:00.122959,5.116,260.366,1328.293
0:00:00.126783,5.112,266.585,1325.854
0:00:00.130609,5.120,260.463,1318.049
0:00:00.134447,5.112,261.268,1319.512
0:00:00.138273,5.120,259.268,1322.927
0:00:00.142107,5.112,261.463,1359.512
0:00:00.145939,5.128,258.366,1338.537
0:00:00.149760,5.124,282.073,1323.415
0:00:00.153591,5.124,259.878,1337.073
0:00:00.157416,5.120,259.268,1355.610
0:00:00.161242,5.116,264.366,1404.878
0:00:00.165064,5.112,261.585,1340.976
0:00:00.168890,5.124,258.976,1335.610
0:00:00.172723,5.120,260.463,1314.146
0:00:00.176561,5.120,282.463,1332.195
0:00:00.180395,5.128,271.171,1334.146
0:00:00.184219,5.120,257.366,1329.268
0:00:00.188875,5.120,257.976,1337.073
0:00:00.192729,5.120,280.878,1334.634
0:00:00.196560,5.128,258.463,1393.171
0:00:00.200387,5.112,257.976,1325.366
0:00:00.204210,5.128,257.878,1450.732
0:00:00.208029,5.120,259.780,1335.610
0:00:00.211859,5.120,257.976,1324.390
0:00:00.215697,5.124,268.366,1377.073
0:00:00.219519,5.124,283.561,1328.293
0:00:00.223344,5.124,258.976,1348.293
0:00:00.227161,5.116,256.585,1334.146
0:00:00.231088,5.128,258.878,1334.146
0:00:00.234945,5.112,259.878,1448.293
0:00:00.238770,5.128,257.780,1332.195
0:00:00.242594,5.120,257.268,1331.707
0:00:00.246419,5.120,258.780,1327.317
0:00:00.250238,5.120,280.878,1352.195
