TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000130,5.112,261.073,1353.171
0:00:00.004162,5.120,258.780,1326.829
0:00:00.007992,5.128,259.463,1321.951
0:00:00.011847,5.120,260.780,1321.951
0:00:00.015667,5.128,258.463,1389.268
0:00:00.019497,5.120,259.683,1338.537
0:00:00.023323,5.120,259.878,1321.951
0:00:00.027161,5.120,259.463,1330.732
0:00:00.030987,5.120,258.976,1331.707
0:00:00.034814,5.116,268.366,1358.537
0:00:00.038690,5.116,256.171,1338.049
0:00:00.042529,5.116,260.463,1322.927
0:00:00.046355,5.116,260.171,1323.415
0:00:00.050178,5.128,257.463,1340.976
0:00:00.054007,5.120,261.780,1324.390
0:00:00.057840,5.124,260.976,1319.512
0:00:00.061696,5.116,288.878,1358.537
0:00:00.065523,5.096,263.780,1802.439
0:00:00.069401,5.120,260.878,1783.902
0:00:00.073236,5.112,343.268,1702.927
0:00:00.077056,5.128,331.463,1328.293
0:00:00.080881,5.124,355.976,1328.293
0:00:00.084705,5.120,352.463,1334.146
0:00:00.088528,5.120,362.756,1358.049
0:00:00.092349,5.124,353.756,1321.951
0:00:00.096170,5.124,350.268,1329.756
0:00:00.100007,5.128,353.561,1426.829
0:00:00.103835,5.128,354.976,1795.122
0:00:00.107660,5.120,351.463,1691.220
0:00:00.111496,5.132,351.976,1813.659
0:00:00.115313,5.128,352.268,1800.488
0:00:00.119136,5.120,353.268,1808.780
0:00:00.122955,5.120,274.171,1816.098
0:00:00.126775,5.120,258.976,1791.220
0:00:00.130663,5.124,258.366,2098.049
0:00:00.134488,5.116,259.366,1792.683
0:00:00.138313,5.112,259.463,1792.683
0:00:00.142148,5.120,271.976,1853.659
0:00:00.145976,5.092,257.976,1802.439
0:00:00.149796,5.120,255.878,1800.488
0:00:00.153621,5.100,259.366,1804.878
0:00:00.157494,5.096,259.683,1796.098
0:00:00.161335,5.100,272.463,1804.878
0:00:00.165156,5.096,257.976,1806.829
0:00:00.168977,5.112,259.463,1795.122
0:00:00.172871,5.104,260.780,1360.976
0:00:00.176709,5.096,261.463,1360.976
0:00:00.180591,5.092,342.659,1334.146
0:00:00.184418,5.124,353.561,1813.659
0:00:00.189073,5.120,332.366,1800.000
0:00:00.192921,5.120,351.976,1811.707
0:00:00.196746,5.120,288.780,1842.439
0:00:00.200631,5.116,256.683,1808.780
0:00:00.204456,5.116,258.463,1805.366
0:00:00.208280,5.124,256.585,1828.780
0:00:00.212108,5.112,257.780,1802.927
0:00:00.215929,5.120,258.976,1812.683
0:00:00.219755,5.104,256.268,1816.098
0:00:00.223574,5.096,257.976,1800.000
0:00:00.227390,5.096,260.976,1791.220
0:00:00.231275,5.100,256.366,1814.146
0:00:00.235101,5.100,259.878,1816.098
0:00:00.238931,5.096,261.268,1814.146
0:00:00.242760,5.100,256.268,1816.098
0:00:00.246582,5.096,259.976,1375.610
0:00:00.250412,5.092,264.585,1681.463
0:00:00.254240,5.096,256.878,1331.707
0:00:00.258120,5.104,286.878,1330.732
0:00:00.261955,5.096,354.878,1322.927
0:00:00.265776,5.096,328.073,1334.634
0:00:00.269594,5.096,356.268,1326.829
0:00:00.273419,5.100,350.366,1337.073
0:00:00.277243,5.104,350.268,1339.512
0:00:00.281093,5.104,353.073,1333.171
0:00:00.284921,5.100,350.073,1393.171
0:00:00.288751,5.112,351.073,1336.098
0:00:00.292584,5.120,352.756,1330.732
0:00:00.296403,5.124,350.878,1364.878
0:00:00.300223,5.132,351.756,1336.098
0:00:00.304043,5.120,360.854,1386.829
0:00:00.307866,5.120,352.171,1349.268
0:00:00.311688,5.120,352.171,1320.976
0:00:00.315509,5.120,353.463,1743.902
0:00:00.319398,5.112,352.756,1473.171
0:00:00.323227,5.120,351.463,1819.024
0:00:00.327048,5.124,348.659,1811.707
0:00:00.330877,5.120,352.659,1816.585
0:00:00.334699,5.116,309.366,1807.805
0:00:00.338518,5.120,352.756,1805.366
0:00:00.342345,5.120,269.683,1810.244
0:00:00.346166,5.120,255.780,1823.902
0:00:00.350046,5.116,258.976,1819.024
0:00:00.353877,5.128,256.878,1808.780
0:00:00.357703,5.104,257.171,1852.683
0:00:00.361532,5.132,261.268,1792.683
0:00:00.365352,5.096,256.976,1802.927
0:00:00.369178,5.096,352.756,1338.049
0:00:00.373889,5.128,353.171,1336.098
0:00:00.377740,5.120,363.463,1321.951
0:00:00.381568,5.120,351.463,1331.707
0:00:00.385382,5.128,354.659,1308.293
0:00:00.389202,5.124,353.976,1330.732
0:00:00.393017,5.128,353.561,1457.073
0:00:00.396833,5.120,353.756,1312.195
0:00:00.400650,5.120,353.976,1651.220
0:00:00.404468,5.112,353.366,1349.268
0:00:00.408287,5.128,355.756,1778.537
0:00:00.412119,5.116,356.073,1846.829
0:00:00.415941,5.124,352.878,1808.780
0:00:00.419763,5.120,343.756,1796.098
0:00:00.423588,5.120,352.366,1810.244
0:00:00.427408,5.116,293.268,1795.122
0:00:00.431307,5.116,270.878,1801.463
0:00:00.435133,5.128,259.683,1799.024
0:00:00.438957,5.128,258.976,1797.561
0:00:00.442773,5.116,261.878,1800.000
0:00:00.446594,5.120,259.268,1802.927
0:00:00.450419,5.104,261.073,1789.268
0:00:00.454247,5.096,260.463,1791.220
0:00:00.458123,5.092,261.268,1788.780
0:00:00.461959,5.100,262.683,1789.268
0:00:00.465918,5.100,358.171,1375.610
0:00:00.470127,5.100,352.561,1324.390
0:00:00.474010,5.124,350.976,1325.366
0:00:00.477844,5.104,354.756,1322.927
0:00:00.481672,5.120,357.268,1321.951
0:00:00.485488,5.128,365.073,1319.512
0:00:00.489371,5.116,353.268,1334.146
0:00:00.493204,5.120,353.659,1325.366
0:00:00.497022,5.120,351.268,1410.732
0:00:00.500846,5.116,355.561,1354.634
0:00:00.504666,5.120,354.976,1641.463
0:00:00.508494,5.120,351.366,1802.927
0:00:00.512332,5.120,355.878,1778.537
0:00:00.516150,5.132,352.976,1803.902
0:00:00.520024,5.128,288.878,1831.707
0:00:00.523855,5.128,342.171,1792.683
0:00:00.527679,5.124,261.585,1788.780
0:00:00.531509,5.112,259.171,1794.146
0:00:00.535329,5.120,258.366,1794.146
0:00:00.539167,5.120,263.585,1801.463
0:00:00.542986,5.116,258.463,1800.000
0:00:00.546806,5.112,261.463,1792.683
0:00:00.550690,5.092,261.268,1812.683
0:00:00.554521,5.096,261.463,1342.927
0:00:00.559287,5.112,355.268,1317.073
0:00:00.563191,5.124,353.463,1330.732
0:00:00.567014,5.120,352.659,1317.073
0:00:00.570885,5.128,350.268,1825.366
0:00:00.574750,5.108,364.366,1855.122
0:00:00.578631,5.112,353.659,1801.463
0:00:00.582460,5.124,281.171,1803.902
0:00:00.586275,5.120,339.878,1793.659
0:00:00.590096,5.128,259.268,1806.829
0:00:00.593914,5.112,260.073,1818.049
0:00:00.597739,5.120,256.463,1794.146
0:00:00.601561,5.120,258.878,1797.561
0:00:00.605380,5.120,260.268,1791.220
0:00:00.609204,5.120,259.683,1851.707
0:00:00.613037,5.096,258.366,1793.659
0:00:00.616854,5.100,263.780,1796.098
0:00:00.620681,5.092,355.976,1703.902
0:00:00.625793,5.124,261.780,1364.878
0:00:00.630678,5.096,356.659,1808.780
0:00:00.635505,5.116,260.171,1320.976
0:00:00.640354,5.120,354.976,1806.829
0:00:00.645216,5.096,261.366,1358.537
0:00:00.650055,5.120,261.366,1823.902
0:00:00.654874,5.100,356.659,1344.878
0:00:00.659903,5.124,262.268,1328.293
0:00:00.664760,5.100,361.171,1786.341
0:00:00.669688,5.096,255.976,1330.732
0:00:00.674560,5.120,274.585,1810.244
0:00:00.679408,5.096,346.756,1353.659
0:00:00.684260,5.120,259.976,1860.488
0:00:00.689100,5.104,352.073,1742.439
0:00:00.693941,5.120,260.878,1314.146
0:00:00.698884,5.096,350.756,1853.659
0:00:00.703733,5.096,257.976,1322.927
0:00:00.708584,5.128,313.073,1807.805
0:00:00.713441,5.096,355.561,1322.927
0:00:00.718292,5.124,269.878,1334.146
0:00:00.723380,5.096,351.463,1800.488
0:00:00.728244,5.088,260.171,1331.707
0:00:00.733081,5.124,353.561,1816.098
0:00:00.737929,5.096,265.585,1326.829
0:00:00.742790,5.112,258.780,1796.098
0:00:00.747647,5.096,351.976,1316.098
0:00:00.752501,5.120,258.976,1361.951
0:00:00.757340,5.100,355.268,1819.024
0:00:00.762285,5.096,257.463,1340.976
0:00:00.767132,5.116,352.073,1796.098
0:00:00.772046,5.104,358.073,1367.317
0:00:00.776895,5.124,257.585,1795.122
0:00:00.783644,5.108,351.073,1699.024
0:00:00.788519,5.120,257.366,1391.707
0:00:00.793410,5.104,351.976,1813.659
0:00:00.798255,5.096,260.780,1357.073
0:00:00.803109,5.120,324.780,1802.439
0:00:00.807960,5.088,354.756,1349.268
0:00:00.812838,5.112,260.366,1802.927
0:00:00.817678,5.104,352.463,1521.951
0:00:00.822566,5.120,258.780,1330.732
0:00:00.827412,5.124,357.268,1812.683
0:00:00.832350,5.096,265.683,1324.390
0:00:00.837203,5.124,256.073,1798.049
0:00:00.842153,5.096,349.268,1369.268
0:00:00.847016,5.128,257.073,1323.415
0:00:00.851875,5.096,353.073,1809.268
0:00:00.856715,5.128,260.878,1340.488
0:00:00.861575,5.120,365.268,1828.780
0:00:00.866418,5.096,350.463,1310.732
0:00:00.871439,5.124,255.268,1810.244
0:00:00.876300,5.096,352.756,1789.268
0:00:00.881177,5.112,261.585,1322.927
0:00:00.886026,5.108,353.659,1813.659
0:00:00.890873,5.120,259.683,1323.415
0:00:00.895734,5.124,287.878,1860.488
0:00:00.900735,5.100,354.171,1343.415
0:00:00.905585,5.120,258.780,1581.463
0:00:00.910518,5.096,353.756,1817.561
0:00:00.915364,5.128,265.976,1377.073
0:00:00.920205,5.124,352.976,1796.585
0:00:00.925095,5.096,275.878,1312.195
0:00:00.929952,5.120,257.366,1796.098
0:00:00.934810,5.104,365.463,1371.707
0:00:00.939735,5.112,261.463,1306.829
0:00:00.944589,5.104,355.561,1791.220
0:00:00.949445,5.092,258.683,1320.976
0:00:00.954296,5.124,350.463,1796.098
0:00:00.959145,5.104,258.171,1351.707
0:00:00.963984,5.124,257.366,1811.220
0:00:00.968930,5.096,359.366,1848.780
0:00:00.973881,5.120,257.976,1306.829
0:00:00.978833,5.120,350.976,1802.439
0:00:00.983690,5.096,339.561,1335.610
0:00:00.988540,5.120,289.463,1802.927
0:00:00.993404,5.104,354.756,1329.268
0:00:00.998257,5.120,259.878,1464.878
0:00:01.003113,5.100,354.171,1789.268
0:00:01.007968,5.124,257.171,1318.049
0:00:01.012824,5.124,355.268,1797.561
0:00:01.019471,5.096,258.976,1338.049
0:00:01.024362,5.128,355.878,1796.585
0:00:01.029214,5.092,355.268,1334.634
0:00:01.034047,5.124,257.366,1817.561
0:00:01.038965,5.096,354.561,1800.488
0:00:01.043818,5.120,259.366,1314.146
0:00:01.048700,5.120,353.268,1790.244
0:00:01.053551,5.100,257.366,1337.073
0:00:01.058394,5.128,352.561,1821.463
0:00:01.063233,5.092,353.268,1335.610
0:00:01.068165,5.120,260.366,1342.927
0:00:01.073048,5.100,357.878,1791.220
0:00:01.077895,5.116,263.585,1327.317
0:00:01.082735,5.104,352.561,1802.927
0:00:01.087591,5.096,258.073,1323.415
0:00:01.092440,5.128,275.585,1810.244
0:00:01.097285,5.104,362.976,1331.707
0:00:01.102220,5.120,258.780,1480.976
0:00:01.107107,5.096,350.659,1800.000
0:00:01.111963,5.128,259.171,1364.390
0:00:01.116812,5.128,352.756,1804.878
0:00:01.121657,5.100,257.976,1345.854
0:00:01.126500,5.120,258.585,1798.049
0:00:01.131425,5.100,354.878,1389.268
0:00:01.136277,5.120,260.683,1713.659
0:00:01.141126,5.096,351.561,1800.488
0:00:01.145963,5.112,259.780,1308.293
0:00:01.150811,5.128,361.756,1802.439
0:00:01.155660,5.096,259.585,1326.829
0:00:01.160606,5.108,302.780,1796.585
0:00:01.165466,5.100,351.268,1318.049
0:00:01.170315,5.120,257.171,1310.732
0:00:01.175246,5.100,352.171,1813.659
0:00:01.180105,5.100,258.683,1320.976
0:00:01.184948,5.120,354.659,1865.366
0:00:01.189877,5.096,349.171,1334.634
0:00:01.194729,5.116,258.585,1801.463
0:00:01.199660,5.092,350.171,1738.537
0:00:01.204516,5.116,269.585,1340.976
0:00:01.209360,5.096,353.756,1791.220
0:00:01.214198,5.120,260.268,1331.707
