TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000263,5.120,258.976,1342.927
0:00:00.004312,5.128,255.780,1329.756
0:00:00.008145,5.120,269.976,1377.073
0:00:00.011965,5.124,258.585,1331.707
0:00:00.015786,5.124,260.073,1326.829
0:00:00.019607,5.124,260.463,1340.976
0:00:00.023453,5.120,256.878,1400.488
0:00:00.027278,5.116,261.073,1325.854
0:00:00.031106,5.120,260.463,1335.610
0:00:00.034959,5.120,256.780,1332.195
0:00:00.038778,5.120,259.878,1314.634
0:00:00.042597,5.124,306.976,1380.976
0:00:00.046416,5.116,256.585,1329.268
0:00:00.050233,5.116,261.463,1320.976
0:00:00.054054,5.120,261.366,1335.610
0:00:00.057875,5.112,262.976,1326.829
0:00:00.061691,5.120,276.976,1340.976
0:00:00.065543,5.116,345.976,1334.634
0:00:00.069357,5.092,263.878,1790.244
0:00:00.073170,5.096,259.683,1784.878
0:00:00.076980,5.092,259.585,1811.707
0:00:00.080796,5.092,261.780,1785.366
0:00:00.084608,5.096,258.976,1803.902
0:00:00.088420,5.104,260.780,1801.463
0:00:00.092235,5.104,261.073,1806.829
0:00:00.096048,5.096,258.268,1814.146
0:00:00.099862,5.100,260.171,1424.390
0:00:00.103747,5.096,260.463,1309.268
0:00:00.107572,5.096,258.463,1330.732
0:00:00.111387,5.104,273.463,1319.512
0:00:00.115202,5.104,267.585,1384.390
0:00:00.119019,5.104,321.878,1328.293
0:00:00.122837,5.104,355.878,1330.732
0:00:00.126647,5.096,347.561,1330.732
0:00:00.130471,5.092,354.366,1324.390
0:00:00.134349,5.096,360.659,1330.732
0:00:00.138175,5.100,351.878,1337.073
0:00:00.141991,5.120,353.561,1338.537
0:00:00.145811,5.104,350.268,1333.171
0:00:00.149624,5.128,351.073,1342.927
0:00:00.153438,5.128,350.756,1326.829
0:00:00.157253,5.124,350.366,1332.195
0:00:00.161068,5.112,349.268,1337.073
0:00:00.164884,5.124,352.756,1346.829
0:00:00.168698,5.128,360.976,1369.268
0:00:00.172515,5.128,355.659,1323.415
0:00:00.176338,5.120,354.756,1325.366
0:00:00.180156,5.124,356.659,1314.146
0:00:00.183967,5.096,259.878,1785.366
0:00:00.188597,5.096,269.683,1662.439
0:00:00.192502,5.104,260.268,1308.293
0:00:00.196326,5.096,260.683,1409.268
0:00:00.200140,5.104,261.683,1312.195
0:00:00.203956,5.100,260.463,1349.756
0:00:00.207772,5.104,272.073,1319.512
0:00:00.211589,5.092,257.366,1325.854
0:00:00.215412,5.096,318.073,1322.927
0:00:00.219227,5.096,356.463,1325.366
0:00:00.223093,5.100,354.976,1369.756
0:00:00.226908,5.104,354.756,1320.976
0:00:00.230731,5.100,354.756,1327.317
0:00:00.234550,5.096,353.366,1339.512
0:00:00.238369,5.112,353.976,1327.317
0:00:00.242190,5.088,361.854,1338.049
0:00:00.246003,5.120,351.268,1334.146
0:00:00.249816,5.112,351.366,1334.146
0:00:00.253681,5.120,350.659,1338.049
0:00:00.257495,5.128,350.659,1399.512
0:00:00.261316,5.124,349.976,1333.171
0:00:00.265131,5.124,351.073,1328.293
0:00:00.268945,5.120,350.659,1500.976
0:00:00.272764,5.128,350.659,1334.146
0:00:00.276582,5.128,359.659,1767.317
0:00:00.280398,5.120,351.463,1404.878
0:00:00.284215,5.120,351.756,1815.122
0:00:00.288031,5.120,354.561,1662.439
0:00:00.291846,5.124,352.366,1816.098
0:00:00.295658,5.120,328.366,1793.659
0:00:00.299467,5.112,356.878,1798.049
0:00:00.303287,5.120,268.976,1800.488
0:00:00.307102,5.124,328.463,1798.049
0:00:00.310917,5.124,260.878,1827.805
0:00:00.314738,5.112,285.561,1791.220
0:00:00.318552,5.124,260.366,1802.439
0:00:00.322427,5.124,260.683,1791.220
0:00:00.326242,5.116,262.171,1799.024
0:00:00.330065,5.112,259.878,1818.049
0:00:00.333888,5.088,260.366,1800.488
0:00:00.337713,5.092,262.780,1806.341
0:00:00.341535,5.096,259.878,1784.878
0:00:00.345349,5.096,257.976,1803.902
0:00:00.349161,5.096,265.171,1814.146
0:00:00.353026,5.096,260.976,1790.244
0:00:00.356850,5.100,259.683,1808.780
0:00:00.360674,5.096,258.683,1766.341
0:00:00.364488,5.104,261.268,1332.195
0:00:00.368306,5.104,349.659,1325.366
0:00:00.372973,5.124,350.463,1722.927
0:00:00.376818,5.120,353.561,1384.390
0:00:00.380642,5.132,352.756,1806.829
0:00:00.384460,5.120,350.073,1867.805
0:00:00.388276,5.116,351.976,1812.683
0:00:00.392093,5.128,327.976,1819.024
0:00:00.395905,5.116,353.268,1805.366
0:00:00.399717,5.132,281.171,1796.098
0:00:00.403529,5.120,350.659,1789.268
0:00:00.407339,5.112,261.366,1800.000
0:00:00.411216,5.116,258.585,1842.439
0:00:00.415050,5.112,258.268,1804.878
0:00:00.418864,5.124,260.171,1782.927
0:00:00.422680,5.096,264.171,1796.098
0:00:00.426493,5.116,262.366,1790.244
0:00:00.430322,5.096,260.878,1789.268
0:00:00.434153,5.100,257.585,1806.829
0:00:00.437969,5.100,260.366,1828.780
0:00:00.441829,5.092,261.683,1789.268
0:00:00.445645,5.096,259.683,1801.463
0:00:00.449456,5.096,260.780,1787.317
0:00:00.453269,5.100,261.171,1557.561
0:00:00.457085,5.104,263.878,1798.049
0:00:00.460905,5.104,261.073,1368.293
0:00:00.464728,5.100,258.976,1621.463
