TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000234,5.120,296.268,1330.732
0:00:00.005260,5.072,418.049,1319.512
0:00:00.010140,5.120,269.585,1392.195
0:00:00.014975,5.116,262.878,1357.073
0:00:00.019840,5.120,262.073,1341.951
0:00:00.024649,5.120,436.146,1357.073
0:00:00.029539,5.116,271.171,1339.512
0:00:00.034348,5.124,263.780,1332.195
0:00:00.039156,5.116,263.976,1334.146
0:00:00.043955,5.116,260.268,2151.707
0:00:00.048826,5.076,259.463,1330.732
0:00:00.053636,5.120,260.463,1331.707
0:00:00.058451,5.124,259.366,1327.317
0:00:00.063259,5.120,256.683,2144.390
0:00:00.069818,5.120,258.780,1319.512
0:00:00.074656,5.120,259.463,1314.634
0:00:00.079551,5.124,257.463,1322.927
0:00:00.084363,5.120,256.171,1329.756
0:00:00.089170,5.124,278.171,2166.829
0:00:00.093974,5.128,258.073,1328.293
0:00:00.098882,5.124,261.171,1386.829
