TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000233,5.120,260.878,1337.073
0:00:00.005253,5.120,261.268,1329.756
0:00:00.010173,5.120,270.585,1332.195
0:00:00.014978,5.128,259.976,1333.171
0:00:00.019788,5.120,261.073,1342.927
0:00:00.024602,5.120,258.585,1328.293
0:00:00.029494,5.120,270.366,1318.537
0:00:00.034303,5.120,257.463,1316.098
0:00:00.039112,5.120,259.171,1329.268
0:00:00.043913,5.120,256.366,1380.488
0:00:00.048714,5.120,258.366,1320.488
0:00:00.053515,5.120,259.366,1334.146
0:00:00.058404,5.128,258.268,1338.049
0:00:00.063223,5.124,259.268,1381.951
0:00:00.068026,5.128,260.683,1329.268
0:00:00.072827,5.116,260.463,1340.976
0:00:00.077624,5.120,259.585,1342.927
0:00:00.082439,5.120,270.268,1328.293
0:00:00.087237,5.124,260.878,1385.854
0:00:00.092042,5.120,259.878,1339.512
0:00:00.096855,5.112,259.463,1389.268
