TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000238,5.124,260.683,1335.610
0:00:00.005282,5.116,260.268,1393.659
0:00:00.010091,5.120,261.171,1342.927
0:00:00.014882,5.120,262.585,1328.293
0:00:00.021530,5.112,260.073,1348.293
0:00:00.026395,5.120,261.268,1349.268
0:00:00.031300,5.120,266.585,1329.268
0:00:00.036117,5.120,263.073,1332.195
0:00:00.040924,5.120,264.780,1384.878
0:00:00.045723,5.124,263.683,1337.073
0:00:00.050607,5.120,265.171,1332.195
0:00:00.055408,5.120,263.073,1335.610
0:00:00.060209,5.124,268.463,1332.195
0:00:00.065006,5.116,263.366,1331.707
0:00:00.069897,5.120,260.463,1346.829
0:00:00.074737,5.124,260.073,1335.610
0:00:00.079545,5.120,261.683,1357.073
0:00:00.084409,5.120,259.976,1344.390
0:00:00.089858,5.112,260.878,1433.171
0:00:00.094783,5.124,257.073,1380.976
0:00:00.099668,5.120,257.878,1328.293
