TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000235,5.120,270.585,1329.756
0:00:00.005264,5.116,259.268,1332.195
0:00:00.011768,5.128,257.878,1314.634
0:00:00.016610,5.116,260.073,1393.659
0:00:00.021416,5.128,259.268,1338.537
0:00:00.026333,5.120,261.268,1335.610
0:00:00.031201,5.120,259.268,1312.195
0:00:00.036476,5.120,268.878,1312.195
0:00:00.041339,5.120,257.073,1325.854
0:00:00.046263,5.124,257.878,1322.927
0:00:00.051105,5.120,260.683,1331.707
0:00:00.055928,5.120,257.073,1325.854
0:00:00.060760,5.120,261.268,1340.976
0:00:00.065568,5.124,259.585,1340.976
0:00:00.070386,5.112,259.683,1384.878
0:00:00.075206,5.120,263.878,1327.317
0:00:00.080065,5.128,260.268,1330.732
0:00:00.084875,5.128,261.366,1314.634
0:00:00.089680,5.112,260.878,1369.268
0:00:00.094493,5.120,257.780,1328.293
0:00:00.099397,5.120,259.268,1329.756
