TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000247,5.112,257.171,1322.927
0:00:00.005281,5.120,259.683,1327.317
0:00:00.010083,5.116,259.171,1314.634
0:00:00.014967,5.120,258.463,1330.732
0:00:00.019786,5.128,257.366,1331.707
0:00:00.024724,5.120,259.878,1319.512
0:00:00.030089,5.112,261.585,1334.634
0:00:00.034956,5.120,260.268,1318.049
0:00:00.039767,5.124,259.683,1324.390
0:00:00.044683,5.120,261.073,1348.293
0:00:00.049611,5.120,265.366,1384.878
0:00:00.054435,5.120,259.463,1337.073
0:00:00.059255,5.116,259.683,1354.634
0:00:00.064066,5.112,258.073,1319.512
0:00:00.068974,5.120,267.683,1325.854
0:00:00.073796,5.120,257.683,1320.976
0:00:00.078626,5.120,260.683,1324.390
0:00:00.083444,5.120,257.073,1335.610
0:00:00.088339,5.120,259.268,1620.000
0:00:00.093159,5.104,304.366,1555.122
0:00:00.098054,5.100,301.073,1537.073
0:00:00.102872,5.104,311.976,1520.000
0:00:00.107699,5.112,292.171,1460.000
0:00:00.112526,5.112,305.073,1453.659
0:00:00.117338,5.116,290.171,1496.098
0:00:00.122146,5.108,295.561,1362.927
0:00:00.126962,5.116,269.780,1639.024
