TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000242,5.120,261.878,1342.927
0:00:00.005282,5.124,263.171,1364.390
0:00:00.010092,5.116,261.268,1339.512
0:00:00.014900,5.124,264.366,1335.610
0:00:00.019784,5.116,261.073,1330.732
0:00:00.024599,5.124,266.683,1378.049
0:00:00.029415,5.124,259.268,1338.049
0:00:00.034278,5.120,256.683,1328.293
0:00:00.039101,5.120,260.780,1337.073
0:00:00.043909,5.120,265.366,1340.976
0:00:00.048714,5.120,326.268,1660.976
0:00:00.053536,5.092,260.171,1333.171
0:00:00.058350,5.124,257.585,1330.732
0:00:00.063160,5.120,261.073,1610.244
0:00:00.067965,5.120,260.683,1338.537
0:00:00.072773,5.124,262.073,1327.317
0:00:00.077573,5.120,258.366,1340.976
0:00:00.082454,5.120,259.268,1318.537
0:00:00.087318,5.124,256.976,1364.878
0:00:00.092214,5.112,258.878,1337.073
0:00:00.097024,5.120,266.268,1337.073
