TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000237,5.112,258.976,1318.049
0:00:00.005266,5.120,260.976,1325.366
0:00:00.010075,5.120,258.585,1308.293
0:00:00.014879,5.120,266.683,1381.951
0:00:00.019785,5.128,257.780,1326.829
0:00:00.024590,5.120,259.463,1328.293
0:00:00.029430,5.120,259.780,1337.073
0:00:00.034231,5.112,266.780,1339.512
0:00:00.039140,5.124,256.976,1334.146
0:00:00.043958,5.120,259.683,1330.732
0:00:00.048758,5.128,258.073,1339.512
0:00:00.053559,5.120,259.878,1333.171
0:00:00.058368,5.120,261.366,1329.268
0:00:00.063169,5.104,331.171,1325.366
0:00:00.068061,5.120,260.073,1344.878
0:00:00.072924,5.120,260.171,1319.512
0:00:00.077728,5.116,256.585,1320.976
0:00:00.082539,5.120,262.268,1318.537
0:00:00.087431,5.116,264.585,1335.610
0:00:00.092249,5.120,302.171,1550.732
0:00:00.097141,5.108,301.878,1549.756
0:00:00.101974,5.108,304.073,1556.098
0:00:00.106800,5.104,273.073,1340.488
0:00:00.111612,5.124,348.073,1338.049
0:00:00.116414,5.120,304.561,1656.585
0:00:00.121231,5.116,262.073,1338.537
0:00:00.126036,5.112,262.268,1340.976
