TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000233,5.128,258.585,1370.732
0:00:00.005365,5.120,256.976,1334.146
0:00:00.010176,5.124,258.780,1320.976
0:00:00.014963,5.120,258.976,1334.146
0:00:00.019760,5.116,267.780,1381.951
0:00:00.024628,5.116,260.073,1334.146
0:00:00.029431,5.124,260.463,1338.049
0:00:00.034242,5.120,260.268,1335.610
0:00:00.039067,5.116,263.976,1322.927
0:00:00.043962,5.124,260.878,1325.366
0:00:00.048761,5.120,262.585,1320.976
0:00:00.055494,5.124,267.073,1369.268
0:00:00.060331,5.124,258.463,1317.073
0:00:00.065151,5.124,256.268,1322.927
0:00:00.070042,5.120,260.878,1331.707
0:00:00.074857,5.116,264.268,1336.098
0:00:00.079661,5.116,257.976,1319.512
0:00:00.084472,5.120,259.780,1336.098
0:00:00.089278,5.120,261.463,1632.195
0:00:00.094075,5.104,303.780,1547.317
0:00:00.098895,5.104,303.561,1540.000
0:00:00.103710,5.108,305.878,1647.805
0:00:00.108512,5.112,301.976,1365.854
0:00:00.113312,5.112,262.585,1349.268
0:00:00.118121,5.092,302.463,1540.000
0:00:00.122926,5.120,282.073,1344.878
0:00:00.127739,5.120,263.463,1335.610
