TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000131,5.120,257.683,1335.610
0:00:00.004168,5.120,258.780,1329.756
0:00:00.008002,5.120,263.976,1380.488
0:00:00.011829,5.128,256.780,1352.195
0:00:00.015652,5.120,258.780,1332.195
0:00:00.019546,5.120,257.171,1331.707
0:00:00.023389,5.120,257.976,1339.512
0:00:00.027208,5.116,260.780,1331.707
0:00:00.031045,5.124,257.976,1330.732
0:00:00.034875,5.120,260.683,1342.927
0:00:00.038703,5.120,261.171,1333.171
0:00:00.042540,5.124,259.463,1363.415
0:00:00.046371,5.124,258.878,1340.976
0:00:00.050200,5.116,260.780,1636.098
0:00:00.054054,5.128,258.878,1518.537
0:00:00.057885,5.112,256.268,1696.585
0:00:00.061708,5.104,268.171,1369.268
0:00:00.065534,5.120,257.683,1354.634
0:00:00.069355,5.104,265.366,1335.610
0:00:00.073179,5.116,316.073,1325.854
0:00:00.077009,5.108,258.366,1344.390
0:00:00.080862,5.116,325.171,1338.537
0:00:00.084691,5.128,293.780,1328.293
0:00:00.088512,5.112,327.366,1577.073
0:00:00.092335,5.124,256.878,1338.537
0:00:00.096160,5.128,258.171,1685.366
0:00:00.099986,5.124,258.268,1511.220
0:00:00.103822,5.100,255.683,1623.902
0:00:00.107649,5.128,257.585,1335.610
0:00:00.111471,5.104,257.585,1338.537
0:00:00.115290,5.112,259.585,1375.610
0:00:00.119107,5.104,312.976,1335.610
0:00:00.122947,5.120,257.976,1338.537
0:00:00.126783,5.116,333.268,1317.073
0:00:00.130612,5.116,293.683,1326.829
0:00:00.134437,5.124,325.268,1326.829
0:00:00.138259,5.120,258.780,1630.244
0:00:00.142083,5.120,260.073,1515.122
0:00:00.145906,5.116,260.585,1684.878
0:00:00.149722,5.108,259.171,1314.634
0:00:00.153549,5.112,257.463,1635.122
0:00:00.157370,5.104,260.073,1475.610
0:00:00.161196,5.104,268.073,1316.098
0:00:00.165027,5.104,257.463,1320.976
0:00:00.168849,5.120,318.171,1381.951
0:00:00.172743,5.116,295.683,1330.732
0:00:00.176577,5.120,329.463,1324.390
0:00:00.180402,5.112,260.878,1331.707
0:00:00.184221,5.116,259.683,1310.732
0:00:00.188889,5.116,307.659,1319.512
0:00:00.192742,5.104,320.366,1329.268
0:00:00.196565,5.124,260.878,1321.951
0:00:00.200398,5.120,335.878,1309.268
0:00:00.204292,5.124,295.463,1735.122
0:00:00.208120,5.124,278.268,1324.390
0:00:00.212002,5.124,260.268,1610.244
0:00:00.215826,5.104,260.976,1498.537
0:00:00.219654,5.112,257.780,1672.683
0:00:00.223478,5.112,270.976,1319.512
0:00:00.227331,5.120,258.878,1312.195
0:00:00.231159,5.104,292.561,1328.293
0:00:00.234976,5.116,336.073,1314.634
0:00:00.238794,5.104,260.878,1315.610
0:00:00.242682,5.116,329.463,1332.195
0:00:00.246512,5.124,296.366,1318.049
0:00:00.250340,5.120,329.878,1617.073
0:00:00.254164,5.124,260.073,1325.854
0:00:00.257980,5.112,259.268,1677.561
0:00:00.261799,5.112,268.073,1493.171
0:00:00.265619,5.108,259.683,1625.854
0:00:00.269488,5.128,261.585,1322.927
0:00:00.273330,5.104,260.683,1312.195
0:00:00.277158,5.116,295.683,1378.049
0:00:00.280988,5.108,321.268,1311.707
0:00:00.284818,5.120,263.463,1314.146
0:00:00.288638,5.124,328.878,1318.049
0:00:00.292462,5.124,296.073,1367.317
0:00:00.296282,5.112,329.073,1330.732
0:00:00.300164,5.120,260.268,1630.244
0:00:00.303994,5.116,259.683,1502.439
0:00:00.307816,5.112,259.683,1679.024
0:00:00.311638,5.104,257.683,1325.366
0:00:00.315460,5.124,268.171,1412.195
0:00:00.319280,5.104,260.878,1322.927
0:00:00.323123,5.116,281.463,1326.829
0:00:00.326953,5.104,261.171,1325.854
0:00:00.330828,5.120,323.561,1359.512
0:00:00.334658,5.128,295.463,1342.927
0:00:00.338473,5.120,332.561,1403.415
0:00:00.342298,5.116,259.585,1317.073
0:00:00.346125,5.120,270.171,1685.366
0:00:00.349948,5.116,264.366,1500.976
0:00:00.353775,5.100,261.463,1713.659
0:00:00.357596,5.120,260.878,1320.976
0:00:00.361429,5.112,261.878,1427.317
0:00:00.365259,5.108,269.976,1320.976
0:00:00.369083,5.096,316.659,1334.146
0:00:00.373773,5.124,258.878,1618.537
0:00:00.377625,5.096,261.878,1516.098
0:00:00.381448,5.120,257.683,1695.122
0:00:00.385270,5.108,261.171,1386.829
0:00:00.389085,5.120,269.171,1361.951
0:00:00.392907,5.104,260.463,1337.073
0:00:00.396731,5.120,328.463,1320.976
0:00:00.400555,5.116,258.585,1338.049
0:00:00.404405,5.120,325.976,1328.293
0:00:00.408232,5.116,296.171,1420.976
0:00:00.412117,5.120,331.171,1617.561
0:00:00.415943,5.116,258.976,1355.610
0:00:00.419766,5.120,258.171,1686.341
0:00:00.423585,5.104,260.683,1513.171
0:00:00.427409,5.104,258.268,1641.463
0:00:00.431228,5.128,257.878,1319.512
0:00:00.435047,5.104,257.976,1334.146
0:00:00.438908,5.120,282.366,1392.195
0:00:00.442755,5.108,317.780,1329.756
0:00:00.446579,5.128,257.171,1346.829
0:00:00.450398,5.128,326.976,1334.634
0:00:00.454212,5.124,295.073,1657.561
0:00:00.458030,5.128,320.976,1373.659
0:00:00.461852,5.124,257.780,1660.000
0:00:00.465678,5.128,258.683,1529.756
0:00:00.469509,5.120,256.171,1693.659
0:00:00.473331,5.100,257.463,1344.390
0:00:00.477153,5.120,260.585,1633.659
0:00:00.480978,5.100,258.366,1325.366
0:00:00.484808,5.116,327.561,1344.390
0:00:00.488635,5.108,258.366,1341.951
0:00:00.492559,5.128,319.268,1661.463
0:00:00.496770,5.124,257.780,1513.171
0:00:00.500654,5.120,255.878,1637.561
0:00:00.504504,5.124,257.585,1334.146
0:00:00.508332,5.112,256.976,1687.805
0:00:00.512163,5.116,269.878,1442.439
0:00:00.515985,5.112,257.171,1337.073
0:00:00.519807,5.120,257.683,1329.268
0:00:00.523635,5.100,329.366,1328.293
0:00:00.527454,5.124,293.878,1337.073
0:00:00.531293,5.128,325.268,1320.976
0:00:00.535124,5.120,258.366,1613.659
0:00:00.538948,5.116,316.976,1513.659
0:00:00.542776,5.124,268.780,1690.244
0:00:00.546599,5.116,257.366,1370.732
0:00:00.550415,5.116,258.585,1621.463
0:00:00.554230,5.096,259.585,1327.317
0:00:00.558891,5.124,332.780,1318.049
0:00:00.562773,5.124,260.976,1370.732
0:00:00.566613,5.120,305.561,1668.780
0:00:00.570462,5.120,261.366,1493.171
0:00:00.574311,5.104,258.585,1620.000
0:00:00.578136,5.128,258.585,1325.366
0:00:00.582026,5.104,259.878,1532.195
0:00:00.585846,5.112,258.976,1331.707
0:00:00.589666,5.100,319.976,1338.537
0:00:00.593547,5.120,259.366,1620.976
0:00:00.598323,5.100,293.780,1326.829
0:00:00.603179,5.120,257.878,1349.756
0:00:00.608033,5.116,259.780,1632.195
0:00:00.612993,5.104,297.683,1315.610
0:00:00.617854,5.124,257.585,1366.829
0:00:00.622805,5.128,256.171,1626.341
0:00:00.627655,5.104,257.366,1317.073
0:00:00.632494,5.120,260.585,1644.878
0:00:00.637340,5.112,266.463,1674.634
