TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000129,5.120,259.463,1349.756
0:00:00.004151,5.124,261.463,1339.512
0:00:00.008041,5.120,261.780,1350.732
0:00:00.011865,5.116,270.463,1358.049
0:00:00.015678,5.124,261.463,1349.756
0:00:00.019510,5.120,260.463,1351.707
0:00:00.023334,5.120,257.268,1333.171
0:00:00.027147,5.120,258.780,1329.756
0:00:00.030967,5.120,265.780,1338.537
0:00:00.034784,5.128,259.366,1338.049
0:00:00.038655,5.120,256.976,1342.927
0:00:00.042478,5.120,258.976,1344.390
0:00:00.046293,5.128,259.683,1384.878
0:00:00.050113,5.132,258.878,1346.829
0:00:00.053927,5.120,260.463,1323.415
0:00:00.057749,5.120,261.366,1331.707
0:00:00.061587,5.120,260.780,1344.878
0:00:00.065404,5.124,293.073,1474.634
0:00:00.069265,5.120,340.878,1409.756
0:00:00.073082,5.124,281.073,1455.610
0:00:00.076898,5.120,259.780,1320.488
0:00:00.080712,5.116,258.878,1444.878
0:00:00.084533,5.096,259.268,1921.463
0:00:00.088572,5.116,262.780,1337.073
0:00:00.092495,5.120,262.683,1328.293
0:00:00.096350,5.124,287.463,1347.317
0:00:00.100183,5.124,345.268,1384.878
0:00:00.104003,5.124,288.073,1338.049
0:00:00.107820,5.128,260.463,1469.756
0:00:00.111643,5.120,260.585,1751.707
0:00:00.115460,5.116,256.463,1476.098
0:00:00.119284,5.120,273.171,1387.317
0:00:00.123106,5.128,259.683,1348.293
0:00:00.126919,5.116,256.366,1373.659
0:00:00.130755,5.104,259.976,1323.415
0:00:00.134580,5.112,261.585,1338.049
0:00:00.138398,5.120,281.683,1332.195
0:00:00.142211,5.116,341.073,1333.171
0:00:00.146029,5.116,283.780,1334.146
0:00:00.149898,5.124,258.780,1331.707
0:00:00.153718,5.120,256.976,1467.317
0:00:00.157534,5.128,258.268,1750.244
0:00:00.161347,5.120,255.073,1451.220
0:00:00.165158,5.120,259.268,1338.537
0:00:00.168987,5.116,257.878,1334.146
0:00:00.172811,5.100,329.878,1378.537
0:00:00.176630,5.112,279.366,1321.951
0:00:00.180504,5.116,258.780,1339.512
0:00:00.184323,5.120,304.073,1762.927
0:00:00.189047,5.100,259.683,1354.634
0:00:00.192918,5.104,259.171,1342.927
0:00:00.196758,5.120,284.561,1348.293
0:00:00.200577,5.120,340.878,1344.390
0:00:00.204387,5.120,285.780,1339.512
0:00:00.208211,5.120,259.683,1395.610
0:00:00.212035,5.128,273.976,1449.756
0:00:00.215848,5.116,294.878,1751.220
0:00:00.219664,5.124,259.683,1546.341
0:00:00.223477,5.124,262.683,1318.537
0:00:00.227341,5.112,271.171,1447.317
0:00:00.231181,5.104,258.073,1329.756
0:00:00.234993,5.116,261.683,1315.610
0:00:00.238811,5.116,260.366,1322.927
0:00:00.242628,5.116,285.561,1315.610
0:00:00.246442,5.124,351.463,1313.171
0:00:00.250273,5.120,287.073,1322.927
0:00:00.254102,5.124,260.683,1440.976
0:00:00.257967,5.128,261.073,1736.098
0:00:00.261789,5.124,261.366,1488.293
0:00:00.265606,5.120,261.073,1329.756
0:00:00.269421,5.120,262.073,1418.049
0:00:00.273235,5.120,259.268,1548.780
0:00:00.277048,5.104,260.878,1322.927
0:00:00.280864,5.108,266.268,1371.707
0:00:00.284677,5.128,285.268,1329.756
0:00:00.288585,5.124,341.463,1321.951
0:00:00.292428,5.120,286.171,1399.512
0:00:00.296254,5.124,259.878,1317.073
0:00:00.300072,5.116,266.878,1442.439
0:00:00.303886,5.104,266.366,1740.000
0:00:00.307696,5.116,258.585,1451.220
0:00:00.311510,5.120,260.268,1318.537
0:00:00.315319,5.116,258.780,1388.293
0:00:00.319134,5.092,279.878,1320.488
0:00:00.322951,5.116,269.976,1338.049
0:00:00.326767,5.116,258.366,1357.073
0:00:00.330599,5.124,282.171,1331.707
0:00:00.334417,5.132,350.561,1389.268
0:00:00.338235,5.120,280.780,1328.293
0:00:00.342051,5.120,259.268,1448.293
0:00:00.345863,5.116,255.976,1754.146
0:00:00.349674,5.124,259.463,1443.415
0:00:00.353486,5.124,268.878,1328.293
0:00:00.357349,5.124,257.683,1334.634
0:00:00.361174,5.112,258.171,1325.366
0:00:00.364991,5.100,277.780,1332.195
0:00:00.368820,5.116,259.268,1373.659
0:00:00.373486,5.112,260.073,1438.049
0:00:00.377385,5.100,259.683,1737.561
0:00:00.381207,5.116,258.585,1329.756
0:00:00.385017,5.120,262.171,1322.927
0:00:00.388825,5.116,294.976,1330.732
0:00:00.392639,5.116,341.976,1318.537
0:00:00.396457,5.120,285.268,1319.512
0:00:00.400273,5.116,259.585,1429.268
0:00:00.404083,5.128,283.683,1743.902
0:00:00.407953,5.120,314.268,1436.098
0:00:00.411782,5.124,260.171,1323.415
0:00:00.415595,5.112,261.683,1435.610
0:00:00.419407,5.120,261.366,1736.585
0:00:00.423216,5.104,260.463,1472.195
0:00:00.427029,5.120,262.268,1317.073
0:00:00.430838,5.120,277.073,1353.171
0:00:00.434653,5.120,340.366,1322.927
0:00:00.438464,5.120,280.585,1342.927
0:00:00.442275,5.128,257.780,1383.415
0:00:00.446088,5.124,282.463,1439.512
0:00:00.449955,5.124,339.073,1749.756
0:00:00.453769,5.132,258.780,1457.073
0:00:00.457580,5.120,260.463,1342.927
0:00:00.461389,5.120,267.683,1460.000
0:00:00.465205,5.104,257.976,1635.122
0:00:00.469016,5.112,257.878,1334.634
0:00:00.472825,5.120,257.366,1332.195
0:00:00.476636,5.124,283.780,1319.512
0:00:00.480500,5.112,345.463,1331.707
0:00:00.484313,5.128,280.073,1331.707
0:00:00.488134,5.124,258.463,1462.439
0:00:00.491954,5.124,270.463,1783.902
0:00:00.495840,5.124,307.463,1600.976
0:00:00.499864,5.116,264.780,1338.049
0:00:00.503722,5.120,261.585,1357.073
0:00:00.507538,5.112,302.073,1334.634
0:00:00.511350,5.104,263.463,1354.634
0:00:00.515160,5.116,272.268,1378.049
0:00:00.518987,5.120,284.561,1340.976
0:00:00.522806,5.124,342.878,1342.927
0:00:00.526621,5.120,284.171,1477.561
0:00:00.530534,5.112,262.171,1323.415
0:00:00.534363,5.120,269.268,1443.415
0:00:00.538181,5.100,260.171,1749.756
0:00:00.541997,5.120,260.073,1433.171
0:00:00.545809,5.120,257.073,1332.195
0:00:00.549624,5.112,278.463,1339.512
0:00:00.553435,5.104,330.561,1444.878
0:00:00.558183,5.120,258.780,1325.366
0:00:00.562085,5.120,258.878,1449.756
0:00:00.565899,5.120,257.366,1389.268
0:00:00.569724,5.096,269.171,1339.512
0:00:00.573554,5.120,258.171,1337.073
0:00:00.577372,5.120,283.561,1339.512
0:00:00.581174,5.128,342.073,1328.293
0:00:00.584978,5.116,281.780,1332.195
0:00:00.588782,5.124,259.171,1371.707
0:00:00.592611,5.120,269.463,1460.000
0:00:00.596465,5.120,261.585,1772.683
0:00:00.600385,5.116,305.366,1453.171
0:00:00.604342,5.128,274.073,1337.073
0:00:00.608189,5.116,273.463,1335.610
0:00:00.612008,5.104,344.561,1323.415
0:00:00.615821,5.120,284.780,1336.098
0:00:00.619640,5.120,262.585,1337.073
0:00:00.623458,5.120,294.683,1353.659
0:00:00.627278,5.128,342.659,1462.439
0:00:00.631102,5.124,256.878,1334.146
0:00:00.635790,5.128,284.073,1452.195
0:00:00.640704,5.096,317.268,1326.829
0:00:00.645521,5.128,261.171,1338.049
0:00:00.650332,5.120,281.683,1458.537
0:00:00.655135,5.112,260.171,1331.707
0:00:00.659944,5.120,265.585,1344.878
0:00:00.664744,5.124,284.561,1447.317
0:00:00.669551,5.120,259.463,1335.610
0:00:00.674360,5.124,285.780,1377.073
0:00:00.679175,5.120,286.073,1322.927
0:00:00.683993,5.116,260.976,1309.268
0:00:00.688925,5.120,280.780,1377.073
0:00:00.693753,5.124,282.463,1378.049
0:00:00.698575,5.120,258.780,1571.220
0:00:00.703394,5.116,284.171,1343.415
0:00:00.708292,5.124,273.073,1342.927
0:00:00.713109,5.128,271.366,1699.024
0:00:00.717917,5.112,284.073,1363.415
0:00:00.722726,5.116,258.780,1330.732
0:00:00.727534,5.120,265.171,1751.707
0:00:00.732386,5.112,284.561,1316.098
0:00:00.737202,5.120,259.976,1329.268
0:00:00.742017,5.120,342.366,1727.317
0:00:00.746831,5.120,283.366,1353.171
0:00:00.751636,5.120,260.268,1359.512
0:00:00.756436,5.116,338.659,1747.805
0:00:00.761240,5.116,259.878,1324.390
0:00:00.766046,5.124,265.171,1453.659
0:00:00.770851,5.100,341.073,1338.537
0:00:00.777487,5.120,257.585,1320.976
0:00:00.782346,5.120,266.683,1483.415
0:00:00.787137,5.104,339.171,1461.951
0:00:00.792348,5.108,257.366,1314.146
0:00:00.797269,5.120,260.463,1435.610
0:00:00.802113,5.092,347.756,1481.951
0:00:00.806924,5.120,258.780,1326.829
0:00:00.811736,5.112,257.585,1453.659
0:00:00.816543,5.100,341.976,1464.390
0:00:00.821429,5.120,270.976,1333.171
0:00:00.826227,5.116,283.561,1451.220
0:00:00.831089,5.100,343.561,1338.049
0:00:00.835909,5.128,258.463,1319.512
0:00:00.840805,5.120,274.073,1438.537
0:00:00.845618,5.100,342.561,1320.976
0:00:00.850423,5.124,258.366,1320.976
0:00:00.855231,5.120,282.561,1493.659
0:00:00.860039,5.096,258.585,1326.829
0:00:00.864845,5.120,257.366,1329.268
0:00:00.869735,5.128,282.171,1480.976
0:00:00.874543,5.108,267.585,1339.512
0:00:00.879351,5.124,267.268,1340.976
0:00:00.884153,5.120,285.073,1438.049
0:00:00.889058,5.116,261.585,1582.439
0:00:00.893966,5.124,290.976,1337.073
0:00:00.898781,5.120,286.171,1424.390
0:00:00.903584,5.124,258.073,1305.366
0:00:00.908390,5.120,283.463,1355.610
0:00:00.913198,5.124,280.463,1318.049
0:00:00.918076,5.124,257.976,1394.634
0:00:00.922889,5.116,279.878,1327.317
0:00:00.927704,5.116,267.268,1389.268
0:00:00.932555,5.124,258.366,1746.341
0:00:00.937442,5.120,283.366,1340.976
0:00:00.942281,5.124,258.683,1325.366
0:00:00.947099,5.124,280.171,1739.024
0:00:00.951903,5.112,281.366,1318.049
0:00:00.956781,5.120,261.073,1314.146
0:00:00.961599,5.112,337.659,1751.707
0:00:00.966403,5.116,279.878,1321.951
0:00:00.971221,5.124,259.463,1325.854
0:00:00.976026,5.124,338.976,1734.146
0:00:00.980827,5.128,260.683,1373.659
0:00:00.985642,5.120,259.463,1338.049
0:00:00.990531,5.116,340.268,1744.878
0:00:00.995367,5.112,260.780,1354.634
0:00:01.000187,5.124,264.976,1508.293
0:00:01.005029,5.120,360.366,1671.220
0:00:01.012066,5.112,262.683,1352.195
0:00:01.017015,5.128,262.268,1389.756
0:00:01.021828,5.120,345.756,1498.537
0:00:01.026621,5.116,262.878,1340.488
0:00:01.031548,5.124,258.976,1329.756
0:00:01.036413,5.100,347.268,1463.415
0:00:01.041221,5.108,256.976,1325.366
0:00:01.046027,5.120,257.463,1450.732
0:00:01.050857,5.096,341.463,1400.488
0:00:01.055671,5.120,270.073,1340.976
0:00:01.060572,5.112,284.366,1335.610
0:00:01.065375,5.120,260.976,1761.463
0:00:01.070185,5.100,259.878,1338.049
0:00:01.074986,5.120,259.585,1395.610
0:00:01.079880,5.104,297.171,1736.098
0:00:01.084697,5.112,258.780,1315.610
0:00:01.089504,5.120,308.976,1469.756
0:00:01.094381,5.104,293.976,1311.707
0:00:01.099206,5.124,256.878,1326.829
0:00:01.104009,5.120,306.976,1484.878
0:00:01.108894,5.108,302.878,1337.073
0:00:01.113710,5.128,256.878,1393.659
0:00:01.118525,5.120,305.463,1464.390
0:00:01.123331,5.120,259.976,1325.854
0:00:01.128215,5.120,340.561,1457.073
0:00:01.133065,5.120,307.366,1347.317
0:00:01.137875,5.128,262.073,1328.293
0:00:01.142686,5.128,339.756,1479.512
0:00:01.147502,5.120,260.463,1318.049
0:00:01.152305,5.120,258.366,1488.293
0:00:01.157118,5.104,340.268,1379.512
0:00:01.161920,5.120,262.585,1340.976
0:00:01.166799,5.116,317.976,1517.561
0:00:01.171619,5.104,343.268,1325.854
0:00:01.176424,5.124,255.878,1404.390
0:00:01.181233,5.112,329.268,1508.780
0:00:01.186033,5.092,257.780,1325.366
0:00:01.190833,5.124,257.463,1586.341
0:00:01.195675,5.116,318.780,1520.976
0:00:01.200578,5.112,262.171,1331.707
0:00:01.205394,5.112,261.878,1572.683
0:00:01.210206,5.112,320.878,1330.732
0:00:01.215012,5.120,256.780,1482.439
0:00:01.219888,5.112,259.268,1561.463
0:00:01.224694,5.112,256.780,1318.049
0:00:01.229501,5.132,275.585,1728.780
0:00:01.234358,5.112,268.463,1505.854
0:00:01.239179,5.124,256.976,1363.415
0:00:01.245703,5.100,339.171,1454.634
0:00:01.250676,5.116,288.976,1364.390
0:00:01.255481,5.132,257.585,1390.732
0:00:01.260275,5.108,341.659,1436.098
0:00:01.265077,5.120,258.171,1330.732
0:00:01.269953,5.128,317.073,1582.439
0:00:01.274746,5.108,340.976,1334.634
0:00:01.279547,5.116,259.976,1338.049
0:00:01.284351,5.112,321.659,1515.122
0:00:01.289160,5.100,270.268,1332.195
0:00:01.293964,5.120,257.366,1568.780
0:00:01.298780,5.112,318.659,1480.976
0:00:01.303582,5.124,259.463,1338.049
0:00:01.308385,5.108,262.171,1563.415
0:00:01.313196,5.120,298.366,1315.610
0:00:01.318093,5.116,260.463,1731.707
0:00:01.322906,5.120,258.463,1606.341
0:00:01.327722,5.112,259.878,1310.732
0:00:01.332526,5.112,255.488,1737.561
0:00:01.337453,5.116,258.878,1573.659
0:00:01.342267,5.128,268.073,1359.512
0:00:01.347069,5.124,340.756,1742.927
0:00:01.351874,5.116,260.268,1331.707
0:00:01.356679,5.124,259.463,1345.854
0:00:01.361566,5.104,350.976,1762.927
0:00:01.366377,5.124,260.878,1328.293
0:00:01.371186,5.116,265.976,1626.341
0:00:01.375990,5.112,347.073,1351.707
0:00:01.380794,5.120,260.780,1331.707
0:00:01.385600,5.108,283.780,1623.415
0:00:01.390399,5.108,271.366,1314.146
0:00:01.395235,5.120,261.780,1380.976
0:00:01.400056,5.112,282.976,1614.634
0:00:01.404860,5.124,258.780,1336.098
0:00:01.409745,5.132,282.463,1324.390
0:00:01.414555,5.112,282.463,1327.317
0:00:01.419367,5.124,258.585,1528.780
0:00:01.424171,5.104,281.366,1340.976
0:00:01.429069,5.104,258.463,1334.146
0:00:01.433879,5.124,264.976,1760.000
0:00:01.438733,5.096,283.780,1318.049
0:00:01.443546,5.124,262.073,1338.537
0:00:01.448355,5.112,296.463,1783.902
0:00:01.453174,5.104,279.780,1329.268
0:00:01.458060,5.116,259.366,1320.976
0:00:01.462867,5.108,295.463,1739.024
0:00:01.467677,5.124,256.366,1370.732
0:00:01.472486,5.116,262.976,1433.171
0:00:01.477297,5.112,344.268,1320.976
0:00:01.483865,5.124,257.780,1322.927
0:00:01.488702,5.116,283.171,1622.439
0:00:01.493500,5.096,325.366,1324.390
0:00:01.498348,5.116,257.268,1319.512
0:00:01.503148,5.116,283.366,1411.220
0:00:01.507946,5.124,257.366,1327.317
0:00:01.512738,5.112,285.683,1319.512
0:00:01.517551,5.108,259.683,1319.512
0:00:01.522351,5.124,264.463,1744.878
0:00:01.527159,5.104,281.976,1315.610
0:00:01.531951,5.112,257.463,1334.634
0:00:01.536761,5.128,294.073,1736.585
0:00:01.541570,5.100,284.683,1340.488
0:00:01.546376,5.120,256.780,1378.537
0:00:01.551188,5.112,294.073,1736.585
0:00:01.555985,5.100,257.683,1340.976
0:00:01.560815,5.124,301.366,1453.659
0:00:01.565629,5.108,294.780,1344.390
0:00:01.570475,5.120,261.780,1332.195
0:00:01.575301,5.120,311.659,1519.512
0:00:01.580115,5.100,260.780,1331.707
0:00:01.584919,5.120,258.780,1448.293
0:00:01.589801,5.128,307.268,1453.171
0:00:01.594606,5.120,271.976,1317.073
0:00:01.599417,5.124,332.366,1437.073
0:00:01.604221,5.120,307.659,1391.707
0:00:01.609103,5.120,256.585,1322.927
0:00:01.613903,5.104,346.463,1445.854
0:00:01.618707,5.120,268.878,1369.268
0:00:01.623858,5.112,259.878,1329.268
0:00:01.628759,5.128,342.268,1497.561
0:00:01.633569,5.120,308.073,1348.293
0:00:01.638457,5.120,262.780,1350.732
0:00:01.643288,5.096,343.561,1461.951
0:00:01.648173,5.124,267.268,1399.512
0:00:01.652981,5.112,262.976,1515.122
0:00:01.657801,5.104,345.366,1390.732
0:00:01.662615,5.120,260.878,1330.732
0:00:01.667494,5.124,326.171,1495.122
0:00:01.672310,5.096,341.878,1315.610
0:00:01.677122,5.120,258.585,1402.439
0:00:01.681949,5.124,319.780,1509.756
0:00:01.686765,5.104,257.463,1310.732
0:00:01.691582,5.128,258.171,1571.220
0:00:01.696400,5.116,315.268,1381.951
0:00:01.701226,5.120,261.463,1390.732
0:00:01.706039,5.120,257.585,1580.976
0:00:01.710858,5.116,258.683,1309.756
0:00:01.717529,5.132,260.683,1455.610
0:00:01.722392,5.112,307.878,1437.073
0:00:01.727410,5.112,296.268,1317.073
0:00:01.732220,5.120,257.878,1440.976
0:00:01.737067,5.128,305.683,1505.854
0:00:01.741873,5.120,257.585,1322.927
0:00:01.746677,5.128,298.780,1454.634
0:00:01.751553,5.112,306.463,1329.756
0:00:01.756357,5.124,266.878,1379.512
0:00:01.761168,5.100,339.976,1455.610
0:00:01.765968,5.128,286.683,1337.073
0:00:01.770777,5.120,258.366,1512.195
0:00:01.775574,5.100,344.976,1329.756
0:00:01.780373,5.124,261.976,1334.634
0:00:01.785173,5.120,316.878,1512.195
0:00:01.789973,5.100,258.366,1352.195
0:00:01.794786,5.116,259.878,1314.634
0:00:01.799707,5.120,320.878,1509.756
0:00:01.804517,5.112,262.585,1309.756
0:00:01.809336,5.132,259.976,1605.854
0:00:01.814145,5.116,320.878,1456.098
0:00:01.819025,5.136,256.780,1320.976
0:00:01.823832,5.120,258.585,1572.683
0:00:01.828630,5.112,302.683,1316.098
0:00:01.833445,5.124,258.683,1756.098
0:00:01.838389,5.124,259.878,1584.878
0:00:01.843202,5.112,262.073,1325.366
0:00:01.848076,5.120,258.683,1736.098
0:00:01.852882,5.116,260.073,1563.902
0:00:01.857696,5.116,259.878,1327.317
0:00:01.862510,5.120,343.878,1779.024
0:00:01.867321,5.120,259.171,1322.927
0:00:01.872152,5.128,260.683,1332.195
0:00:01.876971,5.112,342.268,1738.537
0:00:01.881778,5.120,260.073,1376.098
0:00:01.886588,5.124,260.463,1623.902
0:00:01.891467,5.108,339.561,1404.390
0:00:01.896376,5.120,259.463,1338.537
0:00:01.901198,5.120,292.366,1631.220
0:00:01.906003,5.116,344.268,1328.293
0:00:01.910822,5.108,258.976,1334.146
0:00:01.915633,5.112,283.366,1619.024
0:00:01.920448,5.112,264.073,1326.829
0:00:01.925254,5.128,285.171,1323.415
0:00:01.930062,5.120,283.976,1321.951
0:00:01.934871,5.124,258.976,1360.976
0:00:01.939832,5.132,282.561,1328.293
0:00:01.944663,5.112,275.976,1322.927
0:00:01.951193,5.120,258.171,1731.707
0:00:01.956057,5.116,257.976,1574.634
0:00:01.960873,5.124,255.780,1312.195
0:00:01.965671,5.128,314.073,1760.488
