TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000127,5.124,257.366,1325.366
0:00:00.004149,5.120,257.976,1349.268
0:00:00.007967,5.120,256.780,1338.537
0:00:00.011816,5.120,259.366,1329.756
0:00:00.015637,5.120,256.171,1330.732
0:00:00.019453,5.116,257.463,1340.488
0:00:00.023274,5.116,282.463,1382.439
0:00:00.027087,5.128,257.171,1337.073
0:00:00.030959,5.128,256.268,1352.195
0:00:00.034786,5.120,257.463,1334.146
0:00:00.038596,5.132,257.268,1347.317
0:00:00.042412,5.124,258.366,1338.049
0:00:00.046224,5.120,257.878,1332.195
0:00:00.050045,5.112,256.171,1342.927
0:00:00.053876,5.120,259.268,1331.707
0:00:00.057689,5.120,259.366,1371.707
0:00:00.061508,5.120,264.780,1367.317
0:00:00.065325,5.120,262.585,1572.195
0:00:00.069138,5.112,259.976,1577.561
0:00:00.072960,5.124,260.463,1320.488
0:00:00.076773,5.120,270.780,1354.634
0:00:00.080585,5.112,259.463,1560.000
0:00:00.084397,5.108,260.463,1311.707
0:00:00.088210,5.128,264.171,1326.829
0:00:00.092038,5.124,260.268,1311.707
0:00:00.095869,5.128,314.073,1306.829
0:00:00.099743,5.120,310.878,1318.537
0:00:00.103565,5.120,260.878,1320.976
0:00:00.107376,5.128,260.463,1557.073
0:00:00.111190,5.120,261.073,1586.341
0:00:00.115006,5.104,261.976,1323.415
0:00:00.118818,5.120,261.073,1327.317
0:00:00.122631,5.124,259.268,1314.146
0:00:00.126444,5.104,308.561,1310.732
0:00:00.130318,5.112,264.171,1380.488
0:00:00.134164,5.124,261.073,1325.854
0:00:00.137981,5.124,308.073,1540.976
0:00:00.141799,5.120,304.780,1568.293
0:00:00.145615,5.124,259.366,1319.512
0:00:00.149436,5.124,272.268,1337.073
0:00:00.153249,5.104,258.780,1558.537
0:00:00.157066,5.116,259.268,1457.073
0:00:00.160887,5.128,258.073,1338.049
0:00:00.164703,5.120,259.268,1334.146
0:00:00.168515,5.112,306.561,1334.146
0:00:00.172337,5.124,305.268,1335.610
0:00:00.176160,5.120,259.683,1325.854
0:00:00.179976,5.120,257.878,1572.683
0:00:00.183790,5.108,289.073,1377.073
0:00:00.188448,5.104,257.976,1341.951
0:00:00.192343,5.116,265.683,1337.073
0:00:00.196225,5.120,303.073,1351.707
0:00:00.200056,5.116,303.366,1575.122
0:00:00.203872,5.116,260.366,1318.537
0:00:00.207686,5.120,258.780,1335.610
0:00:00.211499,5.108,256.268,1576.098
0:00:00.215318,5.112,268.976,1560.000
0:00:00.219134,5.112,258.780,1332.195
0:00:00.222948,5.120,261.683,1314.146
0:00:00.226759,5.112,305.683,1318.537
0:00:00.230588,5.120,304.683,1319.512
0:00:00.234428,5.120,261.366,1314.634
0:00:00.238244,5.120,260.073,1609.756
0:00:00.242060,5.120,282.878,1541.951
0:00:00.245876,5.124,261.585,1314.634
0:00:00.249741,5.112,262.878,1318.537
0:00:00.253560,5.120,261.073,1528.780
0:00:00.257372,5.120,272.268,1314.146
0:00:00.261183,5.116,261.073,1320.976
0:00:00.264996,5.120,261.366,1314.634
0:00:00.268809,5.120,307.366,1335.610
0:00:00.272628,5.124,307.366,1321.951
0:00:00.276442,5.112,269.780,1322.927
0:00:00.280308,5.120,260.683,1330.732
0:00:00.284123,5.120,260.073,1562.439
0:00:00.287934,5.104,261.171,1560.000
0:00:00.291748,5.120,258.366,1344.390
0:00:00.295565,5.116,259.366,1325.854
0:00:00.299382,5.112,267.878,1332.195
0:00:00.303193,5.104,304.683,1330.732
0:00:00.307003,5.120,255.976,1328.293
0:00:00.310825,5.124,266.171,1383.415
0:00:00.314646,5.120,304.366,1409.268
0:00:00.318457,5.120,303.878,1332.195
0:00:00.322327,5.124,257.585,1344.390
0:00:00.326139,5.128,260.268,1561.463
0:00:00.329953,5.112,256.268,1570.732
0:00:00.333766,5.112,256.268,1340.976
0:00:00.337578,5.124,258.171,1319.512
0:00:00.341399,5.128,304.780,1331.707
0:00:00.345212,5.108,306.463,1344.390
0:00:00.349021,5.120,258.878,1322.927
0:00:00.352900,5.112,259.268,1335.610
0:00:00.356720,5.120,296.073,1557.073
0:00:00.360538,5.124,257.463,1565.854
0:00:00.364355,5.124,257.683,1378.537
0:00:00.368168,5.120,260.366,1312.195
0:00:00.372817,5.112,307.659,1540.000
0:00:00.376652,5.128,307.366,1320.976
0:00:00.380468,5.124,260.780,1320.488
0:00:00.384276,5.116,272.366,1568.780
0:00:00.388086,5.112,260.780,1556.098
0:00:00.391897,5.108,257.463,1338.537
0:00:00.395725,5.120,258.683,1322.927
0:00:00.399557,5.128,309.171,1387.317
0:00:00.403371,5.120,306.171,1344.390
0:00:00.407181,5.124,259.878,1326.829
0:00:00.411053,5.124,260.878,1323.415
0:00:00.414874,5.120,305.171,1579.512
0:00:00.418688,5.120,268.780,1583.415
0:00:00.422500,5.112,255.878,1324.390
0:00:00.426315,5.120,256.585,1338.049
0:00:00.430130,5.108,258.171,1361.951
0:00:00.433964,5.112,257.268,1340.976
0:00:00.437774,5.120,270.171,1342.927
0:00:00.441646,5.120,258.073,1341.951
0:00:00.445460,5.124,304.561,1339.512
0:00:00.449272,5.120,304.366,1331.707
0:00:00.453082,5.128,256.976,1334.634
0:00:00.456890,5.136,256.366,1566.341
0:00:00.460699,5.120,258.463,1563.902
0:00:00.464512,5.112,257.171,1335.610
0:00:00.468325,5.120,260.463,1315.610
0:00:00.472142,5.128,264.366,1367.317
0:00:00.475958,5.104,260.683,1311.707
0:00:00.479770,5.116,262.366,1321.951
0:00:00.483585,5.120,258.171,1331.707
0:00:00.487399,5.112,306.171,1319.512
0:00:00.491208,5.124,310.073,1543.902
0:00:00.495017,5.128,259.976,1332.195
0:00:00.498833,5.128,262.073,1305.366
0:00:00.502648,5.120,259.683,1576.098
0:00:00.506458,5.116,258.878,1558.537
0:00:00.510328,5.124,269.780,1306.829
0:00:00.514163,5.124,259.976,1325.854
0:00:00.517982,5.112,315.976,1334.146
0:00:00.521801,5.112,306.878,1339.512
0:00:00.525616,5.116,259.463,1387.317
0:00:00.529429,5.128,259.366,1556.098
0:00:00.533240,5.124,304.171,1571.220
0:00:00.537051,5.124,260.073,1325.366
0:00:00.540864,5.120,258.976,1335.610
0:00:00.544677,5.124,266.780,1603.415
0:00:00.548488,5.112,259.585,1389.756
0:00:00.552360,5.112,259.171,1328.293
0:00:00.557008,5.124,258.780,1335.610
0:00:00.560877,5.124,257.683,1570.732
0:00:00.564689,5.108,268.878,1559.512
0:00:00.568497,5.124,259.463,1342.927
0:00:00.572321,5.120,261.976,1320.976
0:00:00.576132,5.112,304.683,1320.976
0:00:00.579943,5.112,308.073,1366.829
0:00:00.583753,5.116,261.683,1317.073
0:00:00.587563,5.124,261.683,1325.854
0:00:00.591373,5.124,308.366,1523.902
0:00:00.595184,5.116,289.171,1323.415
0:00:00.599007,5.120,263.878,1384.390
0:00:00.602883,5.120,261.585,1562.439
0:00:00.606693,5.108,263.878,1577.561
0:00:00.610506,5.096,259.463,1318.049
0:00:00.614314,5.120,261.171,1318.049
0:00:00.618121,5.124,323.976,1334.634
0:00:00.621931,5.112,305.976,1314.146
0:00:00.625744,5.124,256.585,1340.976
0:00:00.629555,5.124,258.585,1329.268
0:00:00.633436,5.124,256.878,1383.415
0:00:00.638137,5.120,304.780,1353.659
0:00:00.643029,5.128,325.561,1481.951
0:00:00.647841,5.108,270.976,1418.049
0:00:00.652643,5.104,315.073,1377.073
0:00:00.657446,5.120,260.878,1324.390
0:00:00.662322,5.120,259.463,1404.390
0:00:00.667129,5.104,307.268,1325.854
0:00:00.671952,5.112,271.976,1314.634
0:00:00.676780,5.128,311.780,1864.390
0:00:00.681590,5.108,308.659,1320.976
0:00:00.686397,5.124,256.780,1324.390
0:00:00.691280,5.116,256.463,1635.122
0:00:00.696083,5.108,303.073,1326.829
0:00:00.700895,5.120,258.073,1328.293
0:00:00.705696,5.124,304.561,1612.195
0:00:00.710585,5.116,307.463,1341.951
0:00:00.715397,5.120,259.780,1334.634
0:00:00.720197,5.120,310.976,1586.341
0:00:00.725001,5.112,308.463,1340.976
0:00:00.729876,5.116,262.366,1340.976
0:00:00.734698,5.128,309.976,1563.902
0:00:00.739509,5.104,287.976,1332.195
0:00:00.744313,5.128,272.976,1353.659
0:00:00.749178,5.120,308.073,1563.415
0:00:00.753993,5.112,270.073,1334.146
0:00:00.758799,5.120,263.268,1380.976
0:00:00.763636,5.120,308.073,1575.122
0:00:00.768446,5.112,259.585,1326.829
0:00:00.775136,5.120,258.268,1338.049
0:00:00.779968,5.112,307.561,1569.756
0:00:00.784762,5.128,260.878,1326.829
0:00:00.789549,5.120,260.073,1347.317
0:00:00.794345,5.112,307.268,1580.976
0:00:00.799255,5.120,261.585,1351.707
0:00:00.804071,5.120,262.976,1343.415
0:00:00.808865,5.116,310.073,1349.756
0:00:00.813684,5.124,261.878,1387.317
0:00:00.818494,5.120,263.463,1384.878
0:00:00.823293,5.104,285.366,1334.146
0:00:00.828089,5.116,260.976,1331.707
0:00:00.832973,5.124,269.585,1315.610
0:00:00.837785,5.112,274.073,1338.049
0:00:00.842598,5.128,257.976,1320.488
0:00:00.847413,5.124,260.463,1335.610
0:00:00.852297,5.112,263.073,1318.537
0:00:00.857104,5.120,256.585,1316.098
0:00:00.861900,5.128,258.366,1325.854
0:00:00.866698,5.116,257.585,1373.659
0:00:00.871561,5.120,260.171,1339.512
0:00:00.876363,5.116,257.780,1337.073
0:00:00.881172,5.112,261.171,1336.098
0:00:00.885971,5.128,304.683,1378.537
0:00:00.890780,5.120,256.780,1343.415
0:00:00.895593,5.128,261.268,1316.098
0:00:00.900533,5.120,308.073,1328.293
0:00:00.905348,5.120,259.976,1319.512
0:00:00.910154,5.120,259.366,1326.829
0:00:00.914953,5.096,310.780,1325.854
0:00:00.919826,5.120,262.073,1326.829
0:00:00.924636,5.120,258.268,1317.073
0:00:00.929442,5.116,305.171,1313.171
0:00:00.934250,5.116,257.976,1332.195
0:00:00.939059,5.128,256.171,1608.293
0:00:00.943946,5.108,304.561,1340.976
0:00:00.948744,5.120,258.878,1330.732
0:00:00.953544,5.124,258.878,1572.195
0:00:00.958346,5.112,313.659,1378.049
0:00:00.963221,5.120,261.585,1336.098
0:00:00.968043,5.116,258.780,1566.341
0:00:00.972939,5.108,309.878,1314.634
0:00:00.977755,5.124,260.878,1327.317
0:00:00.982577,5.132,279.366,1554.634
0:00:00.987388,5.104,303.976,1323.415
0:00:00.992285,5.128,258.780,1332.195
0:00:00.997109,5.124,291.780,1563.902
0:00:01.002125,5.112,257.780,1340.976
0:00:01.008729,5.128,261.073,1339.512
0:00:01.013575,5.116,271.268,1570.732
0:00:01.018380,5.104,261.585,1337.073
0:00:01.023177,5.112,261.171,1331.707
0:00:01.027970,5.128,304.780,1557.073
0:00:01.032781,5.108,259.366,1315.610
0:00:01.037638,5.124,258.976,1308.293
