TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000128,5.120,260.366,1361.951
0:00:00.004141,5.124,261.268,1400.488
0:00:00.007965,5.120,261.585,1349.756
0:00:00.011782,5.120,261.268,1348.293
0:00:00.015604,5.120,259.463,1338.049
0:00:00.019423,5.124,260.268,1334.634
0:00:00.023247,5.124,270.780,1552.195
0:00:00.027062,5.112,298.268,1517.561
0:00:00.030889,5.116,302.073,1534.634
0:00:00.034721,5.104,300.366,1533.171
0:00:00.038536,5.112,302.171,1527.317
0:00:00.042353,5.112,310.561,1534.634
0:00:00.046166,5.108,303.976,1529.756
0:00:00.049977,5.104,302.463,1520.976
0:00:00.053791,5.116,300.683,1536.098
0:00:00.057598,5.112,300.268,1592.683
0:00:00.061412,5.104,300.366,1517.073
0:00:00.065228,5.112,298.780,1510.732
0:00:00.069038,5.104,299.561,1512.195
0:00:00.072940,5.112,300.268,1511.220
0:00:00.076770,5.104,303.976,1568.293
0:00:00.080585,5.108,298.463,1526.341
0:00:00.084396,5.112,299.683,1530.732
0:00:00.088208,5.112,299.976,1520.976
0:00:00.092019,5.112,299.171,1514.634
0:00:00.095835,5.104,300.463,1523.415
0:00:00.099651,5.108,298.976,1527.317
0:00:00.103466,5.112,296.976,1546.341
0:00:00.107274,5.104,297.268,1526.341
0:00:00.111101,5.112,299.073,1524.878
0:00:00.114930,5.112,295.268,1533.659
0:00:00.118749,5.112,296.976,1544.878
0:00:00.122569,5.112,296.073,1524.878
0:00:00.126386,5.116,295.073,1532.195
0:00:00.130203,5.108,298.366,1577.561
0:00:00.134018,5.112,303.171,1934.146
0:00:00.137836,5.092,375.268,1943.902
0:00:00.141708,5.096,379.366,1921.951
0:00:00.145529,5.096,378.854,1939.512
0:00:00.149350,5.088,387.561,1982.927
0:00:00.153181,5.088,378.659,1925.366
0:00:00.157003,5.100,377.659,1935.122
0:00:00.160822,5.096,381.171,1917.561
0:00:00.164636,5.088,378.463,1938.049
0:00:00.168452,5.092,382.171,1930.732
0:00:00.172325,5.096,376.854,1921.951
0:00:00.176147,5.096,385.268,1937.561
0:00:00.179964,5.096,377.268,1941.463
0:00:00.183778,5.100,392.073,1935.122
0:00:00.188423,5.088,381.854,1927.805
0:00:00.192331,5.096,380.976,1915.610
0:00:00.196161,5.088,381.171,1927.805
0:00:00.199974,5.088,385.366,1925.366
0:00:00.203802,5.092,391.463,1923.902
0:00:00.207613,5.088,379.976,1918.049
0:00:00.211426,5.100,381.561,1923.902
0:00:00.215244,5.096,379.366,1928.780
0:00:00.219061,5.088,382.756,1920.000
0:00:00.222937,5.096,382.854,1936.585
0:00:00.226757,5.088,381.366,1932.683
0:00:00.230578,5.092,378.854,1926.341
0:00:00.234404,5.088,382.171,1925.366
0:00:00.238221,5.088,379.659,1992.683
0:00:00.242034,5.088,383.171,1924.390
0:00:00.245847,5.088,377.268,1950.244
0:00:00.249663,5.096,380.976,1945.366
0:00:00.253475,5.096,379.171,1952.683
0:00:00.257286,5.092,388.561,1991.707
0:00:00.261101,5.088,390.268,1941.463
0:00:00.264916,5.088,378.268,1960.488
0:00:00.268726,5.096,378.171,1950.732
0:00:00.272547,5.100,381.561,1946.829
0:00:00.276361,5.092,381.561,1949.268
0:00:00.280178,5.092,387.463,1952.683
0:00:00.283991,5.088,377.659,1943.902
0:00:00.287802,5.096,379.171,1953.171
0:00:00.291674,5.088,381.268,1981.463
0:00:00.295520,5.096,379.561,1939.512
0:00:00.299345,5.104,378.854,1939.512
0:00:00.303168,5.092,381.268,1935.122
0:00:00.306978,5.088,379.756,1947.805
0:00:00.310795,5.088,389.171,2065.366
0:00:00.314672,5.092,383.073,1959.024
0:00:00.318502,5.084,380.463,1956.585
0:00:00.322395,5.092,380.366,1945.366
0:00:00.326217,5.104,379.561,1948.293
0:00:00.330054,5.096,390.366,1955.122
0:00:00.333914,5.092,381.561,1961.463
0:00:00.337733,5.088,379.659,1957.561
0:00:00.341561,5.096,381.463,1958.049
0:00:00.345384,5.088,377.366,2002.927
0:00:00.349202,5.092,377.073,1963.902
0:00:00.353043,5.088,380.659,1950.732
0:00:00.356860,5.096,377.854,1961.951
0:00:00.360675,5.096,380.976,2004.390
0:00:00.364496,5.096,385.171,1986.829
0:00:00.368314,5.096,380.366,1935.122
0:00:00.373017,5.096,385.171,1930.732
0:00:00.376868,5.088,382.756,1935.122
0:00:00.380689,5.096,383.659,1948.293
0:00:00.384508,5.084,389.268,1923.902
0:00:00.388318,5.088,384.463,1916.585
0:00:00.392134,5.096,390.366,1926.829
0:00:00.395951,5.092,380.854,1930.732
0:00:00.399821,5.092,383.756,1967.805
0:00:00.403647,5.096,384.268,1928.780
0:00:00.407461,5.096,384.171,1934.146
0:00:00.411294,5.100,381.756,1919.024
0:00:00.415180,5.088,382.171,1924.390
0:00:00.419000,5.088,385.073,1930.244
0:00:00.422821,5.096,381.366,1928.780
0:00:00.426635,5.088,381.561,1924.390
0:00:00.430453,5.088,382.976,1927.805
0:00:00.434262,5.096,382.073,1955.122
0:00:00.438072,5.092,394.366,1945.366
0:00:00.441924,5.092,383.073,1943.902
0:00:00.445752,5.088,380.171,1937.561
0:00:00.449563,5.088,384.073,1933.171
0:00:00.453373,5.096,377.756,1946.829
0:00:00.457180,5.088,382.171,1944.390
0:00:00.461040,5.096,384.171,1984.390
0:00:00.464863,5.096,379.463,1950.732
0:00:00.468677,5.096,379.756,1939.024
0:00:00.472490,5.088,391.659,1988.293
0:00:00.476303,5.092,377.756,1946.829
0:00:00.480120,5.096,380.366,1945.366
0:00:00.483958,5.088,376.854,1940.488
0:00:00.487777,5.096,377.659,1959.024
0:00:00.491643,5.104,389.463,1945.366
0:00:00.495456,5.096,378.073,1952.683
0:00:00.499271,5.096,379.463,1963.902
0:00:00.503080,5.092,380.073,1957.561
0:00:00.506899,5.096,378.073,1947.805
0:00:00.510711,5.092,381.366,1935.610
0:00:00.514528,5.092,380.561,1935.122
0:00:00.518345,5.088,378.756,1964.390
0:00:00.522156,5.096,381.268,1928.780
0:00:00.525996,5.092,380.073,1991.707
0:00:00.529823,5.096,378.756,1915.610
0:00:00.533634,5.092,380.268,1930.244
0:00:00.537447,5.096,380.561,1935.122
0:00:00.541262,5.088,382.659,1929.268
0:00:00.545075,5.088,381.463,1950.244
0:00:00.548890,5.096,385.073,1938.049
0:00:00.552708,5.088,384.073,1923.902
0:00:00.557346,5.096,383.659,1924.390
0:00:00.561234,5.100,379.976,1945.366
0:00:00.565061,5.092,384.854,1948.293
0:00:00.568870,5.104,379.366,1962.927
0:00:00.572692,5.092,383.268,1941.463
0:00:00.576504,5.092,383.073,1936.585
0:00:00.580377,5.088,384.854,2006.829
0:00:00.584195,5.092,382.366,1939.512
0:00:00.588004,5.092,383.268,1941.463
0:00:00.591817,5.092,379.171,1955.610
0:00:00.595630,5.096,379.659,1939.512
0:00:00.599436,5.092,390.073,1982.927
0:00:00.603261,5.096,377.756,1962.927
0:00:00.607079,5.096,378.268,1946.829
0:00:00.610895,5.088,380.366,1950.732
0:00:00.614716,5.080,378.561,1983.902
0:00:00.618536,5.088,384.854,1951.707
0:00:00.622352,5.088,377.561,1941.951
0:00:00.626161,5.092,380.659,1943.902
0:00:00.629971,5.092,378.561,1949.268
0:00:00.633783,5.088,382.171,1973.171
0:00:00.637595,5.088,379.854,1935.122
0:00:00.641415,5.088,384.366,1926.341
0:00:00.645234,5.084,386.366,1930.244
0:00:00.649041,5.088,394.659,1940.488
0:00:00.652915,5.092,384.659,1994.146
0:00:00.657083,5.088,381.976,1956.585
0:00:00.661895,5.092,379.854,2000.488
0:00:00.666701,5.096,382.073,1932.683
0:00:00.671607,5.084,396.366,1926.829
0:00:00.676427,5.088,384.171,1935.122
0:00:00.681233,5.096,378.854,1914.146
0:00:00.686051,5.092,382.268,1939.512
0:00:00.690861,5.096,377.756,1921.951
0:00:00.695666,5.092,386.366,1937.561
0:00:00.700573,5.096,377.268,1932.683
0:00:00.705399,5.088,381.073,1994.146
0:00:00.710208,5.088,380.561,1946.829
0:00:00.715018,5.088,384.659,1961.951
0:00:00.719918,5.084,383.366,1927.805
0:00:00.724747,5.096,393.073,1952.683
0:00:00.729559,5.084,381.171,1930.244
0:00:00.734378,5.096,385.854,1934.146
0:00:00.739190,5.096,379.756,1936.585
0:00:00.743992,5.096,391.268,1938.049
0:00:00.748800,5.092,384.268,1930.244
0:00:00.753621,5.096,378.976,1928.780
0:00:00.758482,5.092,379.366,1984.390
0:00:00.763303,5.092,395.463,1935.122
0:00:00.769927,5.088,378.073,1940.488
0:00:00.774766,5.092,380.366,1923.902
0:00:00.779568,5.088,390.951,1930.732
0:00:00.784365,5.092,376.854,1943.902
0:00:00.789249,5.096,382.268,1943.902
0:00:00.794073,5.088,381.561,1956.585
0:00:00.798885,5.092,381.854,1959.512
0:00:00.803690,5.092,383.976,1949.268
0:00:00.808505,5.088,381.171,1948.293
0:00:00.813327,5.088,383.561,2007.805
0:00:00.818181,5.096,382.659,1944.390
0:00:00.823073,5.096,378.463,1926.829
0:00:00.827874,5.092,381.561,1921.951
0:00:00.832681,5.096,384.268,1984.390
0:00:00.837476,5.100,379.366,1935.610
0:00:00.842371,5.100,379.366,1930.732
0:00:00.847186,5.088,378.073,1928.780
0:00:00.851995,5.092,379.561,1942.927
0:00:00.856801,5.088,377.854,1939.512
0:00:00.861618,5.092,381.976,1945.366
0:00:00.866427,5.088,378.976,1938.049
0:00:00.871251,5.088,382.659,1962.927
0:00:00.876073,5.088,384.073,1950.732
0:00:00.880884,5.092,381.366,1944.390
0:00:00.885686,5.088,384.561,1988.293
0:00:00.890577,5.096,384.756,1939.512
0:00:00.895391,5.088,382.171,1951.707
0:00:00.900195,5.092,381.171,1927.805
0:00:00.904997,5.096,393.854,1926.829
0:00:00.909872,5.100,381.659,1995.122
0:00:00.914781,5.096,378.756,1944.390
0:00:00.919620,5.096,382.659,1958.049
0:00:00.924435,5.088,381.171,1962.927
0:00:00.929243,5.092,380.171,1947.805
0:00:00.934048,5.088,381.366,2004.390
0:00:00.938858,5.096,378.659,1958.049
0:00:00.943667,5.088,384.854,1953.171
0:00:00.948472,5.096,382.854,1958.049
0:00:00.953283,5.088,384.463,1938.049
0:00:00.958138,5.096,383.073,1932.683
0:00:00.963076,5.088,381.561,1946.829
0:00:00.967901,5.092,381.756,1936.585
0:00:00.972713,5.096,381.171,1941.463
0:00:00.977518,5.092,389.951,1947.805
0:00:00.982404,5.092,383.463,1944.390
0:00:00.987216,5.096,378.756,1943.902
0:00:00.992030,5.096,383.268,1956.585
