TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000238,5.128,260.073,1334.146
0:00:00.005311,5.112,256.780,1325.366
0:00:00.010238,5.120,269.976,1334.146
0:00:00.015170,5.116,257.463,1317.073
0:00:00.020024,5.128,259.878,1319.512
0:00:00.024867,5.124,257.976,1366.829
0:00:00.029808,5.124,259.683,1330.732
0:00:00.034665,5.124,260.780,1339.512
0:00:00.039516,5.128,260.463,1324.390
0:00:00.044400,5.128,259.976,1371.707
0:00:00.049250,5.120,260.683,1315.610
0:00:00.054104,5.120,258.171,1331.707
0:00:00.059068,5.116,259.683,1330.732
0:00:00.063922,5.120,270.171,1338.049
0:00:00.068773,5.120,258.366,1325.366
0:00:00.073647,5.120,260.268,1314.634
0:00:00.078509,5.120,258.683,1315.610
0:00:00.083371,5.116,257.878,1314.146
0:00:00.088302,5.120,274.683,1335.610
0:00:00.093152,5.120,261.171,1341.951
0:00:00.098081,5.124,258.268,1337.073
