TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000138,5.124,263.585,1334.146
0:00:00.004160,5.124,261.171,1332.195
0:00:00.007995,5.128,262.683,1377.073
0:00:00.011814,5.120,264.683,1336.098
0:00:00.015631,5.124,261.366,1341.951
0:00:00.019450,5.128,263.463,1342.927
0:00:00.023270,5.120,258.585,1344.878
0:00:00.027147,5.120,265.463,1395.610
0:00:00.030986,5.124,263.976,1334.146
0:00:00.034819,5.120,261.878,1328.293
0:00:00.039673,5.120,262.780,1334.634
0:00:00.043527,5.124,266.878,1329.756
0:00:00.047356,5.112,261.683,1342.927
0:00:00.051185,5.124,264.171,1334.146
0:00:00.055004,5.112,262.268,1329.756
0:00:00.058830,5.120,262.171,1325.854
0:00:00.062653,5.120,261.683,1374.634
0:00:00.066479,5.120,260.878,1324.390
0:00:00.070302,5.112,269.171,1335.610
0:00:00.074129,5.120,262.976,1331.707
0:00:00.077951,5.120,262.976,1335.610
0:00:00.081772,5.120,272.585,1428.293
0:00:00.085590,5.120,259.463,1326.829
0:00:00.089412,5.120,260.683,1337.073
0:00:00.093232,5.124,258.463,1355.610
0:00:00.097111,5.124,260.073,1325.366
0:00:00.100949,5.112,269.073,1322.927
0:00:00.104769,5.116,260.268,1331.707
