TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000235,5.112,303.878,1577.073
0:00:00.005265,5.104,302.976,1553.659
0:00:00.010180,5.116,302.683,1429.756
0:00:00.015017,5.104,296.171,1557.073
0:00:00.019834,5.116,299.073,1567.317
0:00:00.024646,5.112,306.561,1516.098
0:00:00.029539,5.116,286.878,1559.512
0:00:00.034358,5.120,305.268,1585.854
0:00:00.039294,5.112,298.171,1540.976
0:00:00.044115,5.112,295.780,1520.976
0:00:00.048928,5.120,309.659,1514.634
0:00:00.053741,5.116,307.171,1545.854
0:00:00.058645,5.120,296.976,1548.293
0:00:00.063474,5.120,298.366,1489.756
0:00:00.068296,5.104,308.268,1539.512
0:00:00.073107,5.104,300.463,1586.341
0:00:00.077918,5.112,292.561,1511.220
0:00:00.082738,5.112,301.366,1572.683
0:00:00.087632,5.112,303.780,1590.244
0:00:00.092455,5.108,304.171,1437.073
0:00:00.097290,5.108,287.268,1520.000
