TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000237,5.124,260.268,1318.049
0:00:00.005281,5.112,261.463,1315.610
0:00:00.010106,5.128,268.073,1316.098
0:00:00.014910,5.128,259.683,1325.854
0:00:00.019790,5.120,256.585,1317.073
0:00:00.024614,5.112,257.171,1342.927
0:00:00.029427,5.120,258.268,1324.390
0:00:00.034240,5.116,260.366,1334.634
0:00:00.039111,5.128,261.683,1325.366
0:00:00.043936,5.120,261.268,1347.317
0:00:00.048749,5.116,258.780,1329.268
0:00:00.053562,5.112,259.878,1372.195
0:00:00.058376,5.120,258.268,1325.366
0:00:00.063217,5.120,261.171,1345.854
0:00:00.068047,5.120,260.683,1310.732
0:00:00.072917,5.120,258.976,1321.951
0:00:00.077704,5.120,256.585,1346.829
0:00:00.084329,5.128,262.073,1314.146
0:00:00.089201,5.128,257.463,1351.707
0:00:00.094006,5.124,259.463,1315.610
0:00:00.098787,5.120,261.463,1380.976
