TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000241,5.124,256.976,1328.293
0:00:00.005280,5.128,263.463,1321.951
0:00:00.010196,5.128,259.463,1333.171
0:00:00.015002,5.124,261.976,1325.854
0:00:00.019897,5.128,260.683,1318.537
0:00:00.024731,5.128,258.780,1362.927
0:00:00.029546,5.128,264.366,1325.854
0:00:00.034417,5.120,257.780,1339.512
0:00:00.039316,5.120,256.366,1328.293
0:00:00.045979,5.124,261.878,1329.268
0:00:00.050951,5.120,260.463,1338.537
0:00:00.055769,5.128,260.585,1315.610
0:00:00.060578,5.116,261.976,1389.756
0:00:00.065406,5.116,259.878,1319.512
0:00:00.070228,5.124,260.683,1325.366
0:00:00.075040,5.124,258.976,1310.732
0:00:00.079918,5.124,256.780,1371.707
0:00:00.084713,5.124,256.585,1326.829
0:00:00.089527,5.124,305.463,1420.976
0:00:00.094342,5.112,289.976,1643.415
0:00:00.099234,5.112,301.073,1513.171
0:00:00.104046,5.120,298.976,1446.829
0:00:00.108864,5.116,300.463,1505.854
0:00:00.113669,5.104,291.976,1500.976
0:00:00.118489,5.112,281.268,1435.610
0:00:00.123303,5.116,290.780,1484.390
0:00:00.128136,5.108,302.073,1567.317
0:00:00.132960,5.116,270.171,1382.439
0:00:00.137780,5.112,258.878,1315.610
0:00:00.142594,5.128,261.878,1330.732
