TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000236,5.120,260.878,1332.195
0:00:00.005349,5.124,270.585,1386.829
0:00:00.010153,5.120,267.171,1325.854
0:00:00.014952,5.120,260.585,1348.293
0:00:00.019887,5.116,259.585,1323.415
0:00:00.024694,5.120,270.073,1344.878
0:00:00.029526,5.120,261.463,1325.366
0:00:00.034419,5.112,262.366,1319.512
0:00:00.039234,5.120,259.585,1314.146
0:00:00.044050,5.120,260.073,1323.415
0:00:00.048850,5.124,256.878,1322.927
0:00:00.053726,5.120,257.780,1322.927
0:00:00.058546,5.120,257.171,1383.415
0:00:00.063347,5.120,258.171,1329.756
0:00:00.068148,5.120,257.366,1329.756
0:00:00.073024,5.120,260.976,1332.195
0:00:00.077865,5.120,270.268,1338.049
0:00:00.082674,5.128,261.463,1333.171
0:00:00.087484,5.112,317.073,1337.073
0:00:00.092301,5.128,259.268,1325.366
0:00:00.097109,5.128,259.878,1333.171
