TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000247,5.124,258.073,1330.732
0:00:00.005279,5.128,258.366,1356.098
0:00:00.010080,5.128,258.683,1332.195
0:00:00.014901,5.124,258.585,1325.366
0:00:00.019706,5.120,260.780,1333.171
0:00:00.024511,5.128,269.268,1327.317
0:00:00.029370,5.128,259.268,1340.976
0:00:00.034262,5.120,261.878,1319.512
0:00:00.039080,5.112,261.780,1336.098
0:00:00.043889,5.120,260.073,1328.293
0:00:00.048708,5.124,256.976,1320.976
0:00:00.053601,5.128,259.463,1328.293
0:00:00.058406,5.120,259.268,1379.512
0:00:00.063221,5.120,261.171,1335.610
0:00:00.068025,5.128,259.878,1342.927
0:00:00.072835,5.116,258.683,1338.049
0:00:00.077652,5.120,268.268,1389.268
0:00:00.082545,5.120,259.878,1334.146
0:00:00.089179,5.124,314.171,1782.927
0:00:00.094007,5.120,259.683,1404.390
0:00:00.098813,5.120,263.683,1357.073
