TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000238,5.116,267.683,1340.976
0:00:00.005317,5.120,262.780,1319.512
0:00:00.010231,5.124,261.171,1337.073
0:00:00.015036,5.124,259.463,1329.756
0:00:00.019838,5.120,263.268,1326.829
0:00:00.024789,5.116,259.366,1342.927
0:00:00.029613,5.124,255.366,1322.927
0:00:00.034427,5.120,256.683,1389.268
0:00:00.039312,5.128,257.976,1338.049
0:00:00.044120,5.116,259.585,1338.049
0:00:00.048923,5.120,259.585,1354.634
0:00:00.053725,5.128,266.073,1332.195
0:00:00.058607,5.120,264.366,1328.293
0:00:00.063423,5.124,260.683,1325.854
0:00:00.068231,5.124,258.463,1332.195
0:00:00.073026,5.124,269.073,1339.512
0:00:00.077838,5.116,259.976,1332.195
0:00:00.082648,5.128,263.976,1319.512
0:00:00.087457,5.116,260.463,1378.049
0:00:00.092257,5.104,260.366,1335.610
0:00:00.097125,5.120,258.780,1326.829
0:00:00.101943,5.124,262.366,1314.146
