TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000127,5.120,256.780,1338.049
0:00:00.004183,5.120,256.976,1386.829
0:00:00.008021,5.124,258.683,1338.049
0:00:00.011841,5.120,258.463,1325.854
0:00:00.015662,5.104,258.463,1334.634
0:00:00.019476,5.116,258.073,1343.415
0:00:00.023301,5.128,260.463,1348.293
0:00:00.027122,5.112,259.463,1340.976
0:00:00.030938,5.116,262.683,1327.317
0:00:00.034761,5.124,261.171,1343.415
0:00:00.038578,5.120,260.683,1343.415
0:00:00.042472,5.120,258.683,1324.390
0:00:00.046308,5.108,263.268,1332.195
0:00:00.050129,5.112,329.561,1330.732
0:00:00.053944,5.108,263.585,1322.927
0:00:00.057757,5.124,318.976,1363.415
0:00:00.061573,5.116,292.683,1329.756
0:00:00.065398,5.120,333.171,1334.146
0:00:00.069212,5.120,262.976,1329.268
0:00:00.073081,5.128,256.976,1688.780
0:00:00.076894,5.120,261.878,1549.756
0:00:00.080705,5.096,260.268,1621.463
0:00:00.084538,5.124,261.073,1318.049
0:00:00.088355,5.104,262.683,1471.220
0:00:00.092171,5.108,260.878,1325.854
0:00:00.095987,5.104,281.878,1312.195
0:00:00.099803,5.120,259.683,1312.195
0:00:00.103669,5.128,329.561,1321.951
0:00:00.107486,5.128,297.073,1315.610
0:00:00.111298,5.124,319.463,1338.537
0:00:00.115111,5.120,261.268,1633.659
0:00:00.118923,5.124,278.463,1501.951
0:00:00.122741,5.120,259.463,1677.561
0:00:00.126559,5.120,259.463,1331.707
0:00:00.130375,5.128,259.585,1666.341
0:00:00.134252,5.108,259.366,1517.073
0:00:00.138070,5.112,260.366,1318.049
0:00:00.141888,5.104,261.463,1324.390
0:00:00.145726,5.120,319.976,1322.927
0:00:00.149545,5.104,306.463,1361.951
0:00:00.153357,5.128,326.171,1344.390
0:00:00.157169,5.128,258.268,1338.537
0:00:00.160983,5.120,317.268,1381.951
0:00:00.164795,5.124,293.683,1525.854
0:00:00.168605,5.128,257.171,1637.561
0:00:00.172418,5.124,256.780,1337.073
0:00:00.176227,5.104,258.171,1699.024
0:00:00.180046,5.112,257.585,1506.341
0:00:00.183869,5.116,329.073,1353.659
0:00:00.188498,5.124,261.463,1639.024
0:00:00.192406,5.124,331.878,1502.439
0:00:00.196230,5.124,259.683,1682.439
0:00:00.200043,5.116,260.366,1310.732
0:00:00.203858,5.120,267.073,1618.537
0:00:00.207673,5.096,261.171,1504.878
0:00:00.211488,5.112,259.268,1650.244
0:00:00.215302,5.104,263.366,1328.293
0:00:00.219126,5.120,316.976,1381.951
0:00:00.223478,5.112,295.463,1456.098
0:00:00.227355,5.120,320.976,1613.659
0:00:00.231178,5.120,261.073,1320.976
0:00:00.234997,5.120,260.073,1675.122
0:00:00.238812,5.112,262.683,1553.659
0:00:00.242647,5.104,259.878,1631.220
0:00:00.246470,5.124,261.780,1317.073
0:00:00.250289,5.108,315.073,1320.976
0:00:00.254107,5.112,295.366,1322.927
0:00:00.257923,5.104,329.780,1315.610
0:00:00.261812,5.120,263.878,1328.293
0:00:00.265640,5.120,330.976,1328.293
0:00:00.269456,5.132,296.171,1687.317
0:00:00.273270,5.120,318.268,1335.610
0:00:00.277080,5.112,257.780,1640.976
0:00:00.280892,5.120,260.171,1499.512
0:00:00.284710,5.116,259.878,1688.780
0:00:00.288518,5.108,258.780,1342.927
0:00:00.292390,5.120,260.683,1374.634
0:00:00.296208,5.108,258.463,1333.171
0:00:00.300019,5.112,332.878,1331.707
0:00:00.303842,5.108,257.976,1332.195
0:00:00.307659,5.132,317.659,1338.049
0:00:00.311471,5.120,303.073,1367.317
0:00:00.315284,5.120,327.878,1335.610
0:00:00.319097,5.120,258.268,1339.512
0:00:00.322962,5.124,291.976,1688.780
0:00:00.326778,5.124,257.366,1513.171
0:00:00.330589,5.116,263.878,1620.000
0:00:00.334401,5.120,256.780,1335.610
0:00:00.338214,5.112,255.976,1549.756
0:00:00.342047,5.112,258.780,1349.756
0:00:00.345888,5.104,262.585,1346.829
0:00:00.349705,5.124,257.683,1325.854
0:00:00.353550,5.108,329.463,1323.415
0:00:00.357379,5.124,294.463,1333.171
0:00:00.361193,5.124,319.976,1318.049
0:00:00.365004,5.120,262.976,1696.098
0:00:00.368815,5.124,262.976,1314.634
0:00:00.373609,5.108,330.780,1328.293
0:00:00.377462,5.120,257.585,1329.268
0:00:00.381284,5.120,319.171,1321.951
0:00:00.385100,5.124,294.268,1344.878
0:00:00.388919,5.120,332.561,1398.049
0:00:00.392751,5.124,260.073,1312.195
0:00:00.396572,5.124,257.683,1688.780
0:00:00.400385,5.116,256.683,1560.000
0:00:00.404258,5.104,261.683,1609.756
0:00:00.408069,5.116,260.366,1318.049
0:00:00.411886,5.104,261.073,1378.537
0:00:00.415698,5.116,269.976,1322.927
0:00:00.419511,5.104,301.463,1361.951
0:00:00.423327,5.120,263.268,1313.171
0:00:00.427139,5.112,330.366,1339.512
0:00:00.430952,5.128,294.073,1317.073
0:00:00.434786,5.124,319.976,1320.976
0:00:00.438605,5.128,262.268,1641.463
0:00:00.442423,5.120,264.463,1504.390
0:00:00.446242,5.128,256.976,1701.463
0:00:00.450054,5.120,268.683,1337.073
0:00:00.453877,5.112,260.268,1644.878
0:00:00.457697,5.100,257.976,1517.073
0:00:00.461513,5.116,258.976,1325.366
0:00:00.465333,5.104,258.073,1329.268
0:00:00.469149,5.120,316.659,1330.732
0:00:00.473016,5.116,303.780,1371.707
0:00:00.476834,5.120,327.366,1334.634
0:00:00.480646,5.120,258.366,1341.951
0:00:00.484455,5.116,316.878,1483.415
0:00:00.488265,5.120,291.976,1516.098
0:00:00.492081,5.120,268.683,1632.195
0:00:00.495900,5.124,257.683,1318.049
0:00:00.499712,5.104,257.976,1693.659
0:00:00.503523,5.104,260.463,1498.537
0:00:00.507331,5.100,258.585,1575.122
0:00:00.511148,5.120,259.683,1314.146
0:00:00.514969,5.104,306.463,1319.512
0:00:00.518783,5.108,291.878,1323.415
0:00:00.522597,5.100,319.366,1329.756
0:00:00.526408,5.124,261.585,1378.537
0:00:00.530220,5.124,329.463,1325.854
0:00:00.534040,5.120,299.171,1668.780
0:00:00.537853,5.124,317.073,1321.951
0:00:00.541726,5.124,261.366,1623.415
0:00:00.545555,5.116,271.976,1504.878
0:00:00.549375,5.128,259.366,1716.585
0:00:00.553192,5.108,260.073,1342.927
0:00:00.557805,5.120,319.268,1640.000
0:00:00.561738,5.124,285.366,1514.634
0:00:00.565568,5.128,290.366,1627.805
0:00:00.569380,5.116,259.366,1332.195
0:00:00.573196,5.124,256.878,1700.976
0:00:00.577071,5.104,258.976,1337.073
0:00:00.581858,5.120,259.171,1344.390
0:00:00.586676,5.120,319.268,1696.098
0:00:00.591489,5.120,259.268,1334.146
0:00:00.596293,5.132,276.366,1338.049
0:00:00.601090,5.120,319.171,1338.049
0:00:00.605905,5.128,260.073,1328.293
0:00:00.610712,5.100,318.561,1335.610
0:00:00.615519,5.120,259.683,1378.049
0:00:00.620320,5.120,259.780,1513.659
0:00:00.625206,5.100,319.366,1328.293
0:00:00.630010,5.120,259.878,1328.293
0:00:00.634825,5.120,280.976,1496.098
0:00:00.639631,5.108,315.659,1327.317
0:00:00.644655,5.120,260.463,1328.293
0:00:00.649474,5.120,270.585,1550.732
0:00:00.654369,5.112,319.561,1344.390
0:00:00.659176,5.120,263.463,1318.049
0:00:00.663979,5.104,297.878,1507.317
0:00:00.668778,5.104,268.073,1364.878
0:00:00.673661,5.120,260.463,1617.073
0:00:00.678481,5.104,294.171,1506.341
0:00:00.683296,5.124,258.976,1323.415
0:00:00.688099,5.128,266.463,1680.000
0:00:00.692915,5.100,294.878,1310.732
0:00:00.697725,5.120,257.585,1330.732
0:00:00.702528,5.124,258.585,1614.634
0:00:00.707337,5.108,268.171,1332.195
0:00:00.712150,5.124,258.171,1628.780
0:00:00.716994,5.124,260.073,1634.634
0:00:00.721900,5.120,260.463,1334.146
0:00:00.726715,5.120,329.268,1640.976
0:00:00.731536,5.120,261.585,1342.927
0:00:00.736348,5.124,260.683,1332.195
0:00:00.741236,5.124,329.659,1641.463
0:00:00.746066,5.128,259.683,1329.268
0:00:00.750881,5.120,257.268,1497.073
0:00:00.755692,5.116,329.268,1497.561
0:00:00.760575,5.124,264.463,1377.073
0:00:00.765422,5.120,265.780,1504.390
0:00:00.770233,5.120,329.463,1338.049
0:00:00.775039,5.128,258.585,1338.049
0:00:00.779898,5.112,340.878,1511.220
0:00:00.784710,5.104,259.268,1317.073
0:00:00.791325,5.128,256.976,1626.341
0:00:00.796158,5.100,304.976,1588.780
0:00:00.800956,5.120,260.976,1343.415
0:00:00.805791,5.124,261.073,1632.195
0:00:00.810606,5.104,296.878,1340.976
0:00:00.815410,5.120,271.366,1314.634
0:00:00.820213,5.120,261.878,1654.634
0:00:00.825012,5.108,258.976,1340.976
0:00:00.829820,5.128,259.976,1624.878
0:00:00.834619,5.124,260.683,1474.634
0:00:00.839430,5.124,259.683,1325.366
0:00:00.844443,5.120,321.976,1612.683
0:00:00.849264,5.120,257.585,1540.000
0:00:00.854065,5.124,255.878,1341.951
0:00:00.858866,5.108,329.659,1637.561
0:00:00.863766,5.116,260.463,1327.317
0:00:00.868588,5.112,264.366,1553.659
0:00:00.873389,5.108,331.463,1623.902
0:00:00.878188,5.124,260.073,1325.366
0:00:00.883006,5.124,329.976,1516.098
0:00:00.887805,5.112,342.366,1320.976
0:00:00.892704,5.128,259.878,1313.171
0:00:00.897508,5.124,330.659,1496.098
0:00:00.902314,5.112,261.976,1314.146
0:00:00.907110,5.116,259.683,1314.146
