TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000131,5.124,257.073,1334.634
0:00:00.004153,5.116,256.976,1334.634
0:00:00.007981,5.120,258.878,1347.317
0:00:00.011799,5.128,257.780,1336.098
0:00:00.015615,5.124,258.585,1335.610
0:00:00.019438,5.132,257.780,1336.098
0:00:00.023251,5.120,259.366,1317.073
0:00:00.027077,5.128,267.268,1390.732
0:00:00.030897,5.124,257.366,1325.366
0:00:00.034716,5.120,260.268,1322.927
0:00:00.038543,5.128,259.463,1328.293
0:00:00.042367,5.124,266.463,1312.195
0:00:00.046188,5.120,269.073,1325.366
0:00:00.050009,5.124,258.366,1325.366
0:00:00.053824,5.120,261.268,1338.049
0:00:00.057711,5.120,297.780,1314.634
0:00:00.061539,5.120,267.683,1320.976
0:00:00.065359,5.120,260.268,1318.049
0:00:00.069180,5.128,275.463,1337.073
0:00:00.072994,5.124,259.463,1352.195
0:00:00.076818,5.124,261.683,1329.756
0:00:00.080655,5.124,260.073,1384.878
0:00:00.084468,5.120,260.683,1348.293
0:00:00.088337,5.120,285.171,1314.634
0:00:00.092151,5.128,342.561,1746.341
0:00:00.095962,5.120,285.683,1434.634
0:00:00.099786,5.120,271.366,1324.390
0:00:00.103624,5.112,260.683,1444.390
0:00:00.107437,5.096,261.073,1738.537
0:00:00.111254,5.112,261.171,1410.732
0:00:00.115069,5.124,259.463,1311.707
0:00:00.118933,5.112,288.463,1315.610
0:00:00.122749,5.104,341.878,1318.049
0:00:00.126563,5.120,282.268,1334.146
0:00:00.130381,5.120,263.171,1321.951
0:00:00.134195,5.120,283.171,1503.415
0:00:00.138014,5.128,340.976,1444.390
0:00:00.141830,5.120,261.073,1328.293
0:00:00.145649,5.116,256.073,1461.951
0:00:00.149467,5.116,259.463,1748.780
0:00:00.153285,5.100,266.878,1526.341
0:00:00.157102,5.120,259.366,1359.512
0:00:00.160916,5.128,282.463,1369.756
0:00:00.164727,5.112,341.171,1338.049
0:00:00.168542,5.112,279.780,1340.488
0:00:00.172353,5.116,268.268,1329.756
0:00:00.176170,5.120,281.463,1402.439
0:00:00.180000,5.124,342.463,1647.317
0:00:00.183815,5.112,260.878,1318.049
0:00:00.188461,5.124,260.585,1379.512
0:00:00.192302,5.104,285.780,1318.049
0:00:00.196116,5.124,344.463,1314.146
0:00:00.199951,5.120,284.366,1326.829
0:00:00.203773,5.120,260.366,1433.659
0:00:00.207647,5.120,271.683,1740.000
0:00:00.211465,5.116,261.463,1442.439
0:00:00.215276,5.116,261.463,1315.610
0:00:00.219086,5.120,262.780,1451.220
0:00:00.222897,5.108,260.683,1561.463
0:00:00.226718,5.100,268.585,1315.610
0:00:00.230532,5.112,258.366,1348.293
0:00:00.234345,5.120,287.073,1322.927
0:00:00.238166,5.120,338.463,1348.293
0:00:00.241985,5.120,281.976,1342.927
0:00:00.245798,5.116,259.780,1338.537
0:00:00.249614,5.120,278.780,1460.976
0:00:00.253429,5.120,257.683,1747.805
0:00:00.257242,5.116,256.171,1474.634
0:00:00.261054,5.128,266.268,1394.634
0:00:00.264866,5.120,257.976,1446.829
0:00:00.268677,5.100,256.976,1417.073
0:00:00.272490,5.112,260.366,1334.634
0:00:00.276361,5.132,259.683,1324.390
0:00:00.280188,5.120,291.878,1335.610
0:00:00.283998,5.124,344.659,1325.366
0:00:00.287815,5.128,281.073,1329.268
0:00:00.291627,5.120,257.268,1420.000
0:00:00.295438,5.124,261.366,1738.537
0:00:00.299263,5.120,257.976,1443.415
0:00:00.303082,5.128,260.463,1319.512
0:00:00.306900,5.116,258.878,1432.195
