TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000127,5.120,258.268,1341.951
0:00:00.004151,5.120,264.585,1360.488
0:00:00.007975,5.128,257.976,1354.634
0:00:00.011800,5.120,257.585,1334.146
0:00:00.015614,5.116,259.268,1329.268
0:00:00.019521,5.128,256.585,1338.537
0:00:00.023343,5.120,258.585,1336.098
0:00:00.027158,5.128,258.780,1338.537
0:00:00.030975,5.120,256.366,1335.610
0:00:00.034793,5.120,256.268,1340.976
0:00:00.038619,5.124,257.366,1347.317
0:00:00.042438,5.124,256.976,1326.829
0:00:00.046301,5.124,258.366,1337.073
0:00:00.050138,5.120,259.585,1334.146
0:00:00.053956,5.112,259.463,1373.659
0:00:00.057785,5.124,268.268,1398.049
0:00:00.061617,5.120,318.780,1343.415
0:00:00.065432,5.120,321.659,1366.829
0:00:00.069247,5.108,319.780,1326.829
0:00:00.073059,5.120,262.073,1319.512
0:00:00.076909,5.120,328.171,1621.463
0:00:00.080730,5.124,319.780,1617.561
0:00:00.084544,5.120,258.780,1330.732
0:00:00.088358,5.120,259.878,1309.756
0:00:00.092167,5.100,260.073,1604.878
0:00:00.095985,5.108,259.268,1625.854
0:00:00.099804,5.104,260.683,1318.537
0:00:00.103642,5.124,260.683,1308.293
0:00:00.107515,5.104,317.561,1320.976
0:00:00.111340,5.108,319.561,1364.878
0:00:00.115151,5.128,260.878,1304.390
0:00:00.118964,5.120,260.585,1340.976
0:00:00.122779,5.120,321.171,1617.561
0:00:00.126594,5.116,316.878,1632.683
0:00:00.130407,5.120,271.171,1355.610
0:00:00.134225,5.120,259.268,1612.195
0:00:00.138120,5.112,260.463,1610.244
0:00:00.141954,5.104,259.268,1621.463
0:00:00.145776,5.120,259.463,1318.537
0:00:00.149588,5.124,310.268,1322.927
0:00:00.153399,5.112,317.659,1327.317
0:00:00.157216,5.116,320.073,1342.927
0:00:00.161028,5.112,304.171,1335.610
0:00:00.164842,5.120,319.268,1631.220
0:00:00.168654,5.124,316.463,1641.463
0:00:00.172466,5.120,276.683,1320.488
0:00:00.176281,5.124,257.171,1335.610
0:00:00.180104,5.108,256.073,1627.317
0:00:00.183918,5.108,333.171,1311.707
0:00:00.188547,5.120,257.585,1325.366
0:00:00.192380,5.120,259.780,1435.610
0:00:00.196200,5.124,256.585,1612.683
0:00:00.200087,5.116,258.366,1615.122
0:00:00.203904,5.128,257.683,1330.732
0:00:00.207722,5.120,259.878,1608.293
0:00:00.211533,5.104,262.878,1578.537
0:00:00.215338,5.104,261.268,1550.732
0:00:00.219157,5.124,261.878,1375.610
0:00:00.222976,5.120,318.073,1341.951
0:00:00.226792,5.112,318.878,1319.512
0:00:00.230623,5.120,317.780,1309.756
0:00:00.234433,5.124,257.878,1327.317
0:00:00.238246,5.128,327.171,1630.244
0:00:00.242060,5.128,316.659,1633.659
0:00:00.245868,5.120,263.976,1334.146
0:00:00.249679,5.120,258.073,1340.976
0:00:00.253490,5.104,258.585,1641.463
0:00:00.257302,5.096,261.463,1624.878
0:00:00.261123,5.108,258.585,1332.195
0:00:00.264934,5.132,256.585,1339.512
0:00:00.268799,5.104,307.268,1338.537
0:00:00.272614,5.112,316.976,1338.049
0:00:00.276426,5.128,258.463,1322.927
0:00:00.280242,5.120,257.683,1337.073
0:00:00.284055,5.124,315.073,1634.634
0:00:00.287866,5.128,317.878,1621.463
0:00:00.291676,5.124,269.268,1374.634
0:00:00.295548,5.124,257.683,1632.195
0:00:00.299432,5.120,257.683,1635.122
0:00:00.303251,5.108,257.585,1627.317
0:00:00.307066,5.120,256.366,1334.146
0:00:00.310876,5.120,278.780,1325.854
0:00:00.314685,5.108,316.976,1335.610
0:00:00.318492,5.112,321.073,1318.049
0:00:00.322305,5.120,259.268,1330.732
0:00:00.326117,5.124,318.171,1318.049
0:00:00.329939,5.120,320.561,1564.878
0:00:00.333753,5.120,307.659,1325.366
0:00:00.337572,5.120,262.585,1307.317
0:00:00.341393,5.112,260.878,1605.854
0:00:00.345207,5.112,263.683,1676.098
0:00:00.349030,5.108,261.463,1314.146
0:00:00.352848,5.124,261.463,1334.634
0:00:00.356664,5.112,260.976,1325.366
0:00:00.360482,5.112,319.976,1329.756
