TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000127,5.116,256.878,1322.927
0:00:00.004254,5.120,256.463,1329.756
0:00:00.008076,5.132,266.073,1369.268
0:00:00.011894,5.120,264.268,1336.098
0:00:00.015723,5.120,259.268,1390.732
0:00:00.019541,5.120,259.878,1344.390
0:00:00.023364,5.120,259.683,1340.976
0:00:00.027184,5.120,258.463,1341.951
0:00:00.030995,5.116,259.683,1339.512
0:00:00.034875,5.120,264.585,1367.317
0:00:00.038696,5.120,258.683,1338.049
0:00:00.042527,5.128,260.683,1368.293
0:00:00.046360,5.112,259.878,1338.537
0:00:00.050173,5.120,259.463,1342.927
0:00:00.053987,5.124,270.585,1340.488
0:00:00.057797,5.124,260.268,1335.610
0:00:00.061645,5.116,259.878,1337.073
0:00:00.065471,5.124,261.463,1328.293
0:00:00.069282,5.124,261.878,1368.293
0:00:00.073093,5.112,263.585,1334.634
0:00:00.076902,5.112,262.073,1333.171
0:00:00.080709,5.128,261.878,1328.293
0:00:00.084533,5.120,261.878,1336.098
0:00:00.088352,5.120,264.171,1339.512
0:00:00.092171,5.120,260.780,1334.634
0:00:00.095999,5.120,261.780,1325.854
0:00:00.099815,5.120,265.683,1334.146
0:00:00.103629,5.120,263.268,1328.293
0:00:00.107443,5.120,269.780,1343.415
0:00:00.111258,5.128,259.366,1329.268
0:00:00.115072,5.120,260.683,1342.927
0:00:00.118885,5.124,256.878,1332.195
0:00:00.122705,5.124,257.878,1328.293
0:00:00.126528,5.116,257.976,1339.512
0:00:00.130340,5.120,256.171,1327.317
0:00:00.134199,5.136,258.976,1329.756
0:00:00.138006,5.116,257.976,1339.512
0:00:00.141879,5.124,257.976,1390.732
0:00:00.145738,5.120,258.976,1323.415
0:00:00.149557,5.120,256.780,1334.634
0:00:00.153368,5.128,255.976,1334.634
0:00:00.157177,5.124,257.780,1320.976
0:00:00.160988,5.124,268.780,1378.537
0:00:00.164854,5.124,256.585,1337.073
0:00:00.168668,5.128,258.268,1322.927
0:00:00.172485,5.124,256.585,1333.171
0:00:00.176294,5.120,259.878,1337.073
0:00:00.180112,5.124,261.878,1325.366
0:00:00.183933,5.116,259.171,1316.098
0:00:00.188576,5.124,259.268,1325.366
0:00:00.192425,5.128,261.366,1321.951
0:00:00.196242,5.124,271.171,1372.195
0:00:00.200054,5.120,263.171,1330.732
0:00:00.203869,5.120,262.268,1321.951
0:00:00.207679,5.128,260.366,1329.756
0:00:00.211489,5.120,260.463,1318.537
0:00:00.215303,5.120,268.268,1334.634
0:00:00.219116,5.124,260.171,1330.732
0:00:00.222997,5.120,261.366,1316.098
0:00:00.226823,5.120,259.366,1330.732
0:00:00.230632,5.116,260.073,1320.976
0:00:00.234443,5.108,258.780,1340.976
0:00:00.238250,5.124,258.585,1329.268
0:00:00.242073,5.128,259.585,1336.098
0:00:00.245891,5.120,257.463,1338.537
0:00:00.249706,5.116,257.585,1387.317
0:00:00.253565,5.128,258.366,1335.610
0:00:00.257371,5.120,258.073,1338.049
0:00:00.261174,5.120,260.366,1341.951
0:00:00.265024,5.120,258.683,1336.098
0:00:00.268842,5.120,266.976,1379.512
0:00:00.272655,5.120,257.780,1320.488
0:00:00.276474,5.120,257.366,1332.195
0:00:00.280290,5.120,255.976,1333.171
0:00:00.284157,5.124,255.976,1327.317
