TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000242,5.112,318.878,1643.415
0:00:00.005331,5.104,341.073,1561.463
0:00:00.010182,5.120,315.659,1583.902
0:00:00.015116,5.096,290.463,1496.098
0:00:00.019950,5.112,285.878,1473.659
0:00:00.024788,5.116,286.171,1457.561
0:00:00.029621,5.112,282.463,1460.976
0:00:00.034456,5.112,286.683,1473.659
0:00:00.039289,5.112,287.878,1449.756
0:00:00.044208,5.120,283.366,1451.220
0:00:00.049057,5.120,286.780,1454.634
0:00:00.053888,5.120,294.171,1457.073
0:00:00.058723,5.116,284.366,1458.537
0:00:00.063632,5.112,284.561,1533.171
0:00:00.068526,5.116,284.463,1455.610
0:00:00.073359,5.112,298.976,1477.561
0:00:00.078187,5.112,288.073,1463.415
0:00:00.083027,5.116,289.463,1462.439
0:00:00.087848,5.108,286.683,1457.073
0:00:00.092710,5.104,284.268,1457.561
0:00:00.097639,5.120,285.878,1466.829
0:00:00.102476,5.112,281.878,1464.390
0:00:00.107319,5.116,287.683,1533.171
0:00:00.112145,5.116,287.561,1473.659
0:00:00.116989,5.112,287.683,1472.195
0:00:00.121826,5.112,288.976,1459.512
0:00:00.126754,5.116,295.366,1446.829
0:00:00.131590,5.112,285.976,1493.659
0:00:00.136420,5.112,283.780,1453.659
0:00:00.141264,5.116,287.976,1469.756
0:00:00.146107,5.108,283.366,1479.512
0:00:00.150943,5.112,285.366,1454.634
0:00:00.155854,5.112,285.878,1451.220
0:00:00.160771,5.112,285.878,1487.317
0:00:00.165660,5.116,291.683,1437.073
0:00:00.170498,5.108,283.780,1458.537
0:00:00.175346,5.112,280.073,1444.390
0:00:00.180174,5.120,290.171,1470.732
0:00:00.185101,5.112,286.878,1460.976
0:00:00.189937,5.112,284.561,1436.098
0:00:00.194773,5.112,286.780,1452.195
0:00:00.199605,5.120,283.683,1431.220
0:00:00.204441,5.112,284.366,1440.976
0:00:00.209272,5.112,280.878,1434.634
0:00:00.214109,5.120,281.268,1450.732
0:00:00.218979,5.120,281.585,1464.878
0:00:00.223820,5.112,285.366,1468.293
0:00:00.228663,5.112,284.780,1457.073
0:00:00.233580,5.104,292.976,1457.073
0:00:00.240142,5.120,284.780,1462.439
0:00:00.245096,5.112,285.366,1444.390
0:00:00.249944,5.116,281.268,1436.098
0:00:00.254778,5.116,284.683,1444.390
0:00:00.259616,5.112,282.073,1444.390
0:00:00.264455,5.112,281.073,1437.073
0:00:00.269282,5.112,282.780,1497.073
0:00:00.274117,5.120,281.463,1460.000
0:00:00.278958,5.108,282.683,1457.561
0:00:00.283801,5.112,286.976,1507.317
0:00:00.288639,5.104,293.878,1438.537
0:00:00.293551,5.112,284.780,1429.268
0:00:00.298398,5.116,284.268,1446.829
0:00:00.303233,5.088,395.171,1438.537
0:00:00.308069,5.108,281.463,1437.073
0:00:00.312910,5.112,282.561,1448.780
0:00:00.317745,5.116,285.366,1450.732
0:00:00.322572,5.108,282.366,1461.951
0:00:00.327403,5.120,283.976,1454.634
0:00:00.332250,5.120,283.561,1444.878
0:00:00.337086,5.112,284.268,1467.317
0:00:00.341921,5.108,291.366,1438.537
0:00:00.346850,5.116,281.683,1436.098
0:00:00.351690,5.120,282.683,1433.659
0:00:00.356520,5.112,280.976,1448.293
0:00:00.361355,5.116,292.463,1457.561
0:00:00.366239,5.108,281.268,1520.976
0:00:00.371090,5.112,284.976,1444.878
0:00:00.376019,5.120,286.171,1451.220
0:00:00.380875,5.112,280.463,1440.976
0:00:00.385711,5.112,281.976,1440.976
0:00:00.390538,5.116,281.683,1440.000
0:00:00.395370,5.112,279.463,1500.976
0:00:00.400191,5.108,279.878,1457.073
0:00:00.405108,5.116,284.073,1450.732
0:00:00.409942,5.120,284.878,1461.951
0:00:00.414771,5.112,293.683,1454.634
0:00:00.419599,5.120,286.976,1451.220
0:00:00.424451,5.120,282.878,1433.171
0:00:00.429308,5.120,295.268,1450.732
0:00:00.434235,5.108,282.683,1449.756
0:00:00.439084,5.116,281.463,1461.951
0:00:00.443927,5.116,285.780,1454.634
0:00:00.448767,5.112,281.585,1461.951
0:00:00.453670,5.116,285.780,1445.854
0:00:00.458515,5.116,284.878,1437.073
0:00:00.463354,5.120,280.683,1444.390
0:00:00.468190,5.116,290.366,1451.220
0:00:00.474761,5.112,285.073,1456.098
0:00:00.479614,5.120,283.780,1440.000
0:00:00.484460,5.108,281.683,1466.829
0:00:00.489279,5.116,282.073,1440.000
0:00:00.494105,5.112,284.976,1457.073
0:00:00.498939,5.116,281.878,1435.610
0:00:00.503780,5.116,292.878,1509.756
0:00:00.508610,5.120,282.268,1461.951
0:00:00.513435,5.112,281.780,1453.659
0:00:00.518276,5.112,286.268,1462.439
0:00:00.523106,5.112,293.463,1456.098
0:00:00.527932,5.120,284.780,1450.732
0:00:00.532755,5.112,284.976,1434.634
0:00:00.537681,5.112,284.976,1441.951
0:00:00.542520,5.104,281.171,1445.854
0:00:00.547352,5.116,281.073,1447.317
0:00:00.552176,5.116,279.976,1445.854
0:00:00.557010,5.120,283.171,1511.220
0:00:00.561847,5.112,285.171,1466.829
0:00:00.566758,5.116,284.268,1438.537
0:00:00.571645,5.112,287.073,1454.634
0:00:00.576479,5.116,293.463,1433.659
0:00:00.581312,5.112,290.366,1433.659
0:00:00.586148,5.116,282.268,1437.073
0:00:00.591010,5.112,279.878,1445.854
0:00:00.595925,5.116,284.366,1456.098
0:00:00.600755,5.116,283.561,1453.171
0:00:00.605598,5.116,285.073,1460.976
0:00:00.610423,5.120,286.171,1482.439
0:00:00.615322,5.116,281.585,1442.439
0:00:00.620166,5.108,283.683,1448.293
0:00:00.625069,5.112,281.463,1439.512
0:00:00.629900,5.120,285.780,1501.951
0:00:00.634731,5.120,281.463,1464.390
0:00:00.639565,5.112,281.463,1449.756
0:00:00.644470,5.108,287.268,1456.098
0:00:00.649310,5.104,286.878,1441.951
0:00:00.654209,5.108,280.976,1430.732
0:00:00.659126,5.120,282.463,1453.171
0:00:00.663970,5.116,280.683,1444.390
0:00:00.668801,5.112,284.366,1513.659
0:00:00.673644,5.112,284.171,1460.976
0:00:00.678478,5.112,294.878,1329.756
0:00:00.683336,5.116,262.171,1389.756
0:00:00.688177,5.124,260.073,1323.415
0:00:00.693013,5.124,258.878,1326.829
0:00:00.697850,5.124,257.073,1322.927
0:00:00.702679,5.120,268.268,1327.317
0:00:00.709296,5.112,260.073,1322.927
0:00:00.714294,5.120,258.268,1326.829
0:00:00.719145,5.120,258.585,1400.488
0:00:00.723975,5.120,257.463,1338.049
0:00:00.728810,5.120,260.073,1342.927
0:00:00.733642,5.124,259.683,1337.073
0:00:00.738467,5.112,272.171,1326.829
0:00:00.743293,5.116,260.878,1329.268
0:00:00.748129,5.112,262.976,1333.171
0:00:00.752960,5.124,259.585,1315.610
0:00:00.757780,5.116,266.878,1318.537
0:00:00.762620,5.120,258.073,1321.951
