TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000244,5.116,261.268,1327.317
0:00:00.005309,5.124,261.463,1314.146
0:00:00.010151,5.120,256.585,1326.829
0:00:00.014990,5.120,267.878,1306.829
0:00:00.019906,5.124,256.780,1346.829
0:00:00.024754,5.120,258.976,1335.610
0:00:00.029592,5.120,259.268,1324.390
0:00:00.034429,5.116,259.171,1331.707
0:00:00.039271,5.120,259.878,1312.195
0:00:00.044113,5.112,259.463,1321.951
0:00:00.048935,5.128,257.976,1379.512
0:00:00.053877,5.120,257.171,1317.073
0:00:00.058720,5.124,259.268,1330.732
0:00:00.063556,5.120,257.073,1327.317
0:00:00.068390,5.124,264.073,1319.512
0:00:00.073300,5.120,260.585,1330.732
0:00:00.078130,5.112,258.585,1318.049
0:00:00.083050,5.120,255.488,1311.707
0:00:00.087881,5.120,257.878,1312.195
0:00:00.092719,5.120,258.268,1334.634
0:00:00.097646,5.120,259.683,1332.195
0:00:00.102484,5.120,260.585,1353.659
0:00:00.107310,5.112,256.878,1310.732
0:00:00.112227,5.120,258.171,1314.146
0:00:00.117062,5.124,257.171,1318.049
0:00:00.121905,5.120,267.463,1371.707
0:00:00.126743,5.116,256.171,1337.073
0:00:00.131651,5.124,257.878,1332.195
0:00:00.136488,5.124,261.073,1330.732
0:00:00.141417,5.116,266.683,1321.951
0:00:00.146254,5.116,261.366,1317.073
0:00:00.151089,5.120,257.976,1320.976
0:00:00.155920,5.124,255.976,1328.293
0:00:00.160818,5.124,258.976,1331.707
0:00:00.165659,5.120,255.268,1338.537
0:00:00.170564,5.120,268.463,1340.976
0:00:00.175406,5.116,260.976,1383.415
0:00:00.180245,5.112,258.171,1311.707
0:00:00.185090,5.124,261.073,1322.927
0:00:00.190002,5.116,257.976,1314.146
0:00:00.194842,5.120,266.683,1323.415
0:00:00.199674,5.120,256.585,1332.195
0:00:00.204533,5.120,259.366,1331.707
0:00:00.209373,5.128,258.780,1343.415
0:00:00.214214,5.124,260.268,1322.927
0:00:00.219044,5.124,261.073,1321.951
0:00:00.223963,5.120,257.878,1321.951
0:00:00.228798,5.120,258.463,1359.512
0:00:00.233628,5.116,260.171,1360.488
0:00:00.240703,5.120,260.268,1323.415
0:00:00.245584,5.120,257.268,1315.610
0:00:00.250430,5.112,256.976,1330.732
0:00:00.255254,5.120,258.073,1326.829
0:00:00.260095,5.128,258.366,1321.951
0:00:00.264927,5.124,255.976,1380.976
0:00:00.269765,5.120,257.976,1380.488
0:00:00.274615,5.124,307.268,1500.000
0:00:00.279451,5.120,291.878,1521.951
0:00:00.284289,5.116,293.683,1495.122
0:00:00.289127,5.120,267.683,1361.951
0:00:00.294061,5.120,257.366,1315.610
0:00:00.298903,5.116,256.976,1318.049
0:00:00.303733,5.128,262.268,1325.854
0:00:00.308565,5.120,256.780,1331.707
0:00:00.313400,5.124,259.268,1327.317
0:00:00.318243,5.120,261.073,1365.854
0:00:00.323165,5.116,259.585,1314.146
0:00:00.327996,5.116,259.268,1312.195
0:00:00.332827,5.116,257.683,1309.756
0:00:00.337657,5.120,257.780,1372.195
0:00:00.342499,5.120,256.366,1317.073
0:00:00.347330,5.120,258.976,1331.707
0:00:00.352240,5.124,260.585,1330.732
0:00:00.357084,5.120,270.366,1323.415
0:00:00.361921,5.128,259.780,1326.829
0:00:00.366763,5.120,258.976,1314.146
0:00:00.371605,5.124,267.976,1338.537
0:00:00.376441,5.120,260.463,1334.146
0:00:00.381363,5.116,260.268,1334.146
0:00:00.386202,5.116,261.073,1338.049
0:00:00.391039,5.116,260.073,1392.195
0:00:00.395875,5.120,262.073,1370.732
0:00:00.400784,5.120,263.780,1334.146
0:00:00.405622,5.120,262.268,1322.927
0:00:00.410518,5.112,268.878,1331.707
0:00:00.415359,5.128,258.878,1329.268
0:00:00.420194,5.120,259.463,1330.732
0:00:00.425026,5.120,257.683,1330.732
0:00:00.429942,5.124,265.268,1334.634
0:00:00.434806,5.116,261.976,1339.512
0:00:00.439686,5.120,263.463,1326.829
0:00:00.444523,5.120,259.780,1362.927
0:00:00.449354,5.120,262.268,1338.049
0:00:00.454184,5.120,260.878,1340.976
0:00:00.459012,5.128,261.268,1352.195
0:00:00.463934,5.120,269.780,1373.171
0:00:00.468777,5.112,260.585,1334.146
0:00:00.475332,5.120,256.780,1318.537
0:00:00.480211,5.116,260.073,1332.195
0:00:00.485057,5.124,256.683,1328.293
0:00:00.489971,5.116,258.268,1318.537
0:00:00.494913,5.116,257.366,1320.488
0:00:00.499758,5.120,257.878,1394.634
0:00:00.504604,5.124,256.976,1317.073
0:00:00.509427,5.116,258.366,1339.512
0:00:00.514257,5.120,256.171,1332.195
0:00:00.519085,5.120,270.366,1332.195
0:00:00.524011,5.120,261.073,1319.512
0:00:00.528851,5.120,259.268,1311.707
0:00:00.533687,5.124,260.171,1318.049
0:00:00.538516,5.120,257.585,1306.829
0:00:00.543395,5.120,258.780,1328.293
0:00:00.548228,5.124,259.463,1339.512
0:00:00.553159,5.120,259.683,1386.829
0:00:00.558008,5.120,260.073,1334.146
0:00:00.562844,5.120,261.683,1325.366
0:00:00.567671,5.120,260.073,1325.366
0:00:00.572503,5.116,261.268,1355.610
0:00:00.577325,5.124,256.171,1317.073
0:00:00.582237,5.120,256.976,1309.756
0:00:00.587071,5.120,256.780,1322.927
0:00:00.591901,5.120,259.585,1338.049
0:00:00.596806,5.120,257.171,1335.610
0:00:00.601643,5.120,260.268,1328.293
0:00:00.606472,5.116,259.463,1359.512
0:00:00.611405,5.120,258.171,1319.512
0:00:00.616248,5.124,258.268,1317.073
0:00:00.621083,5.116,255.780,1326.829
0:00:00.625916,5.124,267.366,1380.976
0:00:00.630761,5.120,256.780,1329.756
0:00:00.635588,5.124,259.683,1334.146
0:00:00.640415,5.120,257.366,1329.756
0:00:00.645248,5.120,273.878,1338.537
0:00:00.650084,5.120,259.366,1320.976
0:00:00.654914,5.120,261.780,1337.073
0:00:00.659750,5.120,257.976,1333.171
0:00:00.664606,5.120,261.073,1323.415
0:00:00.669439,5.120,264.585,1322.927
0:00:00.674273,5.112,266.976,1334.634
0:00:00.679112,5.120,260.463,1398.537
0:00:00.684036,5.116,257.463,1331.707
0:00:00.688870,5.120,262.585,1422.439
0:00:00.693695,5.112,323.976,1314.634
0:00:00.698605,5.120,268.976,1314.146
0:00:00.703442,5.124,258.976,1317.073
0:00:00.709976,5.128,257.878,1324.390
0:00:00.714896,5.120,257.171,1352.195
0:00:00.719737,5.124,258.171,1328.293
0:00:00.724564,5.120,258.171,1315.610
0:00:00.729406,5.124,258.976,1327.317
0:00:00.734234,5.120,267.268,1323.415
0:00:00.739059,5.116,255.366,1327.317
0:00:00.744040,5.120,258.585,1337.073
0:00:00.748881,5.116,261.878,1331.707
0:00:00.753709,5.116,270.268,1334.146
0:00:00.758536,5.120,263.366,1319.512
0:00:00.763364,5.124,261.268,1326.829
0:00:00.768183,5.120,260.878,1326.829
0:00:00.773089,5.116,255.683,1322.927
0:00:00.777919,5.112,256.780,1335.610
0:00:00.782754,5.120,257.366,1325.854
0:00:00.787581,5.120,260.463,1380.488
0:00:00.792409,5.120,257.073,1328.293
0:00:00.797244,5.116,260.683,1332.195
0:00:00.802073,5.120,258.878,1325.854
0:00:00.806906,5.116,270.780,1330.732
0:00:00.811738,5.112,259.878,1328.293
0:00:00.816561,5.120,261.683,1312.195
0:00:00.821474,5.120,260.463,1318.049
