TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000242,5.116,258.976,1338.049
0:00:00.005317,5.128,259.463,1317.073
0:00:00.010173,5.120,256.976,1360.976
0:00:00.015008,5.112,257.585,1318.049
0:00:00.019841,5.120,255.366,1319.512
0:00:00.024679,5.124,257.268,1334.146
0:00:00.029595,5.116,270.585,1330.732
0:00:00.034434,5.120,259.463,1332.195
0:00:00.039269,5.120,260.463,1334.634
0:00:00.044103,5.116,259.268,1337.073
0:00:00.049062,5.116,258.976,1319.512
0:00:00.053919,5.120,257.976,1335.610
0:00:00.058823,5.116,256.366,1358.537
0:00:00.063671,5.120,257.976,1334.146
0:00:00.068510,5.116,261.683,1321.951
0:00:00.073351,5.112,258.683,1336.098
0:00:00.078182,5.128,257.463,1324.390
0:00:00.083131,5.120,266.463,1370.732
0:00:00.087961,5.120,258.073,1337.073
0:00:00.092860,5.124,260.073,1335.610
0:00:00.097783,5.120,261.585,1332.195
0:00:00.102637,5.120,261.780,1321.951
0:00:00.107473,5.120,261.976,1321.951
0:00:00.112305,5.128,257.976,1309.268
0:00:00.117138,5.128,257.073,1320.976
0:00:00.122060,5.112,257.366,1325.854
0:00:00.126902,5.116,257.366,1329.756
0:00:00.131744,5.128,258.683,1342.927
0:00:00.136575,5.120,259.878,1368.293
0:00:00.141500,5.112,259.878,1317.073
0:00:00.146331,5.128,258.171,1330.732
0:00:00.151245,5.120,257.683,1318.537
0:00:00.156080,5.128,267.585,1320.976
0:00:00.160921,5.124,256.585,1317.073
0:00:00.165768,5.120,259.780,1326.829
0:00:00.170676,5.120,258.585,1319.512
0:00:00.175521,5.120,258.878,1318.049
0:00:00.180444,5.124,258.780,1321.951
0:00:00.185308,5.116,266.976,1332.195
0:00:00.190148,5.116,326.659,1658.537
0:00:00.195015,5.120,258.171,1327.317
0:00:00.199860,5.128,265.585,1318.537
0:00:00.204741,5.112,259.268,1318.049
0:00:00.209703,5.116,268.878,1310.732
0:00:00.214541,5.124,258.366,1330.732
0:00:00.219377,5.116,255.976,1320.976
0:00:00.224210,5.120,259.976,1329.756
0:00:00.229048,5.116,257.585,1330.732
0:00:00.233887,5.120,260.585,1310.732
0:00:00.240873,5.124,257.585,1320.976
0:00:00.245745,5.120,265.780,1333.171
0:00:00.250692,5.116,258.780,1327.317
0:00:00.255541,5.120,259.976,1317.073
0:00:00.260456,5.128,263.463,1315.610
0:00:00.265289,5.120,258.366,1312.195
0:00:00.270123,5.128,257.171,1321.951
0:00:00.274947,5.124,256.463,1325.366
0:00:00.279795,5.124,257.976,1340.976
0:00:00.284636,5.120,258.683,1369.756
