TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000240,5.120,256.780,1330.732
0:00:00.005307,5.120,259.976,1329.756
0:00:00.010147,5.112,257.463,1327.317
0:00:00.014984,5.120,269.683,1339.512
0:00:00.019809,5.124,261.683,1324.390
0:00:00.024651,5.124,260.268,1333.171
0:00:00.029486,5.124,258.878,1319.512
0:00:00.034325,5.120,260.585,1316.098
0:00:00.039150,5.120,256.585,1306.829
0:00:00.043987,5.116,257.780,1321.951
0:00:00.048945,5.120,259.171,1380.976
0:00:00.053791,5.116,260.683,1329.268
0:00:00.058632,5.120,258.780,1332.195
0:00:00.063472,5.124,258.878,1325.366
0:00:00.068302,5.116,271.171,1328.293
0:00:00.073141,5.120,257.268,1322.927
0:00:00.078080,5.128,255.780,1320.976
0:00:00.082925,5.116,259.268,1331.707
0:00:00.087766,5.120,256.780,1340.976
0:00:00.092612,5.124,259.780,1318.537
0:00:00.097506,5.116,260.268,1339.512
0:00:00.102343,5.124,259.463,1357.073
0:00:00.107254,5.116,255.780,1314.146
0:00:00.112089,5.128,263.585,1314.146
0:00:00.116921,5.116,257.683,1327.317
0:00:00.121766,5.120,262.780,1386.829
0:00:00.126629,5.120,257.976,1325.854
0:00:00.131465,5.120,260.878,1328.293
0:00:00.136380,5.124,260.073,1328.293
0:00:00.141222,5.120,257.683,1322.927
0:00:00.146056,5.124,260.171,1310.732
0:00:00.150884,5.120,256.585,1314.634
0:00:00.155726,5.124,258.585,1336.098
0:00:00.160550,5.120,256.366,1325.366
0:00:00.165393,5.116,257.683,1324.390
0:00:00.170233,5.120,258.366,1326.829
0:00:00.175077,5.120,258.585,1406.829
0:00:00.179904,5.120,259.585,1322.927
0:00:00.184745,5.120,256.878,1309.756
0:00:00.189678,5.124,258.366,1325.366
0:00:00.194509,5.128,266.683,1318.537
0:00:00.199395,5.120,256.878,1331.707
0:00:00.204227,5.116,256.463,1326.829
0:00:00.209063,5.124,260.171,1321.951
0:00:00.213902,5.120,263.268,1335.610
0:00:00.218834,5.108,259.463,1313.171
0:00:00.223671,5.120,260.171,1325.366
0:00:00.228499,5.120,259.171,1366.829
0:00:00.233333,5.120,260.780,1339.512
0:00:00.240445,5.112,258.463,1321.951
0:00:00.245320,5.128,260.463,1318.049
0:00:00.250155,5.120,313.073,1309.756
0:00:00.254989,5.120,258.268,1340.976
0:00:00.259821,5.128,269.780,1317.073
0:00:00.264643,5.124,259.780,1392.195
0:00:00.269474,5.120,256.268,1325.854
0:00:00.274293,5.128,259.976,1337.073
0:00:00.279120,5.120,257.878,1329.756
0:00:00.283955,5.120,260.976,1318.537
0:00:00.288887,5.116,257.878,1321.951
0:00:00.293722,5.120,257.366,1317.073
0:00:00.298562,5.120,258.976,1322.927
0:00:00.303394,5.120,261.073,1325.366
0:00:00.308238,5.120,257.780,1337.073
0:00:00.313076,5.120,258.976,1336.098
0:00:00.317993,5.128,257.976,1349.268
0:00:00.322831,5.112,261.268,1328.293
0:00:00.327664,5.120,260.683,1334.634
0:00:00.332496,5.124,260.976,1323.415
0:00:00.337411,5.124,259.268,1362.927
0:00:00.342248,5.120,257.585,1318.049
0:00:00.347154,5.124,259.171,1326.829
0:00:00.351992,5.116,258.683,1337.073
0:00:00.356824,5.112,268.878,1340.976
0:00:00.361649,5.116,259.585,1328.293
0:00:00.366564,5.120,261.585,1318.049
0:00:00.371406,5.124,257.463,1343.415
0:00:00.376327,5.120,258.366,1319.512
0:00:00.381173,5.120,259.366,1329.756
0:00:00.386009,5.124,255.488,1339.512
0:00:00.390854,5.108,259.463,1386.829
0:00:00.395696,5.120,261.268,1329.756
0:00:00.400575,5.116,257.780,1312.195
0:00:00.405427,5.120,259.780,1316.098
0:00:00.410256,5.112,267.683,1311.707
0:00:00.415088,5.120,258.976,1337.073
0:00:00.419924,5.124,259.366,1316.098
0:00:00.424754,5.116,258.463,1328.293
0:00:00.429674,5.116,258.683,1344.878
0:00:00.434518,5.120,258.780,1328.293
0:00:00.439353,5.112,260.073,1377.073
0:00:00.444181,5.116,260.073,1369.268
0:00:00.449012,5.124,261.683,1328.293
0:00:00.453838,5.124,258.585,1317.073
0:00:00.458676,5.128,259.463,1304.390
0:00:00.463514,5.112,266.073,1368.293
0:00:00.468355,5.120,257.976,1312.195
0:00:00.474885,5.120,256.171,1315.610
0:00:00.479864,5.128,256.878,1320.976
0:00:00.484696,5.124,258.171,1330.732
0:00:00.489698,5.116,261.073,1327.317
0:00:00.494542,5.120,260.683,1309.756
0:00:00.499433,5.120,259.463,1372.195
0:00:00.504259,5.116,257.878,1317.073
0:00:00.509089,5.124,262.780,1337.073
0:00:00.513924,5.128,256.878,1332.195
0:00:00.518840,5.120,267.171,1335.610
0:00:00.523675,5.120,260.268,1342.927
0:00:00.528512,5.120,260.683,1338.537
0:00:00.533339,5.124,260.585,1327.317
0:00:00.538172,5.112,261.073,1319.512
0:00:00.542996,5.120,261.073,1315.610
0:00:00.547820,5.128,260.463,1306.829
0:00:00.552646,5.120,259.463,1364.390
0:00:00.557488,5.120,256.171,1321.951
0:00:00.562317,5.128,257.976,1337.073
0:00:00.567249,5.116,255.976,1328.293
0:00:00.572090,5.112,264.976,1373.659
0:00:00.576924,5.124,259.366,1328.293
0:00:00.581747,5.128,259.585,1329.756
0:00:00.586645,5.116,261.878,1328.293
0:00:00.591492,5.120,261.683,1318.537
0:00:00.596409,5.124,254.976,1323.415
0:00:00.601251,5.128,255.878,1324.390
0:00:00.606086,5.120,256.463,1384.390
0:00:00.610923,5.120,263.268,1337.073
0:00:00.615753,5.120,257.878,1334.146
0:00:00.620614,5.112,260.073,1346.829
0:00:00.625459,5.120,266.585,1366.829
0:00:00.630300,5.120,260.976,1324.390
0:00:00.635130,5.120,258.585,1315.610
0:00:00.639963,5.112,260.976,1325.366
0:00:00.644789,5.120,259.463,1338.049
0:00:00.649704,5.124,256.878,1324.390
0:00:00.654525,5.120,258.780,1328.293
0:00:00.659365,5.120,258.585,1334.634
0:00:00.664196,5.120,261.171,1335.610
0:00:00.669032,5.116,261.585,1322.927
0:00:00.673877,5.124,313.171,1617.073
0:00:00.678806,5.124,257.976,1363.415
0:00:00.683646,5.120,255.976,1318.049
0:00:00.688530,5.128,258.976,1322.927
0:00:00.693361,5.116,256.585,1316.098
0:00:00.698194,5.112,268.878,1332.195
0:00:00.703070,5.128,260.683,1322.927
0:00:00.709666,5.120,258.171,1334.146
0:00:00.714578,5.120,265.366,1353.171
0:00:00.719422,5.120,260.585,1320.976
0:00:00.724254,5.120,261.463,1328.293
0:00:00.729089,5.120,257.366,1319.512
0:00:00.733917,5.120,264.976,1348.293
0:00:00.738851,5.124,256.976,1310.732
0:00:00.743671,5.124,255.878,1334.634
0:00:00.748496,5.124,257.780,1317.073
0:00:00.753317,5.112,268.268,1328.293
0:00:00.758233,5.120,259.585,1318.537
0:00:00.763066,5.116,259.878,1321.951
0:00:00.767960,5.120,261.463,1369.268
0:00:00.772793,5.116,259.268,1310.732
0:00:00.777631,5.116,256.585,1325.854
0:00:00.782466,5.120,258.073,1333.171
