TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000243,5.124,256.780,1330.732
0:00:00.005311,5.120,266.780,1334.146
0:00:00.010159,5.124,258.171,1365.854
0:00:00.014994,5.116,260.463,1329.756
0:00:00.019902,5.124,260.073,1341.951
0:00:00.024755,5.112,256.585,1320.488
0:00:00.029696,5.124,255.976,1379.512
0:00:00.034537,5.120,259.683,1331.707
0:00:00.039429,5.120,261.366,1337.073
0:00:00.044304,5.128,260.780,1334.634
0:00:00.049143,5.124,270.878,1325.366
0:00:00.053980,5.116,257.366,1309.756
0:00:00.058905,5.124,258.171,1323.415
0:00:00.063746,5.128,256.268,1318.537
0:00:00.068592,5.120,257.073,1322.927
0:00:00.073432,5.124,258.976,1338.049
0:00:00.078271,5.120,258.268,1336.098
0:00:00.083106,5.120,259.780,1381.951
0:00:00.087940,5.120,257.976,1324.390
0:00:00.092819,5.128,259.683,1327.317
0:00:00.097702,5.120,257.976,1330.732
0:00:00.102570,5.128,265.171,1314.146
0:00:00.107425,5.120,260.683,1328.293
0:00:00.112262,5.116,257.976,1323.415
0:00:00.117091,5.120,260.366,1318.049
0:00:00.122029,5.120,261.683,1315.610
0:00:00.126866,5.116,259.366,1318.537
0:00:00.131700,5.120,261.073,1324.390
0:00:00.136538,5.124,256.268,1346.829
0:00:00.141455,5.112,259.268,1327.317
0:00:00.146288,5.124,258.366,1337.073
0:00:00.151227,5.120,259.268,1329.756
0:00:00.156079,5.124,261.585,1327.317
0:00:00.160928,5.120,258.463,1321.951
0:00:00.165766,5.116,256.780,1315.610
0:00:00.170604,5.120,259.463,1318.049
0:00:00.175439,5.120,258.463,1342.927
0:00:00.180356,5.120,258.878,1333.171
0:00:00.185195,5.116,259.366,1338.049
0:00:00.190043,5.116,259.878,1312.195
0:00:00.194892,5.124,260.073,1320.976
0:00:00.199850,5.112,258.366,1334.634
0:00:00.204708,5.120,256.780,1338.049
0:00:00.209640,5.120,258.585,1375.610
0:00:00.214493,5.120,259.463,1338.049
0:00:00.219339,5.120,259.268,1314.146
0:00:00.224277,5.120,256.366,1315.610
0:00:00.229134,5.120,268.683,1329.268
0:00:00.233972,5.128,256.585,1317.073
0:00:00.240632,5.120,255.073,1412.195
0:00:00.245509,5.120,259.683,1384.878
0:00:00.250432,5.120,258.366,1327.317
0:00:00.255269,5.120,259.780,1336.098
0:00:00.260107,5.116,260.463,1323.415
0:00:00.264948,5.116,270.683,1315.610
0:00:00.269791,5.124,257.683,1315.610
0:00:00.274618,5.128,258.585,1310.732
0:00:00.279544,5.116,258.976,1324.390
0:00:00.284394,5.120,254.878,1315.610
0:00:00.289231,5.128,259.878,1328.293
0:00:00.294072,5.120,259.366,1332.195
0:00:00.299028,5.128,258.171,1368.293
0:00:00.303869,5.124,258.171,1317.073
0:00:00.308800,5.124,260.366,1334.146
0:00:00.313644,5.120,256.780,1319.512
0:00:00.318479,5.112,269.585,1332.195
0:00:00.323325,5.120,260.878,1321.951
0:00:00.328168,5.112,259.463,1329.756
0:00:00.332998,5.124,260.585,1325.366
0:00:00.337832,5.120,269.585,1320.976
0:00:00.342662,5.124,259.268,1324.390
0:00:00.347505,5.120,256.073,1310.732
0:00:00.352343,5.124,258.976,1363.415
0:00:00.357185,5.116,256.780,1352.195
0:00:00.362115,5.120,258.073,1338.049
0:00:00.366949,5.120,261.585,1329.268
0:00:00.371784,5.120,260.585,1411.220
0:00:00.376617,5.120,259.780,1319.512
0:00:00.381459,5.120,265.171,1309.756
0:00:00.386292,5.120,255.488,1318.537
0:00:00.391219,5.124,268.683,1318.049
0:00:00.396058,5.120,257.585,1329.268
0:00:00.400895,5.116,255.780,1333.171
0:00:00.405723,5.120,259.878,1323.415
0:00:00.410628,5.120,261.463,1325.366
0:00:00.415463,5.124,259.780,1317.073
0:00:00.420377,5.120,257.171,1311.707
0:00:00.425232,5.120,258.683,1383.415
0:00:00.430073,5.120,255.780,1320.488
0:00:00.434924,5.128,258.976,1329.756
0:00:00.439760,5.120,258.780,1344.878
0:00:00.444614,5.128,271.268,1320.976
0:00:00.449531,5.120,261.171,1316.098
0:00:00.454370,5.120,257.976,1322.927
0:00:00.459208,5.112,260.268,1316.098
0:00:00.464041,5.116,256.073,1308.293
0:00:00.468948,5.112,261.463,1315.610
0:00:00.475516,5.116,257.463,1348.293
0:00:00.480468,5.128,265.976,1320.976
0:00:00.485317,5.120,262.780,1338.049
0:00:00.490150,5.120,259.268,1329.756
0:00:00.494981,5.116,258.366,1330.732
0:00:00.499821,5.116,267.878,1344.878
0:00:00.504716,5.128,259.878,1317.073
0:00:00.509642,5.120,256.780,1320.976
0:00:00.514478,5.120,257.171,1355.610
0:00:00.519319,5.116,258.683,1333.171
0:00:00.524172,5.124,260.171,1333.171
0:00:00.529015,5.116,258.585,1335.610
0:00:00.533854,5.120,272.878,1343.415
0:00:00.538769,5.128,258.780,1321.951
0:00:00.543604,5.116,259.878,1312.195
0:00:00.548446,5.128,256.780,1317.073
0:00:00.553278,5.120,266.073,1322.927
0:00:00.558118,5.124,257.976,1315.610
0:00:00.562942,5.120,256.073,1335.610
0:00:00.567786,5.128,260.171,1376.098
0:00:00.572623,5.120,260.976,1332.195
0:00:00.577452,5.120,259.976,1322.927
0:00:00.582293,5.116,260.683,1331.707
0:00:00.587121,5.120,260.268,1364.878
0:00:00.592041,5.128,257.780,1318.537
0:00:00.596870,5.120,259.878,1324.390
0:00:00.601743,5.124,258.171,1334.146
0:00:00.606589,5.120,267.073,1342.927
0:00:00.611437,5.120,259.878,1329.756
0:00:00.616268,5.124,261.366,1332.195
0:00:00.621193,5.116,259.171,1310.732
0:00:00.626043,5.116,258.585,1320.488
0:00:00.630877,5.120,258.073,1319.512
0:00:00.635712,5.120,255.976,1332.195
0:00:00.640613,5.128,255.780,1349.756
0:00:00.645454,5.116,259.878,1325.366
0:00:00.650387,5.124,260.463,1327.317
0:00:00.655235,5.120,260.585,1324.390
0:00:00.660085,5.128,260.878,1329.756
0:00:00.664919,5.120,259.878,1314.634
0:00:00.669761,5.128,256.683,1320.976
0:00:00.674595,5.124,257.976,1331.707
0:00:00.679503,5.112,262.268,1618.537
0:00:00.684339,5.108,257.976,1322.927
0:00:00.689187,5.124,258.171,1318.049
0:00:00.694023,5.120,259.780,1320.976
0:00:00.698933,5.124,259.878,1320.488
0:00:00.703781,5.124,257.585,1325.854
0:00:00.710429,5.120,258.171,1315.610
0:00:00.715348,5.120,269.171,1318.049
0:00:00.720179,5.124,258.683,1337.073
0:00:00.725105,5.120,259.878,1333.171
0:00:00.729962,5.116,260.171,1334.146
0:00:00.734802,5.120,258.976,1319.512
0:00:00.739729,5.128,259.463,1316.098
0:00:00.744572,5.124,258.585,1312.195
0:00:00.749403,5.124,256.976,1375.610
0:00:00.754235,5.120,257.171,1316.098
0:00:00.759073,5.120,256.976,1329.756
0:00:00.763898,5.120,256.780,1340.976
0:00:00.768810,5.120,275.171,1319.512
0:00:00.773653,5.120,261.366,1334.146
0:00:00.778492,5.120,258.268,1313.171
0:00:00.783330,5.120,260.171,1329.268
0:00:00.788165,5.120,258.976,1312.195
0:00:00.792993,5.124,260.683,1322.927
0:00:00.797828,5.120,256.268,1310.732
0:00:00.802706,5.120,257.780,1342.927
0:00:00.807565,5.120,260.683,1338.049
0:00:00.812403,5.124,261.171,1335.610
0:00:00.817234,5.124,258.585,1334.634
0:00:00.822156,5.128,265.585,1330.732
0:00:00.827002,5.116,257.366,1315.610
0:00:00.831821,5.112,258.780,1309.756
0:00:00.836630,5.124,256.780,1338.049
0:00:00.841608,5.112,266.171,1336.098
0:00:00.846460,5.124,259.683,1332.195
0:00:00.851394,5.120,259.683,1314.634
0:00:00.856233,5.116,257.976,1368.293
0:00:00.861067,5.116,257.463,1319.512
0:00:00.865897,5.116,257.585,1318.049
0:00:00.870732,5.128,258.268,1364.390
0:00:00.875559,5.120,257.585,1370.732
0:00:00.880464,5.120,259.366,1326.829
0:00:00.885300,5.124,256.976,1325.366
0:00:00.890135,5.124,261.463,1334.146
0:00:00.894967,5.120,260.878,1321.951
0:00:00.899810,5.128,259.268,1323.415
0:00:00.904698,5.124,259.463,1331.707
0:00:00.909630,5.112,254.976,1339.512
0:00:00.914471,5.112,259.463,1334.146
0:00:00.919304,5.120,259.878,1331.707
