TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000241,5.116,257.366,1330.732
0:00:00.005318,5.128,271.268,1340.976
0:00:00.010158,5.120,259.463,1323.415
0:00:00.015076,5.120,258.683,1321.951
0:00:00.019916,5.120,259.878,1314.634
0:00:00.024764,5.116,258.366,1312.195
0:00:00.029602,5.120,259.976,1323.415
0:00:00.034437,5.116,257.463,1325.366
0:00:00.039262,5.124,258.585,1339.512
0:00:00.044188,5.124,261.585,1345.854
0:00:00.049023,5.120,257.976,1327.317
0:00:00.053855,5.112,261.585,1327.317
0:00:00.058692,5.120,261.780,1325.854
0:00:00.063597,5.128,258.366,1323.415
0:00:00.068442,5.128,257.780,1338.049
0:00:00.073362,5.128,255.268,1327.317
0:00:00.078201,5.104,266.366,1335.610
0:00:00.083039,5.124,260.683,1322.927
0:00:00.087875,5.120,263.463,1329.756
0:00:00.092719,5.128,260.463,1318.049
0:00:00.097553,5.116,259.878,1325.854
0:00:00.102394,5.120,258.683,1328.293
0:00:00.107286,5.124,256.878,1309.756
0:00:00.112131,5.120,257.780,1390.732
0:00:00.117017,5.120,257.585,1337.073
0:00:00.121858,5.116,259.780,1333.171
0:00:00.126793,5.116,260.171,1335.610
0:00:00.131628,5.112,260.780,1312.195
0:00:00.136473,5.116,255.976,1305.854
0:00:00.141306,5.120,257.976,1317.073
0:00:00.146130,5.116,257.683,1322.927
0:00:00.150957,5.120,260.073,1328.293
0:00:00.155865,5.112,255.780,1322.927
0:00:00.160695,5.116,259.585,1338.049
0:00:00.165546,5.120,260.463,1381.951
0:00:00.170386,5.120,259.976,1338.537
0:00:00.175233,5.124,323.073,1680.976
0:00:00.180066,5.128,259.366,1314.634
0:00:00.184985,5.120,262.878,1319.512
0:00:00.189820,5.120,257.585,1316.098
0:00:00.194659,5.116,258.585,1326.829
0:00:00.199494,5.116,255.878,1334.634
0:00:00.204410,5.120,264.268,1325.854
0:00:00.209310,5.128,260.268,1318.049
0:00:00.214236,5.128,258.073,1340.976
0:00:00.219164,5.124,259.268,1339.512
0:00:00.224011,5.120,260.171,1329.756
0:00:00.228861,5.120,260.585,1328.293
0:00:00.233702,5.120,257.268,1312.195
0:00:00.240703,5.112,257.366,1335.610
0:00:00.245573,5.120,258.171,1336.098
0:00:00.250406,5.120,261.683,1334.146
0:00:00.255244,5.120,260.780,1350.732
0:00:00.260080,5.112,260.683,1320.976
0:00:00.265034,5.116,257.171,1320.488
0:00:00.269863,5.120,259.463,1320.488
0:00:00.274780,5.120,262.780,1386.829
0:00:00.279690,5.112,261.585,1322.927
0:00:00.284593,5.120,257.585,1310.732
0:00:00.289448,5.120,258.366,1314.634
0:00:00.294378,5.112,263.585,1360.976
0:00:00.299219,5.128,257.683,1329.756
0:00:00.304147,5.120,258.585,1320.976
0:00:00.309041,5.124,260.585,1381.951
0:00:00.313872,5.120,257.171,1320.976
0:00:00.318739,5.120,255.878,1320.976
0:00:00.323602,5.128,258.683,1308.293
0:00:00.328437,5.124,268.878,1356.098
0:00:00.333354,5.120,260.073,1331.707
0:00:00.338187,5.120,261.683,1321.951
0:00:00.343020,5.112,262.171,1336.098
0:00:00.347847,5.120,271.585,1321.951
0:00:00.352752,5.124,259.268,1325.366
0:00:00.357593,5.124,257.780,1333.171
0:00:00.362431,5.128,257.780,1315.610
0:00:00.367267,5.120,258.171,1331.707
0:00:00.372100,5.116,256.171,1328.293
0:00:00.376937,5.128,260.463,1375.610
0:00:00.381774,5.120,261.780,1374.634
0:00:00.386697,5.112,259.268,1312.195
0:00:00.391530,5.120,261.683,1319.512
0:00:00.396375,5.112,257.073,1318.049
0:00:00.401202,5.128,267.976,1321.951
0:00:00.406042,5.120,256.976,1310.732
0:00:00.410932,5.120,259.268,1319.512
0:00:00.415855,5.124,263.171,1341.951
0:00:00.420696,5.120,260.463,1321.951
0:00:00.425534,5.116,260.463,1321.951
0:00:00.430369,5.120,258.780,1315.610
0:00:00.435208,5.124,261.073,1361.951
0:00:00.440047,5.116,261.073,1332.195
0:00:00.444956,5.116,255.878,1320.488
0:00:00.449797,5.120,257.780,1334.146
0:00:00.454635,5.112,263.366,1353.171
0:00:00.459472,5.112,259.463,1314.634
0:00:00.464398,5.124,261.268,1318.537
0:00:00.469244,5.124,260.366,1369.756
0:00:00.475929,5.120,258.976,1319.512
0:00:00.480799,5.120,255.976,1318.049
0:00:00.485634,5.120,255.878,1329.756
0:00:00.490471,5.120,266.683,1370.732
0:00:00.495303,5.120,256.585,1422.439
0:00:00.500134,5.120,258.171,1331.707
0:00:00.505057,5.120,260.878,1325.854
0:00:00.509958,5.120,260.780,1318.049
0:00:00.514800,5.120,263.171,1318.049
0:00:00.519721,5.120,257.268,1311.707
0:00:00.524567,5.120,257.171,1329.268
0:00:00.529403,5.116,259.976,1338.049
0:00:00.534332,5.124,259.366,1334.146
0:00:00.539174,5.116,262.171,1313.171
0:00:00.544009,5.124,265.585,1369.268
0:00:00.548841,5.116,258.073,1318.537
0:00:00.553678,5.120,259.366,1324.390
0:00:00.558516,5.120,257.780,1365.854
0:00:00.563445,5.128,269.463,1325.366
0:00:00.568292,5.120,260.585,1333.171
0:00:00.573129,5.112,257.976,1332.195
0:00:00.577957,5.120,260.268,1369.268
0:00:00.582790,5.116,262.585,1309.268
0:00:00.587630,5.120,260.585,1327.317
0:00:00.592469,5.120,255.780,1322.927
0:00:00.597304,5.124,259.683,1363.415
0:00:00.602143,5.124,257.780,1319.512
0:00:00.606976,5.120,258.366,1335.610
0:00:00.611850,5.124,259.683,1353.659
0:00:00.616786,5.112,265.366,1334.146
0:00:00.621692,5.120,257.780,1306.829
0:00:00.626549,5.120,258.585,1319.512
0:00:00.631395,5.120,256.683,1318.049
0:00:00.636243,5.112,260.366,1329.756
0:00:00.641070,5.120,255.780,1340.488
0:00:00.645979,5.128,258.878,1328.293
0:00:00.650818,5.120,262.780,1368.293
0:00:00.655656,5.120,259.366,1334.146
0:00:00.660495,5.120,260.878,1324.390
0:00:00.665335,5.120,258.073,1319.512
0:00:00.670168,5.120,257.585,1388.293
0:00:00.675078,5.128,256.878,1310.732
0:00:00.679917,5.116,260.976,1329.268
0:00:00.684749,5.128,256.171,1333.171
0:00:00.689582,5.112,270.171,1334.634
0:00:00.694433,5.128,260.268,1361.951
0:00:00.699283,5.116,258.171,1318.049
0:00:00.704192,5.116,261.683,1380.976
0:00:00.710870,5.120,257.171,1322.927
0:00:00.715887,5.120,259.878,1325.854
0:00:00.720809,5.120,259.171,1328.293
0:00:00.725657,5.120,269.171,1326.829
0:00:00.730508,5.120,259.463,1410.732
0:00:00.735352,5.128,257.366,1319.512
0:00:00.740184,5.120,256.171,1322.927
0:00:00.745097,5.124,258.585,1314.146
0:00:00.749922,5.124,256.366,1327.317
0:00:00.754756,5.124,257.683,1326.829
0:00:00.759580,5.120,258.585,1380.976
0:00:00.764418,5.116,259.976,1339.512
0:00:00.769250,5.120,257.976,1322.927
0:00:00.774167,5.124,263.463,1320.976
0:00:00.779014,5.112,262.683,1318.537
0:00:00.783852,5.120,258.780,1319.512
0:00:00.788680,5.124,256.366,1334.634
0:00:00.793586,5.124,257.171,1329.756
0:00:00.798421,5.116,268.463,1348.293
0:00:00.803328,5.124,259.268,1322.927
0:00:00.808170,5.120,259.780,1315.610
0:00:00.813011,5.124,260.268,1374.634
0:00:00.817896,5.120,256.780,1317.073
0:00:00.822765,5.120,257.976,1318.049
0:00:00.827597,5.120,257.171,1313.171
0:00:00.832434,5.120,267.878,1379.512
0:00:00.837278,5.116,260.463,1330.732
0:00:00.842122,5.116,259.463,1336.098
0:00:00.846961,5.120,259.780,1328.293
0:00:00.851821,5.124,268.073,1310.732
0:00:00.856739,5.120,258.585,1318.049
0:00:00.861580,5.124,257.463,1317.073
0:00:00.866423,5.120,258.780,1325.366
0:00:00.871261,5.120,259.683,1335.610
0:00:00.876097,5.112,255.780,1335.610
0:00:00.880942,5.116,259.366,1314.146
0:00:00.885884,5.120,260.878,1366.829
0:00:00.890726,5.120,256.780,1318.537
0:00:00.895565,5.120,257.585,1317.073
0:00:00.900404,5.120,258.463,1312.195
0:00:00.905233,5.120,269.463,1317.073
0:00:00.910045,5.124,260.683,1336.098
0:00:00.915104,5.120,260.171,1325.366
0:00:00.919951,5.120,260.683,1314.146
0:00:00.924792,5.116,260.463,1316.098
0:00:00.929625,5.124,256.780,1309.268
0:00:00.934551,5.120,257.976,1339.512
0:00:00.939851,5.120,261.073,1390.732
0:00:00.944761,5.120,258.073,1337.073
0:00:00.951363,5.120,258.171,1338.049
0:00:00.956237,5.120,259.976,1332.195
0:00:00.961061,5.112,261.683,1329.756
0:00:00.965976,5.120,260.073,1318.049
0:00:00.970821,5.124,261.366,1317.073
0:00:00.975658,5.120,257.171,1370.732
0:00:00.980496,5.120,255.268,1325.366
0:00:00.985379,5.128,260.171,1338.049
0:00:00.990236,5.120,318.659,1636.098
0:00:00.995147,5.104,311.976,1714.146
0:00:00.999988,5.100,309.561,1406.829
0:00:01.004847,5.104,298.780,1498.537
0:00:01.009697,5.112,289.268,1449.756
0:00:01.014532,5.112,294.268,1465.854
0:00:01.019368,5.116,291.171,1511.220
0:00:01.024303,5.112,308.268,1497.073
0:00:01.029144,5.104,290.171,1712.683
0:00:01.034568,5.120,259.585,1336.098
