TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000232,5.120,268.976,1320.488
0:00:00.005323,5.112,259.366,1319.512
0:00:00.010161,5.120,258.976,1318.049
0:00:00.014997,5.124,257.878,1345.854
0:00:00.019821,5.116,258.683,1318.537
0:00:00.024652,5.116,256.683,1324.390
0:00:00.029580,5.120,260.171,1334.634
0:00:00.034423,5.120,271.366,1349.756
0:00:00.039253,5.120,259.878,1340.976
0:00:00.044088,5.128,261.683,1329.268
0:00:00.048921,5.124,259.171,1329.756
0:00:00.053751,5.124,270.585,1320.976
0:00:00.058588,5.116,257.585,1305.366
0:00:00.063430,5.120,258.073,1315.610
0:00:00.068260,5.124,256.976,1320.488
0:00:00.073085,5.116,259.268,1336.098
0:00:00.078010,5.120,259.878,1334.146
0:00:00.082947,5.120,260.463,1309.756
0:00:00.087781,5.112,261.878,1384.878
0:00:00.092617,5.120,258.366,1314.634
0:00:00.097454,5.120,259.366,1321.951
0:00:00.102275,5.116,257.366,1315.610
0:00:00.107112,5.120,268.878,1322.927
0:00:00.112094,5.112,260.366,1341.951
0:00:00.116928,5.124,261.073,1319.512
0:00:00.121762,5.112,258.878,1334.146
0:00:00.126616,5.120,257.780,1314.634
0:00:00.131458,5.124,259.268,1318.537
0:00:00.136280,5.116,257.366,1323.415
0:00:00.141193,5.120,255.683,1344.390
0:00:00.146029,5.120,256.976,1324.390
0:00:00.150863,5.120,258.366,1324.390
0:00:00.156289,5.112,257.780,1329.756
0:00:00.161489,5.124,270.366,1319.512
0:00:00.166395,5.120,258.171,1314.634
0:00:00.171350,5.120,258.585,1313.171
0:00:00.178549,5.124,269.268,1384.390
0:00:00.183473,5.124,261.780,1337.073
0:00:00.188356,5.120,259.585,1338.049
0:00:00.193221,5.128,259.463,1329.756
0:00:00.198073,5.120,260.171,1318.049
0:00:00.203040,5.128,256.585,1325.366
0:00:00.207894,5.120,261.073,1342.927
0:00:00.212807,5.124,259.463,1368.293
0:00:00.217664,5.124,258.366,1325.366
0:00:00.222559,5.124,260.585,1314.146
0:00:00.227410,5.120,256.976,1310.732
0:00:00.232268,5.120,256.171,1369.756
0:00:00.237123,5.128,258.585,1328.293
0:00:00.242063,5.124,259.878,1329.268
0:00:00.246919,5.120,260.171,1320.976
0:00:00.251814,5.120,270.366,1310.732
0:00:00.256657,5.120,258.366,1311.707
0:00:00.261527,5.112,256.268,1322.927
0:00:00.266383,5.116,258.171,1329.756
0:00:00.271325,5.108,260.463,1334.634
0:00:00.276188,5.128,260.268,1318.537
0:00:00.281097,5.120,258.171,1319.512
0:00:00.285959,5.124,261.683,1384.878
0:00:00.290885,5.120,259.268,1330.732
0:00:00.295753,5.132,258.463,1325.366
0:00:00.300620,5.120,259.268,1331.707
0:00:00.305483,5.116,268.683,1329.268
0:00:00.310424,5.120,258.366,1305.854
0:00:00.315291,5.120,257.585,1338.049
0:00:00.320146,5.120,260.585,1328.293
0:00:00.324997,5.120,259.463,1334.146
0:00:00.329850,5.124,259.878,1325.366
0:00:00.334701,5.120,259.878,1315.610
0:00:00.339640,5.120,257.976,1369.756
0:00:00.344510,5.124,256.463,1326.829
0:00:00.349367,5.120,256.366,1337.073
0:00:00.354224,5.120,258.073,1324.390
0:00:00.359083,5.116,270.366,1323.415
0:00:00.363950,5.124,260.683,1323.415
0:00:00.368875,5.124,256.585,1318.049
