TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000241,5.120,257.976,1337.073
0:00:00.005327,5.120,261.976,1328.293
0:00:00.010221,5.112,258.878,1380.976
0:00:00.015067,5.124,259.976,1318.537
0:00:00.020011,5.128,255.878,1332.195
0:00:00.024863,5.124,256.268,1338.049
0:00:00.029790,5.124,261.683,1320.976
0:00:00.034627,5.120,261.585,1335.610
0:00:00.039476,5.124,258.366,1318.537
0:00:00.044359,5.124,257.585,1324.390
0:00:00.049210,5.112,258.171,1325.366
0:00:00.054047,5.112,256.976,1315.610
0:00:00.058890,5.124,259.171,1332.195
0:00:00.063728,5.120,258.585,1338.537
0:00:00.068570,5.124,258.780,1334.146
0:00:00.073442,5.120,260.780,1321.951
0:00:00.078293,5.120,256.683,1325.366
0:00:00.083259,5.116,266.463,1320.976
0:00:00.088166,5.120,261.463,1337.073
0:00:00.093102,5.124,261.073,1325.366
0:00:00.097948,5.116,258.878,1315.610
0:00:00.102887,5.124,257.976,1314.146
0:00:00.107745,5.120,258.585,1324.390
0:00:00.112598,5.120,256.585,1344.878
0:00:00.117444,5.120,260.585,1349.268
0:00:00.122391,5.120,259.585,1318.049
0:00:00.127248,5.120,258.463,1316.098
0:00:00.132095,5.128,257.073,1322.927
0:00:00.136976,5.120,263.171,1367.317
0:00:00.141839,5.112,256.463,1334.634
0:00:00.146694,5.124,258.268,1329.268
0:00:00.153885,5.120,260.585,1388.293
0:00:00.158780,5.120,259.585,1319.512
0:00:00.163621,5.120,260.683,1318.537
0:00:00.168504,5.120,257.585,1313.171
0:00:00.173352,5.124,267.268,1319.512
0:00:00.178196,5.120,258.780,1330.732
0:00:00.183166,5.120,262.171,1344.390
0:00:00.188015,5.116,258.268,1323.415
0:00:00.192856,5.120,261.976,1340.976
0:00:00.197729,5.120,267.463,1317.073
0:00:00.202579,5.128,256.366,1317.073
0:00:00.207418,5.128,257.171,1341.951
0:00:00.212351,5.120,257.366,1334.146
0:00:00.217208,5.120,260.463,1335.610
0:00:00.222088,5.128,259.976,1333.171
0:00:00.226958,5.116,266.463,1319.512
0:00:00.231844,5.116,255.780,1327.317
0:00:00.236690,5.120,256.268,1326.829
0:00:00.241643,5.128,260.878,1329.756
0:00:00.246499,5.120,265.463,1335.610
0:00:00.251422,5.120,261.268,1332.195
0:00:00.256264,5.116,263.780,1333.171
0:00:00.261147,5.128,257.976,1370.732
0:00:00.265993,5.124,258.366,1331.707
0:00:00.270842,5.120,257.268,1329.756
0:00:00.275719,5.120,258.878,1325.366
0:00:00.280662,5.120,263.976,1344.878
0:00:00.285516,5.120,261.073,1305.854
0:00:00.290409,5.128,257.585,1318.537
0:00:00.295237,5.120,259.683,1329.268
0:00:00.300081,5.128,268.073,1325.366
0:00:00.304925,5.120,259.976,1317.073
0:00:00.309858,5.124,261.366,1329.756
0:00:00.314705,5.120,257.878,1309.756
