TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000238,5.112,257.683,1443.415
0:00:00.005298,5.116,264.463,1329.756
0:00:00.010144,5.120,278.268,1405.854
0:00:00.014983,5.124,261.366,1348.293
0:00:00.019823,5.124,263.780,1342.927
0:00:00.024658,5.116,259.683,1331.707
0:00:00.029496,5.128,260.073,1317.073
0:00:00.034325,5.120,260.171,1314.146
0:00:00.039153,5.120,256.366,1364.390
0:00:00.044126,5.124,257.366,1334.146
0:00:00.048965,5.116,256.976,1326.829
0:00:00.053801,5.120,259.171,1332.195
0:00:00.058627,5.116,268.463,1329.756
0:00:00.063460,5.112,260.268,1332.195
0:00:00.068296,5.128,260.780,1322.927
0:00:00.073255,5.112,256.463,1318.537
0:00:00.078104,5.112,256.366,1333.171
0:00:00.082945,5.128,256.585,1323.415
0:00:00.087777,5.124,258.976,1329.756
0:00:00.092616,5.124,257.171,1390.732
0:00:00.097446,5.116,259.463,1336.098
0:00:00.102282,5.120,260.463,1326.829
0:00:00.107157,5.120,260.976,1333.171
0:00:00.111983,5.128,261.878,1336.098
0:00:00.116836,5.120,256.780,1319.512
0:00:00.121771,5.124,257.878,1330.732
0:00:00.126611,5.124,256.683,1329.268
0:00:00.131450,5.120,263.878,1344.390
0:00:00.136272,5.120,258.780,1371.707
0:00:00.141106,5.112,262.585,1341.951
0:00:00.145937,5.112,259.683,1365.854
0:00:00.150861,5.120,258.878,1317.073
0:00:00.155704,5.120,256.585,1322.927
0:00:00.160546,5.116,258.976,1315.610
0:00:00.165383,5.120,256.585,1382.439
0:00:00.170228,5.116,257.976,1338.049
0:00:00.175066,5.120,257.268,1334.146
0:00:00.179989,5.116,258.878,1340.976
0:00:00.184845,5.116,272.366,1318.537
0:00:00.189672,5.120,261.878,1314.634
0:00:00.194502,5.132,256.780,1320.976
0:00:00.199333,5.116,255.976,1319.512
0:00:00.204294,5.124,256.976,1325.366
0:00:00.209141,5.120,260.366,1334.146
0:00:00.214143,5.120,259.268,1324.390
0:00:00.218990,5.116,258.366,1374.634
0:00:00.223836,5.124,258.585,1332.195
0:00:00.228669,5.120,256.366,1306.829
0:00:00.233502,5.120,261.073,1325.366
0:00:00.240170,5.112,256.976,1331.707
0:00:00.245060,5.120,257.366,1336.098
0:00:00.249894,5.128,258.976,1338.537
0:00:00.254721,5.120,260.463,1380.488
0:00:00.259549,5.120,261.463,1354.634
0:00:00.264379,5.120,260.683,1332.195
0:00:00.269207,5.124,259.878,1326.829
0:00:00.274127,5.124,263.780,1315.610
0:00:00.278953,5.120,259.268,1325.854
0:00:00.283777,5.112,258.171,1320.488
0:00:00.288608,5.120,256.976,1337.073
0:00:00.293541,5.124,268.171,1340.488
0:00:00.298378,5.120,261.268,1329.268
0:00:00.303301,5.120,260.073,1320.976
0:00:00.308135,5.120,258.366,1383.415
0:00:00.312968,5.120,256.171,1319.512
0:00:00.317804,5.124,258.780,1318.537
0:00:00.322652,5.120,257.780,1331.707
0:00:00.327478,5.128,267.073,1376.098
0:00:00.332398,5.112,260.073,1339.512
0:00:00.337242,5.120,258.683,1332.195
0:00:00.342081,5.120,262.976,1326.829
0:00:00.346895,5.112,270.976,1320.976
0:00:00.351801,5.124,261.073,1319.512
0:00:00.356640,5.120,257.366,1329.756
0:00:00.361542,5.116,255.976,1329.268
0:00:00.366387,5.120,260.780,1332.195
0:00:00.371220,5.124,258.585,1334.146
0:00:00.376049,5.120,259.683,1327.317
0:00:00.380983,5.120,265.366,1370.732
0:00:00.385822,5.120,257.780,1316.098
0:00:00.390719,5.124,255.780,1329.756
0:00:00.395557,5.120,256.366,1325.366
