TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000240,5.120,262.366,1400.976
0:00:00.005324,5.092,359.561,1345.854
0:00:00.010163,5.112,273.463,1349.268
0:00:00.015007,5.112,260.683,1318.049
0:00:00.019846,5.120,261.976,1309.756
0:00:00.024785,5.120,256.976,1341.951
0:00:00.029636,5.116,256.268,1323.415
0:00:00.034477,5.120,257.780,1325.366
0:00:00.039312,5.116,260.268,1335.610
0:00:00.044148,5.120,260.780,1373.659
0:00:00.049015,5.112,262.780,1342.927
0:00:00.053859,5.116,258.585,1322.927
0:00:00.058692,5.120,260.073,1358.049
0:00:00.063532,5.116,270.171,1320.976
0:00:00.068370,5.112,260.683,1330.732
0:00:00.073204,5.116,258.585,1329.756
0:00:00.078139,5.120,256.976,1323.415
0:00:00.082985,5.120,260.585,1332.195
0:00:00.087826,5.116,260.268,1334.634
0:00:00.092679,5.120,259.878,1329.756
0:00:00.097519,5.124,259.585,1362.927
0:00:00.102351,5.108,304.780,1560.976
0:00:00.107277,5.124,256.878,1322.927
0:00:00.112110,5.112,257.366,1325.366
0:00:00.117015,5.124,260.683,1322.927
0:00:00.121903,5.128,258.171,1320.976
0:00:00.126740,5.120,256.976,1384.878
0:00:00.131571,5.116,258.585,1318.049
0:00:00.136494,5.120,256.463,1309.756
0:00:00.141325,5.116,257.073,1325.366
0:00:00.146174,5.120,262.976,1337.073
0:00:00.151018,5.120,256.073,1325.366
0:00:00.155865,5.112,260.878,1338.537
0:00:00.160697,5.120,259.463,1342.927
0:00:00.165649,5.120,256.780,1320.488
0:00:00.170498,5.128,263.463,1367.317
0:00:00.175348,5.128,257.463,1310.732
0:00:00.180183,5.120,258.073,1321.951
0:00:00.185033,5.116,257.585,1342.927
0:00:00.189868,5.120,269.585,1320.976
0:00:00.194782,5.120,260.878,1324.390
0:00:00.199624,5.120,259.268,1318.049
0:00:00.204454,5.112,259.976,1325.854
0:00:00.209289,5.120,258.171,1320.976
0:00:00.214201,5.120,258.683,1322.927
0:00:00.219042,5.124,259.268,1337.073
0:00:00.223897,5.132,258.585,1335.610
0:00:00.228750,5.112,258.585,1330.732
0:00:00.233592,5.124,257.366,1326.829
0:00:00.240123,5.120,255.780,1328.293
0:00:00.244999,5.116,258.780,1334.634
0:00:00.249831,5.124,261.073,1326.829
0:00:00.254747,5.124,260.976,1318.537
0:00:00.259589,5.112,261.585,1359.512
0:00:00.264426,5.120,257.073,1318.537
0:00:00.269251,5.120,255.171,1325.366
0:00:00.274161,5.112,260.878,1330.732
0:00:00.279000,5.120,262.780,1365.854
0:00:00.283835,5.120,261.463,1335.610
0:00:00.288695,5.120,261.878,1346.829
0:00:00.293532,5.120,259.366,1329.268
0:00:00.298365,5.120,267.683,1314.634
0:00:00.303203,5.120,257.171,1309.756
0:00:00.308123,5.120,257.683,1325.366
0:00:00.312960,5.120,258.171,1329.268
0:00:00.317793,5.120,257.780,1326.829
0:00:00.322625,5.120,256.780,1328.293
0:00:00.327456,5.116,259.366,1339.512
0:00:00.332387,5.120,259.683,1342.927
0:00:00.337310,5.124,259.463,1316.098
0:00:00.342157,5.124,257.171,1317.073
0:00:00.346987,5.120,256.585,1325.366
0:00:00.351828,5.120,265.366,1325.366
0:00:00.356667,5.120,259.780,1338.537
0:00:00.361494,5.120,261.780,1319.512
0:00:00.366413,5.116,260.683,1336.098
0:00:00.371247,5.116,260.878,1315.610
0:00:00.376079,5.120,260.683,1309.756
0:00:00.380915,5.120,259.366,1322.927
0:00:00.385847,5.132,256.585,1361.951
0:00:00.390699,5.120,256.976,1333.171
0:00:00.395620,5.120,258.878,1334.146
0:00:00.400456,5.120,261.268,1325.854
0:00:00.405295,5.112,261.585,1359.512
0:00:00.410122,5.128,257.780,1317.073
0:00:00.414954,5.116,257.268,1321.951
0:00:00.419835,5.120,259.463,1321.951
0:00:00.424765,5.120,258.878,1361.951
0:00:00.429608,5.120,259.171,1338.049
0:00:00.434453,5.120,260.366,1326.829
0:00:00.439278,5.120,258.683,1356.098
0:00:00.444176,5.120,261.463,1330.732
0:00:00.449017,5.120,257.683,1323.415
0:00:00.453849,5.124,260.366,1321.951
0:00:00.458679,5.120,257.585,1369.268
0:00:00.463515,5.120,267.683,1335.610
0:00:00.468341,5.128,260.976,1318.049
0:00:00.475003,5.120,255.976,1323.415
0:00:00.479868,5.112,258.780,1331.707
0:00:00.484786,5.120,257.780,1332.195
0:00:00.489616,5.120,258.780,1332.195
0:00:00.494443,5.124,259.171,1337.073
0:00:00.499269,5.128,260.780,1325.366
0:00:00.504166,5.120,259.976,1319.512
0:00:00.509000,5.120,256.976,1318.537
0:00:00.513829,5.120,268.073,1316.098
0:00:00.518704,5.120,260.683,1335.610
0:00:00.523549,5.120,260.683,1338.049
0:00:00.528371,5.120,257.366,1331.707
0:00:00.533202,5.120,259.976,1342.927
0:00:00.538123,5.120,261.268,1318.049
0:00:00.542946,5.112,260.268,1328.293
0:00:00.547784,5.120,259.366,1359.512
0:00:00.552643,5.120,256.585,1319.512
0:00:00.557480,5.116,257.585,1310.732
0:00:00.562310,5.124,258.976,1380.488
0:00:00.567214,5.116,263.976,1373.659
0:00:00.572042,5.120,257.171,1325.366
0:00:00.576872,5.116,259.683,1361.951
0:00:00.581700,5.120,261.073,1325.366
0:00:00.586616,5.112,260.878,1315.610
0:00:00.591449,5.120,260.171,1314.146
0:00:00.596286,5.112,258.171,1318.049
0:00:00.601119,5.124,257.878,1329.268
0:00:00.605950,5.116,257.366,1315.610
0:00:00.610779,5.124,258.683,1335.610
0:00:00.615686,5.120,260.976,1327.317
0:00:00.620564,5.116,260.073,1376.098
0:00:00.625405,5.120,262.073,1318.049
0:00:00.630301,5.124,256.585,1318.537
0:00:00.635141,5.120,257.585,1325.854
0:00:00.639987,5.124,266.976,1341.951
0:00:00.644907,5.120,258.463,1328.293
0:00:00.649738,5.128,258.780,1334.146
0:00:00.654566,5.116,259.366,1320.976
0:00:00.659393,5.120,259.683,1329.756
0:00:00.664226,5.116,259.268,1323.415
0:00:00.669056,5.120,260.780,1318.537
0:00:00.673886,5.128,260.463,1367.317
0:00:00.678721,5.116,260.463,1314.146
0:00:00.683538,5.112,257.976,1304.390
0:00:00.688364,5.120,260.585,1314.634
0:00:00.693178,5.120,262.268,1382.439
0:00:00.698120,5.120,256.976,1325.366
0:00:00.702960,5.120,260.366,1317.073
0:00:00.709476,5.120,256.878,1342.927
0:00:00.714373,5.120,258.463,1318.049
0:00:00.719247,5.112,258.780,1334.146
0:00:00.724166,5.112,262.683,1334.634
0:00:00.729067,5.120,265.171,1315.610
0:00:00.733984,5.128,258.976,1319.512
0:00:00.738832,5.120,257.585,1326.829
0:00:00.743655,5.116,256.585,1336.098
0:00:00.748482,5.120,268.366,1336.098
0:00:00.753311,5.120,259.171,1329.756
0:00:00.758224,5.116,259.366,1318.537
0:00:00.763051,5.120,261.878,1322.927
0:00:00.767892,5.120,258.463,1317.073
0:00:00.772721,5.128,257.780,1325.854
0:00:00.777552,5.124,257.463,1317.073
0:00:00.782385,5.124,256.683,1373.659
0:00:00.787293,5.120,260.780,1323.415
0:00:00.792128,5.116,258.171,1337.073
0:00:00.796960,5.120,260.976,1332.195
0:00:00.801784,5.120,269.976,1334.146
0:00:00.806631,5.124,260.366,1324.390
0:00:00.811465,5.120,257.878,1319.512
0:00:00.816376,5.112,257.366,1319.512
0:00:00.821209,5.120,256.366,1305.854
0:00:00.826030,5.116,258.366,1330.732
0:00:00.830864,5.120,255.976,1340.976
0:00:00.835777,5.116,259.171,1335.610
0:00:00.840614,5.116,261.683,1331.707
