TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000240,5.120,256.366,1314.634
0:00:00.005315,5.124,257.878,1325.366
0:00:00.010159,5.108,294.268,1504.390
0:00:00.015096,5.112,260.073,1325.366
0:00:00.019986,5.116,259.585,1366.829
0:00:00.024830,5.120,293.463,1490.732
0:00:00.029659,5.124,256.780,1318.049
0:00:00.034494,5.116,259.780,1308.293
0:00:00.039316,5.112,296.878,1552.683
0:00:00.044258,5.124,257.585,1337.073
0:00:00.049105,5.120,258.585,1334.146
0:00:00.053937,5.120,268.878,1513.659
0:00:00.058764,5.120,267.073,1331.707
0:00:00.063596,5.128,259.366,1315.610
0:00:00.068425,5.120,259.878,1493.171
0:00:00.073342,5.124,259.171,1312.195
0:00:00.078186,5.120,255.268,1318.049
0:00:00.083022,5.128,257.268,1491.220
0:00:00.087856,5.112,256.780,1322.927
0:00:00.092691,5.124,256.780,1393.659
0:00:00.097516,5.124,258.585,1514.634
0:00:00.102342,5.120,261.683,1336.098
0:00:00.107175,5.116,259.780,1359.512
0:00:00.112022,5.120,271.171,1499.512
0:00:00.116854,5.116,262.073,1308.293
0:00:00.121693,5.120,256.780,1325.854
0:00:00.126624,5.120,257.976,1384.878
0:00:00.131454,5.124,257.366,1328.293
0:00:00.136300,5.124,255.268,1334.146
0:00:00.141143,5.116,262.171,1345.854
0:00:00.146059,5.112,258.683,1352.195
0:00:00.150892,5.120,258.878,1326.829
0:00:00.155821,5.120,258.463,1309.756
0:00:00.160664,5.116,260.073,1334.634
0:00:00.165510,5.116,265.171,1467.317
0:00:00.170347,5.120,257.366,1327.317
0:00:00.175192,5.120,256.780,1493.659
0:00:00.180022,5.120,261.683,1493.659
0:00:00.184966,5.112,265.073,1324.390
0:00:00.189810,5.116,258.366,1310.732
0:00:00.194642,5.116,255.976,1502.439
0:00:00.199473,5.116,258.073,1335.610
0:00:00.204396,5.120,256.366,1329.756
0:00:00.209235,5.120,267.463,1511.220
0:00:00.214158,5.108,295.463,1329.756
0:00:00.218992,5.120,259.463,1369.268
0:00:00.223830,5.116,259.463,1493.171
0:00:00.228664,5.108,292.463,1319.512
0:00:00.233498,5.116,257.073,1334.146
0:00:00.240038,5.124,293.683,1482.439
0:00:00.245010,5.112,257.976,1334.634
0:00:00.249856,5.120,258.463,1320.976
0:00:00.254685,5.124,291.683,1551.220
0:00:00.259515,5.112,257.585,1318.537
0:00:00.264354,5.112,257.878,1329.756
0:00:00.269188,5.120,293.073,1534.634
0:00:00.274107,5.112,270.171,1315.610
