TimeStamp, Voltage (V), Current (mA), Power (mW)
0:00:00.000242,5.096,375.854,1947.805
0:00:00.005379,5.096,282.463,1508.780
0:00:00.010222,5.112,292.463,1926.341
0:00:00.015128,5.092,376.756,1433.171
0:00:00.019937,5.112,285.780,1923.902
0:00:00.024823,5.096,375.854,1904.390
0:00:00.029657,5.100,280.976,1444.390
0:00:00.034521,5.124,378.463,1935.122
0:00:00.039414,5.088,404.756,1450.732
0:00:00.044239,5.112,295.561,1938.049
0:00:00.049043,5.092,373.268,1456.098
0:00:00.053845,5.112,284.878,1942.927
0:00:00.058730,5.088,378.268,1854.146
0:00:00.063536,5.104,297.171,1494.634
0:00:00.068346,5.088,374.659,1907.805
0:00:00.073159,5.116,285.171,1450.732
0:00:00.078046,5.120,375.561,1906.341
0:00:00.082866,5.080,350.659,1443.415
0:00:00.087762,5.108,304.780,1922.927
0:00:00.092571,5.088,376.268,1455.610
0:00:00.097388,5.112,280.463,1921.951
0:00:00.102194,5.084,377.268,1819.024
0:00:00.107072,5.120,284.366,1449.756
0:00:00.111962,5.092,375.366,1904.390
0:00:00.116775,5.092,290.366,1448.293
0:00:00.121589,5.116,357.756,1904.390
0:00:00.126414,5.088,319.659,1445.854
0:00:00.131229,5.116,278.366,1904.390
0:00:00.136126,5.092,383.976,1554.634
0:00:00.140943,5.104,278.585,1826.341
0:00:00.145756,5.088,375.756,1934.146
0:00:00.150559,5.116,280.268,1441.951
0:00:00.155363,5.084,375.463,1911.707
0:00:00.160199,5.088,282.878,1480.976
0:00:00.165014,5.120,373.976,1921.951
0:00:00.169824,5.088,295.561,1513.659
0:00:00.174631,5.112,284.976,1923.902
0:00:00.179528,5.092,380.854,1464.390
0:00:00.184359,5.124,282.073,1920.488
0:00:00.189171,5.092,379.854,1520.000
0:00:00.193991,5.112,286.171,1420.976
0:00:00.198879,5.112,374.171,1906.829
0:00:00.203688,5.096,280.878,1457.561
0:00:00.208576,5.108,386.366,1941.463
0:00:00.213400,5.088,379.171,1466.829
0:00:00.218218,5.116,282.171,1920.488
0:00:00.223037,5.088,378.976,1514.634
0:00:00.227935,5.120,283.780,1439.512
0:00:00.232751,5.096,373.366,1446.829
0:00:00.239246,5.120,282.683,1468.293
0:00:00.244050,5.088,383.854,1930.244
0:00:00.248916,5.116,283.780,1459.512
0:00:00.253726,5.104,378.854,1923.902
0:00:00.258627,5.092,287.268,1464.390
0:00:00.263436,5.112,377.561,1902.927
0:00:00.268242,5.084,376.854,1453.171
0:00:00.273038,5.108,281.073,1906.829
0:00:00.277920,5.096,377.171,1497.073
0:00:00.282735,5.112,281.878,1469.756
0:00:00.287541,5.092,375.366,1887.805
0:00:00.292347,5.116,286.780,1438.537
0:00:00.297231,5.092,382.268,1928.780
0:00:00.302048,5.104,279.171,1461.951
0:00:00.306925,5.108,307.366,1927.805
0:00:00.311735,5.088,364.463,1450.732
0:00:00.316563,5.112,294.878,1926.341
0:00:00.321378,5.084,375.976,1817.561
0:00:00.326271,5.116,285.171,1570.732
0:00:00.331087,5.088,378.854,1953.171
0:00:00.335901,5.120,286.366,1431.220
0:00:00.340719,5.096,376.366,1915.122
0:00:00.345534,5.088,281.683,1434.634
0:00:00.350357,5.120,334.073,1956.585
0:00:00.355169,5.088,347.756,1433.171
0:00:00.359981,5.120,278.976,1914.146
0:00:00.364809,5.092,374.171,1437.073
0:00:00.369629,5.120,291.463,1696.585
0:00:00.374438,5.092,373.976,1760.488
0:00:00.379256,5.116,282.268,1441.951
0:00:00.384068,5.088,372.561,1918.049
0:00:00.388887,5.112,279.780,1450.732
0:00:00.393696,5.112,376.561,1914.146
0:00:00.398592,5.088,320.878,1457.073
0:00:00.403387,5.120,342.073,1926.341
0:00:00.408194,5.088,378.659,1457.561
0:00:00.413093,5.112,283.976,1820.488
0:00:00.417993,5.096,376.268,1908.780
0:00:00.422807,5.120,290.878,1438.537
0:00:00.427636,5.120,373.463,1910.244
0:00:00.432457,5.096,279.585,1431.220
0:00:00.437274,5.112,373.366,1911.707
0:00:00.442089,5.088,304.780,1460.976
0:00:00.446994,5.108,280.878,1924.390
0:00:00.451819,5.092,377.659,1463.415
0:00:00.456633,5.112,284.683,1980.488
0:00:00.461450,5.092,379.561,1927.805
0:00:00.466352,5.088,282.463,1453.171
0:00:00.472879,5.088,377.171,1910.244
0:00:00.477819,5.096,292.878,1445.854
0:00:00.482648,5.120,377.073,1918.049
0:00:00.487454,5.088,283.463,1453.171
0:00:00.492229,5.124,284.976,1911.707
0:00:00.497118,5.088,374.171,1440.000
0:00:00.501931,5.120,281.171,1901.951
0:00:00.506739,5.088,373.268,1908.780
0:00:00.511536,5.120,289.683,1477.561
0:00:00.516363,5.096,374.463,1923.902
0:00:00.521187,5.116,278.585,1442.439
0:00:00.526003,5.100,377.366,1925.366
0:00:00.530823,5.084,286.683,1492.195
0:00:00.535640,5.112,374.171,1923.902
0:00:00.540447,5.096,367.366,1337.073
0:00:00.545265,5.112,261.463,1801.463
0:00:00.550077,5.096,364.659,1338.537
0:00:00.554892,5.120,258.976,1809.268
0:00:00.559673,5.100,354.976,1782.927
0:00:00.564461,5.128,259.585,1352.195
0:00:00.569296,5.100,355.268,1798.049
0:00:00.574112,5.112,258.780,1335.610
0:00:00.578916,5.096,351.171,1787.317
0:00:00.583723,5.096,259.171,1383.415
0:00:00.588614,5.120,276.366,1789.268
0:00:00.593773,5.100,351.878,1790.244
0:00:00.598833,5.092,257.463,1317.073
0:00:00.603674,5.124,354.659,1787.805
0:00:00.608491,5.096,279.171,1356.098
0:00:00.613388,5.112,256.073,1802.439
0:00:00.618204,5.096,353.268,1379.512
0:00:00.623011,5.112,260.073,1317.073
0:00:00.627905,5.096,353.976,1811.707
0:00:00.632717,5.124,258.366,1312.195
